Province,City,Barangay,Street_Subdivision,Vicinity,Classification,Zonal_Value,DO_No,Effectivity_Date,Source
UNKNOWN,UNKNOWN,UNKNOWN,N O T I C E,nan,nan,,UNKNOWN,UNKNOWN,RDO No. 81 - Cebu City North.xlsx [NOTICE]
UNKNOWN,UNKNOWN,UNKNOWN,RR 13 - CEBU CITY,nan,nan,,UNKNOWN,UNKNOWN,RDO No. 81 - Cebu City North.xlsx [NOTICE]
UNKNOWN,UNKNOWN,UNKNOWN,"RDO NO. 81 - Cebu City, North",nan,nan,,UNKNOWN,UNKNOWN,RDO No. 81 - Cebu City North.xlsx [NOTICE]
UNKNOWN,UNKNOWN,UNKNOWN,"RDO NO. 81 - Cebu City, North",nan,nan,,UNKNOWN,UNKNOWN,RDO No. 81 - Cebu City North.xlsx [NOTICE]
UNKNOWN,UNKNOWN,UNKNOWN,Schedules of Zonal Values per Department Order (DO) -,nan,nan,,UNKNOWN,UNKNOWN,RDO No. 81 - Cebu City North.xlsx [NOTICE]
UNKNOWN,UNKNOWN,UNKNOWN,DO NO.,Revision,Effectivity Dates,,UNKNOWN,s nan City/Municipalities See Details on,RDO No. 81 - Cebu City North.xlsx [NOTICE]
UNKNOWN,UNKNOWN,UNKNOWN,REPUBLIC OF THE PHILIPPINES,nan,nan,,UNKNOWN,UNKNOWN,RDO No. 81 - Cebu City North.xlsx [Sheet 6 (DO 054-2023)]
UNKNOWN,UNKNOWN,UNKNOWN,DEPARTMENT OF FINANCE,nan,nan,,UNKNOWN,UNKNOWN,RDO No. 81 - Cebu City North.xlsx [Sheet 6 (DO 054-2023)]
UNKNOWN,UNKNOWN,UNKNOWN,MANILA,nan,nan,,UNKNOWN,UNKNOWN,RDO No. 81 - Cebu City North.xlsx [Sheet 6 (DO 054-2023)]
UNKNOWN,UNKNOWN,UNKNOWN,MANILA,nan,nan,,UNKNOWN,UNKNOWN,RDO No. 81 - Cebu City North.xlsx [Sheet 6 (DO 054-2023)]
UNKNOWN,UNKNOWN,UNKNOWN,DEPARTMENT ORDER NO.  054 - 2023,nan,nan,,UNKNOWN,UNKNOWN,RDO No. 81 - Cebu City North.xlsx [Sheet 6 (DO 054-2023)]
UNKNOWN,UNKNOWN,UNKNOWN,"September 6, 2023",nan,nan,,UNKNOWN,UNKNOWN,RDO No. 81 - Cebu City North.xlsx [Sheet 6 (DO 054-2023)]
UNKNOWN,UNKNOWN,UNKNOWN,"September 6, 2023",nan,nan,,UNKNOWN,UNKNOWN,RDO No. 81 - Cebu City North.xlsx [Sheet 6 (DO 054-2023)]
UNKNOWN,UNKNOWN,UNKNOWN,SUBJECT:       IMPLEMENTATION   OF   THE   REVISED   SCHEDULES  OF ZONAL VALUES OF REAL PROPERTIES UNDER,nan,nan,,UNKNOWN,UNKNOWN,RDO No. 81 - Cebu City North.xlsx [Sheet 6 (DO 054-2023)]
UNKNOWN,UNKNOWN,UNKNOWN,"THE JURISDICTION OF REVENUE DISTRICT OFFICE NO. 81 - CEBU CITY NORTH, REVENUE REGION NO. 13 -",nan,nan,,UNKNOWN,UNKNOWN,RDO No. 81 - Cebu City North.xlsx [Sheet 6 (DO 054-2023)]
UNKNOWN,UNKNOWN,UNKNOWN,CEBU CITY FOR INTERNAL REVENUE TAX PURPOSES,nan,nan,,UNKNOWN,UNKNOWN,RDO No. 81 - Cebu City North.xlsx [Sheet 6 (DO 054-2023)]
