Province,City,Barangay,Street_Subdivision,Vicinity,Classification,Zonal_Value,DO_No,Effectivity_Date,Source
UNKNOWN,UNKNOWN,UNKNOWN,N O T I C E,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,RR 13 - CEBU CITY,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,"RDO NO. 82 - Cebu City, South",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,"RDO NO. 82 - Cebu City, South",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,Schedules of Zonal Values per Department Order (DO) -,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,DO NO.,Revision,Effectivity Dates,,UNKNOWN,s nan City/Municipalities See Details on,"RDO No. 82 - Cebu City, South.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,REPUBLIC OF THE PHILIPPINES,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,DEPARTMENT OF FINANCE,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,MANILA,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,MANILA,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,DEPARTMENT ORDER NO.  086 - 2023,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,"December 7, 2023",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,"December 7, 2023",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,SUBJECT:          IMPLEMENTATION   OF   THE   REVISED   SCHEDULES  OF ZONAL VALUES OF REAL PROPERTIES UNDER THE,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,"JURISDICTION OF REVENUE DISTRICT OFFICE NO. 82 - CEBU CITY SOUTH, REVENUE REGION NO. 13 - CEBU CITY",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,FOR INTERNAL REVENUE TAX PURPOSES.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,FOR INTERNAL REVENUE TAX PURPOSES.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,TO         :          All Internal Revenue Officers and Others Concerned,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,TO         :          All Internal Revenue Officers and Others Concerned,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,"Under Section   4  of  Republic  Act No.  10963, otherwise   known  as   the  ""Tax Reform for Acceleration and Inclusion",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,"(TRAIN)"" Law, amending Section 6 (E) of National Internal Revenue Code (NIRC) of 1997, the Commissioner is hereby authorized to divide",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,the Philippines into different zones or areas and shall determine the fair market value of real properties located in each zone or,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,"areas, subject to automatic adjustment once every three (3) years.",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,"areas, subject to automatic adjustment once every three (3) years.",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,"By  virtue  of  said authority and after the conduct of public hearing on October 6, 2023,  the  Commissioner of Internal Revenue",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,"has determined  the zonal  values of real properties under the jurisdiction of Revenue District Office No. 82 - Cebu City South,",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,Revenue Region No. 13 - Cebu City.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,Revenue Region No. 13 - Cebu City.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,This Order is therefore issued to implement the revised schedule of zonal values of real properties for purposes of,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,computation of any internal revenue tax due on sale/transfer or any other disposition of real properties. The zonal values established,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
