Province,City,Barangay,Street_Subdivision,Vicinity,Classification,Zonal_Value,DO_No,Effectivity_Date,Source
UNKNOWN,UNKNOWN,UNKNOWN,N O T I C E,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,RR 13 - CEBU CITY,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,"RDO No. 83 - Talisay City, Cebu is composed of the following Cities and Municipalities:",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,"Talisay City, Toledo City, Alcantara, Alcoy, Alegria, Aloguinsan, Argao, Badian, Barili, Boljoon, Carcar, Dalaguete, Dumanjug, Ginatilan, Malabuyoc,",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,"Minglanilla, Moalboal, Naga, Oslob, Pinamugahan, Ronda, Samboan, San Fernando, Santander and Sibonga",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,"Minglanilla, Moalboal, Naga, Oslob, Pinamugahan, Ronda, Samboan, San Fernando, Santander and Sibonga",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,Schedules of Zonal Values per Department Order (DO) -,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,DO NO.,Revision,Effectivity Dates,,UNKNOWN,s nan City/Municipalities Covered See Details on,"RDO No. 83 -Talisay City, CebuWeb.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,60-22,2nd,nan,,UNKNOWN,s nan City/Municipalities Covered See Details on,"RDO No. 83 -Talisay City, CebuWeb.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,60-22,2nd,nan,,UNKNOWN,s nan City/Municipalities Covered See Details on,"RDO No. 83 -Talisay City, CebuWeb.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,032-20,1st,2020-12-03 00:00:00,,UNKNOWN,s nan City/Municipalities Covered See Details on,"RDO No. 83 -Talisay City, CebuWeb.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,032-20,1st,nan,,UNKNOWN,s nan City/Municipalities Covered See Details on,"RDO No. 83 -Talisay City, CebuWeb.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,032-20,1st,nan,,UNKNOWN,s nan City/Municipalities Covered See Details on,"RDO No. 83 -Talisay City, CebuWeb.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,63-18,1st,nan,,UNKNOWN,s nan City/Municipalities Covered See Details on,"RDO No. 83 -Talisay City, CebuWeb.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,63-18,1st,nan,,UNKNOWN,s nan City/Municipalities Covered See Details on,"RDO No. 83 -Talisay City, CebuWeb.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,21-93,Initial,nan,,UNKNOWN,s nan City/Municipalities Covered See Details on,"RDO No. 83 -Talisay City, CebuWeb.xls [NOTICE]"
UNKNOWN,UNKNOWN,UNKNOWN,REPUBLIC OF THE PHILIPPINES,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,DEPARTMENT OF FINANCE,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,"Roxas Boulevard Corner Pablo Ocampo, Sr. Street",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,Manila 1004,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,Manila 1004,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,DEPARTMENT ORDER NO.  060- 2022,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,"August 22, 2022",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,"August 22, 2022",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,SUBJECT:      IMPLEMENTATION OF THE REVISED SCHEDULES  OF ZONAL VALUES  OF REAL  PROPERTIES,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,"IN THE CITIES  OF  CARCAR, NAGA, TALISAY  AND TOLEDO  AND  THE  MUNICIPALITIES OF",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,MINGLANILLA AND SAN FERNANDO ALL WITHIN  THE  JURISDICTION  OF  REVENUE DISTRICT,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,"NO. 83 - TALISAY CITY, CEBU REVENUE REGION NO. 13 - CEBU CITY FOR  INTERNAL  REVENUE",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,TAX PURPOSES.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,TAX PURPOSES.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,TO         :      All Internal Revenue Officers and Others Concerned.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,TO         :      All Internal Revenue Officers and Others Concerned.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,"Section  4 of Republic Act No. 10963, otherwise known as the ""Tax Reform for Acceleration and",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
