city,barangay,city_norm,barangay_norm,barangay_slug,bir_zonal_rr_median,bir_zonal_cr_median,bir_zonal_rc_median
ALCANTARA,CABADIANGAN,ALCANTARA,CABADIANGAN,CABADIANGAN,650.0,845.0,
ALCANTARA,CABIL-ISAN,ALCANTARA,CABILISAN,CABILISAN,650.0,845.0,
ALCANTARA,CANDABONG,ALCANTARA,CANDABONG,CANDABONG,650.0,845.0,
ALCANTARA,LAWAAN,ALCANTARA,LAWAAN,LAWAAN,650.0,845.0,
ALCANTARA,MANGA,ALCANTARA,MANGA,MANGA,650.0,845.0,
ALCANTARA,PALANAS,ALCANTARA,PALANAS,PALANAS,351.25,494.0,
ALCANTARA,POBLACION,ALCANTARA,POBLACION,POBLACION,950.0,1500.0,
ALCANTARA,POLO,ALCANTARA,POLO,POLO,351.5,494.0,
ALCANTARA,SALAGMAYA,ALCANTARA,SALAGMAYA,SALAGMAYA,288.0,438.0,
ALCOY,ATABAY,ALCOY,ATABAY,ATABAY,687.5,,
ALCOY,DAAN LUNGSOD,ALCOY,DAANLUNGSOD,DAANLUNGSOD,550.0,,
ALCOY,GUIWANG,ALCOY,GUIWANG,GUIWANG,737.5,,
ALCOY,NUG-AS,ALCOY,NUGAS,NUGAS,267.5,,
ALCOY,PASOL,ALCOY,PASOL,PASOL,750.0,,
ALCOY,POBLACION,ALCOY,POBLACION,POBLACION,1550.0,2050.0,
ALCOY,PUGALO,ALCOY,PUGALO,PUGALO,812.5,,
ALCOY,SAN AGUSTIN,ALCOY,SANAGUSTIN,SANAGUSTIN,267.5,,
ALEGRIA,COMPOSTELA,ALEGRIA,COMPOSTELA,COMPOSTELA,800.0,,
ALEGRIA,GUADALUPE,ALEGRIA,GUADALUPE,GUADALUPE,800.0,,
ALEGRIA,LEGASPI,ALEGRIA,LEGASPI,LEGASPI,950.0,1300.0,
ALEGRIA,LEPANTO,ALEGRIA,LEPANTO,LEPANTO,800.0,,
ALEGRIA,MADRIDEJOS,ALEGRIA,MADRIDEJOS,MADRIDEJOS,1100.0,1500.0,
ALEGRIA,MONTPELLER,ALEGRIA,MONTPELLER,MONTPELLER,800.0,,
ALEGRIA,POBLACION,ALEGRIA,POBLACION,POBLACION,1150.0,1450.0,
ALEGRIA,STA. FILOMENA,ALEGRIA,STAFILOMENA,STAFILOMENA,850.0,1200.0,
ALEGRIA,VALENCIA,ALEGRIA,VALENCIA,VALENCIA,800.0,,
ALOGUINSAN,ANGILAN,ALOGUINSAN,ANGILAN,ANGILAN,590.0,,
ALOGUINSAN,BOJO/BOHO,ALOGUINSAN,BOJOBOHO,BOJOBOHO,600.0,,
ALOGUINSAN,BONBON,ALOGUINSAN,BONBON,BONBON,600.0,,
ALOGUINSAN,ESPERANZA,ALOGUINSAN,ESPERANZA,ESPERANZA,250.0,,
ALOGUINSAN,KANDINGAN,ALOGUINSAN,KANDINGAN,KANDINGAN,250.0,,
ALOGUINSAN,KANTABUGON,ALOGUINSAN,KANTABUGON,KANTABUGON,500.0,,
ALOGUINSAN,KAWASAN,ALOGUINSAN,KAWASAN,KAWASAN,500.0,,
ALOGUINSAN,OLANGO,ALOGUINSAN,OLANGO,OLANGO,500.0,,
ALOGUINSAN,POBLACION,ALOGUINSAN,POBLACION,POBLACION,760.0,1000.0,
ALOGUINSAN,PUNAY,ALOGUINSAN,PUNAY,PUNAY,250.0,,
ALOGUINSAN,ROSARIO/STO. ROSARIO,ALOGUINSAN,ROSARIOSTOROSARIO,ROSARIOSTOROSARIO,350.0,,
ALOGUINSAN,SACSAC,ALOGUINSAN,SACSAC,SACSAC,250.0,,
ALOGUINSAN,TAMPAAN,ALOGUINSAN,TAMPAAN,TAMPAAN,400.0,,
ALOGUINSAN,TOYOKON,ALOGUINSAN,TOYOKON,TOYOKON,250.0,,
ALOGUINSAN,ZARAGOSA,ALOGUINSAN,ZARAGOSA,ZARAGOSA,500.0,,
ARGAO,ALAMBIJOD,ARGAO,ALAMBIJOD,ALAMBIJOD,325.0,,
ARGAO,ANAJAO,ARGAO,ANAJAO,ANAJAO,350.0,,
ARGAO,APO,ARGAO,APO,APO,300.0,,
ARGAO,BALAAS,ARGAO,BALAAS,BALAAS,225.0,,
ARGAO,BALISONG,ARGAO,BALISONG,BALISONG,712.5,800.0,
ARGAO,BINLOD,ARGAO,BINLOD,BINLOD,950.0,1100.0,
ARGAO,BOGO,ARGAO,BOGO,BOGO,1000.0,1375.0,
ARGAO,BUG-OT,ARGAO,BUGOT,BUGOT,550.0,,
ARGAO,BULASA,ARGAO,BULASA,BULASA,1025.0,1500.0,
ARGAO,BUTONG,ARGAO,BUTONG,BUTONG,287.5,,
ARGAO,CALAGASAN,ARGAO,CALAGASAN,CALAGASAN,350.0,,
ARGAO,CANBANTUG,ARGAO,CANBANTUG,CANBANTUG,250.0,,
ARGAO,CANBANUA,ARGAO,CANBANUA,CANBANUA,1200.0,1500.0,
ARGAO,CANSUJE,ARGAO,CANSUJE,CANSUJE,350.0,,
ARGAO,CAPIO-AN,ARGAO,CAPIOAN,CAPIOAN,312.5,,
ARGAO,CASAY,ARGAO,CASAY,CASAY,1100.0,1412.5,
ARGAO,CATANG,ARGAO,CATANG,CATANG,400.0,,
ARGAO,COLAWIN,ARGAO,COLAWIN,COLAWIN,475.0,,
ARGAO,CONALUM,ARGAO,CONALUM,CONALUM,350.0,,
ARGAO,GUIWANON,ARGAO,GUIWANON,GUIWANON,1075.0,1250.0,
ARGAO,GUTLANG,ARGAO,GUTLANG,GUTLANG,375.0,,
ARGAO,JAMPANG,ARGAO,JAMPANG,JAMPANG,400.0,,
ARGAO,JOMGAO,ARGAO,JOMGAO,JOMGAO,475.0,,
ARGAO,LAMACAN,ARGAO,LAMACAN,LAMACAN,850.0,,
ARGAO,LANGTAD,ARGAO,LANGTAD,LANGTAD,1325.0,1450.0,
ARGAO,LANGUB,ARGAO,LANGUB,LANGUB,300.0,,
ARGAO,LAPAY,ARGAO,LAPAY,LAPAY,525.0,,
ARGAO,LENGIGON,ARGAO,LENGIGON,LENGIGON,500.0,,
ARGAO,LINUT-OD,ARGAO,LINUTOD,LINUTOD,325.0,,
ARGAO,MABASA,ARGAO,MABASA,MABASA,312.5,,
ARGAO,MANDILIKIT,ARGAO,MANDILIKIT,MANDILIKIT,300.0,,
