rdo,city_municipality,barangay,street_subdivision,vicinity,classification,zonal_value
80,MANDAUE CITY,ALANG-ALANG,A C CORTES AVE,FRM BOUNDARY OF BRGY. IBABAO (P. BURGOS ST.)   TO PLARIDEL ST.,CR,42000.0
80,MANDAUE CITY,ALANG-ALANG,A C CORTES AVE,,RR,
80,MANDAUE CITY,ALANG-ALANG,A C CORTES AVE,,I,36750.0
80,MANDAUE CITY,ALANG-ALANG,A C CORTES AVE,INTERIOR W/CAR ACCESS,RR,15750.0
80,MANDAUE CITY,ALANG-ALANG,P. BURGOS STREET,F. MENDOZA ST. TO G OUANO ST.,CR,21540.0
80,MANDAUE CITY,ALANG-ALANG,P. BURGOS STREET,,RR,
80,MANDAUE CITY,ALANG-ALANG,P. BURGOS STREET,,I,18780.0
80,MANDAUE CITY,ALANG-ALANG,P. BURGOS STREET,INTERIOR,RR,10800.0
80,MANDAUE CITY,ALANG-ALANG,F. MENDOZA ST.,P. BURGOS ST. TO BRIONES ST.,CR,21200.0
80,MANDAUE CITY,ALANG-ALANG,F. MENDOZA ST.,,RR,
80,MANDAUE CITY,ALANG-ALANG,F. MENDOZA ST.,,I,18150.0
80,MANDAUE CITY,ALANG-ALANG,F. MENDOZA ST.,INTERIOR,RR,11400.0
80,MANDAUE CITY,ALANG-ALANG,J. BRIONES ST. (formerly Plaridel St.),FRM . F. MENDOZA ST. TO   A.C. CORTES AVENUE,CR,42530.0
80,MANDAUE CITY,ALANG-ALANG,J. BRIONES ST. (formerly Plaridel St.),,RR,26250.0
80,MANDAUE CITY,ALANG-ALANG,J. BRIONES ST. (formerly Plaridel St.),,I,36750.0
80,MANDAUE CITY,ALANG-ALANG,J. BRIONES ST. (formerly Plaridel St.),INTERIOR,RR,12540.0
80,MANDAUE CITY,ALANG-ALANG,S. OUANO ST (formerly G.  OUANO STREET),BURGOS-PLARIDEL,CR,26750.0
80,MANDAUE CITY,ALANG-ALANG,S. OUANO ST (formerly G.  OUANO STREET),,RR,
80,MANDAUE CITY,ALANG-ALANG,S. OUANO ST (formerly G.  OUANO STREET),,I,25200.0
80,MANDAUE CITY,ALANG-ALANG,S. OUANO ST (formerly G.  OUANO STREET),INTERIOR,RR,11280.0
80,MANDAUE CITY,ALANG-ALANG,R. COLINA ST (formerly LIBERTAD STREET),RIZAL-BURGOS,CR,23100.0
