id,lat,lon,amenity_type,amenity
369910645,10.292108,123.9692813,school,St. Agustine International School
413986589,10.306683,123.876072,school,South Hills International School
962653756,10.3375835,123.9159152,school,Knowledge Garden
1508411437,10.370327,123.9525211,school,Mount Olives Christian Academy
1595998515,10.3486103,123.9129611,school,Woodridge International School
1595998518,10.3455079,123.9101168,school,"PAREF Southcrest School, Inc."
2126686790,10.3315726,123.9002115,school,CDLI
2943806333,10.3662476,123.914021,school,Exceptional Childrens Education Center - EC2
3082197017,10.3256849,123.8995989,school,PAREF Springdale School for Boys
4322460489,10.3864571,123.9582129,school,UNİCEP TURKİYE FOUNDATİON
4335331193,10.328465,123.9444716,school,Ikthus Main
4403877292,10.2976376,123.9023228,school,Protect Training Center
4414080558,10.3238747,124.0390249,school,Bayside
4457423993,10.2452784,123.8159207,school,Talisay Mind Power and Creativity Center
4665597789,10.3141915,123.9642381,school,Son Shine Kids International
4708436393,10.3116239,123.9485956,school,Saint Alphonsus Catholic School
4709153789,10.3101068,123.8856702,school,Childlink Learning Center
4746279722,10.256625,123.8601219,school,St. Ignatius de Loyola Preparatory School Inc.
4783966125,10.3260706,123.8978974,school,"Lahug Christian School, Inc."
4839668739,10.3101444,123.9044058,school,Skills
4855185324,10.330174,123.9004865,school,North American Language Academy
4855214221,10.3261421,123.9104971,school,EV English Academy
4855214421,10.3309107,123.9025869,school,Yukun Chinese School
4896251722,10.3109282,123.9586008,school,Solid Rock Christian Academy
4936730622,10.3447959,123.9497027,school,Pope John Paul II Achievement and Learning Center
4942416328,10.3042771,123.8933308,school,Cebu Bradford School
5115113694,10.3796372,123.9529291,school,Sotero B. Cabahug FORUM for Literacy
5160134324,10.3284537,123.9444975,school,Mandaue Christian School
5222490574,10.3090353,123.8837618,school,Child Learning Foundation
5537244897,10.3073787,123.9089744,school,Carreta Night High School
5638733408,10.3303607,123.9004214,school,Kid's World Child Development Centre
5707368122,10.3031838,123.9598521,school,LHM Korean language Training Centre
5721412224,10.3121001,123.8782538,school,Gille1
5748441018,10.2982999,123.8870819,school,Bob Hughes Christian Academy
5804071254,10.3415836,123.9125638,school,Rivan IT Solutions
5899821683,10.2908599,123.8660055,school,First High School for the Hearing Impaired
6043564537,10.329536,123.9021452,school,STI Senior High
6420688390,10.3099882,123.9914621,school,Holy Kids Academy
6622482385,10.3175867,123.8868903,school,SMEAG Global Education
6652708286,10.300738,123.9763841,school,Cheynair Aviation
7041244830,10.3161472,123.9723683,school,EMD Carmelite School Foundation
7127368487,10.3388629,123.8634585,school,Sunshine Corner Ministry
7221752386,10.3087434,123.9502193,school,Home Care
7229687075,10.3055339,123.9869533,school,Absadithe Montessori School
7235013618,10.3004173,123.9803122,school,Holy Infant School Montessori
7644852756,10.3017084,123.9502756,school,Gun-ob Night High School
7644855905,10.3075898,123.989599,school,Bankal Night High School Extension
7644862349,10.2962462,123.9632175,school,Basak Night High School Extension
7644891789,10.3185468,123.9719807,school,Pusok Night High School
7644892937,10.3101548,123.9578766,school,Pajo Night High School
7650951032,10.3104134,123.8378906,school,Toong Elementary School
7650951033,10.310606,123.8383439,school,Toong National High School
7651011636,10.2787831,123.8551515,school,Pardo Night High School
7662685656,10.2904983,123.8947615,school,Pasil National High School - Night
7662754126,10.297435,123.8922175,school,Regino Mercado National High School - Night
7662800979,10.3126993,123.915537,school,Mabolo National High School
7662801984,10.3243557,123.9067644,school,Barrio Luz National High School
7662904709,10.3470062,123.9119303,school,Banilad Night High School
7668165435,10.3763936,123.9575386,school,Consolacion National Night High School
7686756816,10.4009791,123.8515963,school,Sibugay High School
7686756817,10.4008194,123.8513679,school,Sibugay Elementary School
7687892085,10.3066935,123.7932024,school,Hawanay Elementary School
7814393485,10.2366187,123.8291762,school,NEWSIM TRAINING SITE
7960337386,10.3121154,123.9477564,school,SACS Grade School
7960366886,10.3124065,123.9475205,school,SACS Grade School
7965869936,10.2721167,123.8562557,school,Inayawan National Night High School Extension
7968079149,10.3798391,123.9132594,school,San Jose Primary School
8078661020,10.2931862,123.8910006,school,St. Mary’s Academy of San Nicolas
8286085417,10.29366,123.8705486,school,Don Bosco Youth Center - Punta Princesa
8654021742,10.3347378,123.9388597,school,ACLC
9184386717,10.2951193,123.8716006,school,Punta Princesa National Night High School
9609959495,10.3301287,123.9470734,school,St John Paul II School
9811211923,10.3557082,123.915799,school,EV English Academy
9811212019,10.3555599,123.9150829,school,EV Academy
10065732217,10.3123642,123.8906107,school,International Skills Republic Academy
10732021477,10.2964307,123.8740087,school,Little Angels Montessori School of Cebu
10768613006,10.2438562,123.7945488,school,Minglanilla Christian Development Center
10774570979,10.2933971,123.8920268,school,YLAC San Nicolas
10875130171,10.3096217,123.9008937,school,Compass Education RoboTech Univercity
10892472538,10.314249,123.9073022,school,Hipodromo Night High School
11879062882,10.3431426,123.9120379,school,KA Art School
11879062886,10.343228,123.9120895,school,Worldly Wise Tutorial Center
12460949782,10.2668754,123.8560084,school,CBD College Inc.
12538064945,10.3374003,123.9376822,school,Mandaue Ebenezer Alliance Academy
12747133990,10.3481846,123.9264381,school,M.V. Academy
13571721404,10.333272,123.9346674,school,Good Luck Education and Migration
13597254947,10.3374003,123.9308251,school,AYL Driving School
13611000932,10.3394795,123.9268863,school,Benedicto Technological Center
13613646007,10.34082,123.9213496,school,K4 Driving Acadey
93827084,10.347854,123.9140498,school,Bright Academy
155013886,10.2999895,123.8816606,school,Labangon BLISS Elementary School
155013890,10.3004527,123.8796264,school,Cebu City National Science High School
155282751,10.3093145,123.9047191,school,Sacred Heart School-Jesuit (Old Campus)
155744992,10.31388,123.9000822,school,USC Montessori Academy
155927182,10.301758,123.8978612,school,Philippine Christian Gospel School
155941639,10.2946053,123.8718317,school,Punta Princesa Elementary School
249318490,10.2992081,123.8987571,school,Wrocklage Yard
252080309,10.2650188,123.836094,school,St. Scholastica's Academy
265556079,10.307375,123.8967066,school,Cebu Institute of Medicine
265724139,10.3467966,123.9121386,school,Banilad Elementary School
265726523,10.3012822,123.881684,school,"Don Sergio Osmeña, Sr. Memorial High School"
275134065,10.3168365,123.8994947,school,Maria Montessori International School - Gorordo Campus
279729126,10.316583,123.8995657,school,La Manille School of Esthetics and Wellness
290897675,10.2950435,123.8857854,school,San Nicolas Elementary School
299409028,10.3054415,123.9668426,school,Bankal National High School
300842712,10.2942824,123.8899635,school,Don Carlos Gothong Memorial National High School
304342793,10.2431016,123.8397947,school,First Chinese Royal Academy
312023048,10.3813967,123.906188,school,Bonita Home for Girls
312356727,10.332392,123.8988465,school,Cambridge Child Development Centre
312362093,10.3002163,123.9475962,school,Proverb Ville Academy
312362188,10.3090244,123.9475889,school,Lapu-Lapu City Central Elementary School
316532521,10.331006,123.9885743,school,Ibo Elementary School
321929265,10.2800091,123.8548619,school,Holy Rosary School of Pardo
321929267,10.2908726,123.8655471,school,Don Vicente Rama Memorial National High School
363407097,10.3861757,123.9564709,school,Bagong Lipunan Elementary School
363434762,10.2755103,124.0713226,school,Caw-oy Elementary School
364122405,10.2655986,124.0599073,school,Tungasan Elementary School
364389514,10.2714967,124.0676777,school,Candagsao Elementary School
364769116,10.2865247,124.0708361,school,Tingo Elementary School
364770434,10.2864652,124.065141,school,Baring Elementary School
368407923,10.2759201,124.059878,school,Talima Elementary School
368437802,10.2397792,124.0531383,school,Suba Elementary School
379689460,10.3111778,124.0057813,school,International Academy of Film and Television
401884073,10.2564814,123.8388406,school,San Isidro Elementary School
401902913,10.2634477,123.8406748,school,Tabunoc Central Elementary School
401912609,10.2579197,123.841007,school,CBS
402307098,10.2440226,123.8496156,school,Malayan Academy
402568557,10.3075039,123.9087813,school,Carreta Elementary School
403989111,10.2555088,123.8398376,school,Unnamed education
403989233,10.2565488,123.8401399,school,Unnamed education
404020334,10.2721194,123.8457798,school,East Visayan Academy
422782777,10.3025918,123.8168806,school,Jaclupan Elementary School
422796847,10.3606537,123.7949238,school,Bitlang National High School
430280487,10.3207691,123.8849185,school,Ramon Duterte Memorial High School
459313367,10.3277365,123.942269,school,Unnamed education
470946023,10.3255222,123.9747,school,Pusok Elementary School
473523338,10.2395179,123.8029591,school,Calajo-an Elementary School
473529126,10.2390505,123.8094708,school,The Three H Redwood Academy
482985925,10.3855948,123.9651429,school,Lamac Elementary School
490387959,10.270455,123.9684233,school,Nissi Academy
