id,lat,lon,amenity_type,amenity
2126257880,10.3313114,123.8979719,marketplace,Unnamed grocery
3182113257,10.3318902,123.8989382,marketplace,Lahug Market
4617877692,10.3007358,123.9805427,marketplace,Pajac Wet Market
5581833955,10.3961012,123.9222796,marketplace,Pit-os Public Market
5846393438,10.28971,123.8740805,marketplace,Tabada Public Market
7244388167,10.2868775,123.968978,marketplace,Unnamed grocery
7401965134,10.350546,123.9247314,marketplace,Cabancalan Mini Market
7409755885,10.2949359,123.8691384,marketplace,Punta Princesa Public Market
7416565885,10.3861683,123.9213462,marketplace,Bacayan Public Market
7637096586,10.3557324,123.9502065,marketplace,Basak Tyangi
10892465897,10.3117865,123.9085388,marketplace,Unnamed grocery
11817509751,10.321997,123.9060321,marketplace,Public Market Barangay Luz
12743913327,10.34959,123.9251154,marketplace,Inse Loling's Market
47870461,10.3108589,123.9503086,marketplace,Lapu-Lapu City Public Market
207704673,10.3159047,123.8852419,marketplace,Banawa Public Market
241568591,10.2917163,123.899841,marketplace,Carbon Unit 3 Public Market
282040498,10.3045675,123.8992822,marketplace,F. Ramos Public Market
308237871,10.2794988,123.8557098,marketplace,Pardo Public Market
335725378,10.2912434,123.8980233,marketplace,Carbon Unit 1 Public Market
335725779,10.2914802,123.8989673,marketplace,Carbon Interim Public Market
355848025,10.360436,123.9158652,marketplace,Cabancalan Test Market
355848026,10.3600389,123.9159366,marketplace,Cabancalan Market
402324001,10.263398,123.838473,marketplace,Talisay City Public Market
420187149,10.289665,123.8914401,marketplace,Cebu City Fish Market
472435813,10.2704833,123.8566176,marketplace,Inayawan Public Market
577608098,10.3750833,123.9608193,marketplace,Consolacion Public Market
609537243,10.2914629,123.8919861,marketplace,Pasil Fish Market
855780899,10.3276686,123.9414342,marketplace,Mandaue City Public Market
930834742,10.2633379,123.8386014,marketplace,Talisay City Public Market
1119902685,10.3015293,123.9043482,marketplace,Tiburcio Padilla Public Market
1139295030,10.2417411,123.7984801,marketplace,The Marketplace Minglanilla
1172321959,10.3116626,123.907989,marketplace,Hipodromo Public Market
1208983114,10.368259,123.9329032,marketplace,Unnamed grocery
1284550290,10.318054,123.9148656,marketplace,Unnamed grocery
1354574440,10.3409933,123.9351264,marketplace,JJ Market Place
12658509,10.2955046,123.8911713,marketplace,Tabo-an Public Market
355114441,10.3262532,123.9523026,supermarket,Johann Commercial
369910696,10.2979824,123.8953864,supermarket,Healtea
369910743,10.332877,123.9495527,supermarket,Metro Fresh & Easy
413986507,10.31213,123.950264,supermarket,168 Hypermart
490429596,10.3246806,123.9345302,supermarket,SaveMore
771212795,10.2599363,123.8296974,supermarket,Robinsons Supermarket
1272670847,10.3093385,123.8940836,supermarket,Robinsons Supermarket
1595938801,10.3408718,123.9128729,supermarket,Robinsons Supermarket
1686604490,10.3182032,123.9052072,supermarket,The Marketplace
1909506238,10.3356293,123.93875,supermarket,Unitop Maguikay
2086017043,10.311,123.9521345,supermarket,168
2126256880,10.3303692,123.898246,supermarket,JY Supermarket
2134823185,10.3359703,123.9344114,supermarket,J Centre Mall
2134915601,10.3626679,123.9490407,supermarket,Savemore
2769574024,10.3210795,123.9112453,supermarket,Assi Mart
2830634059,10.2969301,123.8990279,supermarket,Metro Wholesale Mart
2844172101,10.3178999,123.8953005,supermarket,Robinsons EasyMart
2947255510,10.3801729,123.9655006,supermarket,Savemore
3105254991,10.2902442,123.9678502,supermarket,Gaisano Savers Mart
3560252374,10.31686,123.9058414,supermarket,Rustan's Supermarket
3591257071,10.3666441,123.9136128,supermarket,Gaisano Grand Mall Talamban
3591340405,10.3396607,123.9106666,supermarket,Gaisano
4043132000,10.266767,123.8430413,supermarket,Robinsons Supermarket
4047221705,10.3504218,123.9484124,supermarket,SM supermaket
4063026765,10.2646479,123.8406111,supermarket,Happy Mart
4173736304,10.2572311,123.8591856,supermarket,Gaisano Capital SRP
4347773292,10.3454018,123.9309033,supermarket,Gaisano Capital Casuntingan
4404045290,10.2818791,123.8798232,supermarket,Savemore Seaside City
4546578389,10.3748425,123.9597549,supermarket,SM Savemore
4572587311,10.310479,123.9496388,supermarket,PC Mactan
4631928089,10.3252323,123.9173915,supermarket,Fooda Saversmart
4631974292,10.3407767,123.9483658,supermarket,Metro Supermarket
4648425092,10.3267059,123.9758383,supermarket,Robinsons Supermarket
4665562390,10.3131603,123.955997,supermarket,Metro
4741660205,10.3358058,123.9339704,supermarket,SM Hypermarket
4884650721,10.2498471,123.8310092,supermarket,Zabeth's Store
4937096900,10.3046838,123.8787931,supermarket,Nofrills
4970176984,10.3637408,123.8260041,supermarket,RA Enterprises
5047595224,10.3695268,123.9183265,supermarket,Robinsons Supermarket
5354790522,10.2779625,123.853956,supermarket,Wellcome Supermarket
5744866021,10.3268685,123.9437088,supermarket,Unnamed grocery
5905595662,10.3263767,123.917776,supermarket,Robinsons Easymart
6186084402,10.3076554,123.9043637,supermarket,Lorega San Miguel Public Market
6791984023,10.3046651,123.8925418,supermarket,Fresh Mart
6994221677,10.3128875,123.8945143,supermarket,Robinsons Supermarket
7103844002,10.2866383,123.9706706,supermarket,Gaisano Grand Mall Supermarket
7111851104,10.3165685,123.9632001,supermarket,Unnamed grocery
7140626602,10.3077824,124.0131151,supermarket,Robinson's Easy Mart
7229485487,10.2608259,123.8384827,supermarket,Shopwell
7229485490,10.312406,123.951346,supermarket,Sosyo Supermart
7273839444,10.3301785,123.9072908,supermarket,Metro Supermarket
7350241986,10.2414662,123.7973727,supermarket,Longwin General Merchandise
7354112985,10.2909345,123.8818656,supermarket,Henyo's pizza stall
7375837076,10.3837615,123.9212708,supermarket,Bacayan Savers Mart
7409770785,10.2996821,123.8696896,supermarket,Gaisano Supermarket
7788525485,10.2962624,123.9838998,supermarket,Savemore
8078500118,10.2452799,123.7944778,supermarket,Metro Fresh and Easy
8082904718,10.2476013,123.8003302,supermarket,Robinsons Supermarket
8082916632,10.256065,123.8132065,supermarket,Noy Tilano Market
8103161517,10.3173947,123.9037965,supermarket,Metro Gaisano Supermarket
8285894417,10.2670179,123.8438748,supermarket,Robinsons Supermarket
8696673058,10.2961116,123.8984053,supermarket,Metro Supermarket
9273632211,10.2904635,123.9647777,supermarket,Baker's Alley Lapu-Lapu City
9455623117,10.3203994,123.9098104,supermarket,Landers Superstore Cebu Membership Shopping
9547075717,10.2905737,123.9472615,supermarket,GM Store
10227828717,10.2586167,123.8176059,supermarket,Puregold
10300105110,10.3116757,123.8984543,supermarket,Puregold
10300105209,10.3727465,123.9549396,supermarket,Puregold
10587614161,10.3899148,123.9506197,supermarket,Bitoon Store
10632535636,10.2593295,123.8231456,supermarket,All Day Supermarket
