id,lat,lon,amenity_type,amenity
1596043238,10.3778511,123.9632473,hospital,Consolacion Community Doctors Inc. CCDI
4557994389,10.3374922,123.9033159,hospital,Camp Lapu-Lapu Army Station Hospital
6711171889,10.3238134,123.9271891,hospital,Mental hospital
7389981760,10.3100161,123.9047573,hospital,Bayanihan Cebu Field Center - SHS
8082916721,10.2490162,123.8041193,hospital,Minglanilla District Hospital
9047154317,10.3396634,123.9544111,hospital,The Hospital at Maayo
9473335017,10.3166507,123.888146,hospital,Supercare Cebu
10567964709,10.3414165,123.9292989,hospital,Women’s and Children’s Community Hospital
13821948063,10.3383581,123.9542194,hospital,The Hospital at Maayo
123170673,10.3471198,123.915138,hospital,Vicente Gullas Memorial Hospital
156273571,10.3087503,123.8923279,hospital,Cebu Maternity Hospital
156274043,10.3020176,123.8948046,hospital,Saint Vincent's General Hospital
210155777,10.323425,123.9427931,hospital,Mandaue City Hospital
290888378,10.3291225,123.9434626,hospital,Cortes General Hospital
290897615,10.2960515,123.8876669,hospital,Adventist Hospital - Cebu
346433103,10.3346574,123.9514822,hospital,Amosup Seamens Hospital
374382271,10.3817943,123.9682693,hospital,Mendero Medical Center
401890728,10.2537063,123.8385335,hospital,Cebu South Medical Center
469002266,10.2863636,123.8710002,hospital,Saint Anthony Mother and Child Hospital
574663435,10.3015221,123.9507694,hospital,Lapu-Lapu District Hospital
610106337,10.3227685,123.9316302,hospital,Chong Hua Hospital Mandaue
611916620,10.3076881,123.8968479,hospital,Cebu Velez General Hospital
612407069,10.3035907,123.8921655,hospital,SWU PHINMA Hospital
787493801,10.2822877,123.9898077,hospital,Mactan Med Hospital
807286244,10.2557698,123.8119266,hospital,Baking Medical Center
819142592,10.3048146,123.9472665,hospital,Tojong Maternity & General Hospital
854148465,10.2422396,123.7984721,hospital,San Lucas Medical
854173536,10.2864602,123.8712612,hospital,Saint Anthony Mother and Child Hospital
898099403,10.3658363,123.95416,hospital,Eversley Child Sanitarium and General Hospital
935225355,10.3207698,123.9304492,hospital,University of Cebu Medical Center
1330059248,10.2974162,123.8915075,hospital,Cebu City Medical Center
1361864477,10.2871203,123.8631929,hospital,ACE Medical Center - Cebu
1413372769,10.290173,123.9667336,hospital,Unnamed hospital
1417137675,10.2705797,124.0604628,hospital,Santa Rosa Community Hospital
1418853452,10.3064587,123.8951101,hospital,VisayasMed Hospital
1420297877,10.3104008,123.954087,hospital,Our Lady of the Rule Maternity and General Hospital
8448182,10.3163376,123.9710291,hospital,PAF Hospital
12661604,10.3140477,123.8922238,hospital,Cebu Doctors' University Hospital
17012112,10.307831,123.8916528,hospital,Vicente Sotto Memorial Medical Center
17697806,10.3100482,123.8912003,hospital,Chong Hua Hospital
18219761,10.3148392,123.8995888,hospital,Perpetual Succour Hospital
19083653,10.3732027,123.9145561,hospital,North General Hospital
