id,lat,lon,amenity_type,amenity,lgu
ChIJtcd1RVCZqTMRu-Dimp3v_rc,10.305543,123.894911,pharmacy,5th Avenue Pharmacy,Cebu City
ChIJU4xj502ZqTMRk2UHt5MPuHc,10.3088719,123.89089,pharmacy,Botikang Pinoy,Cebu City
ChIJGQ2KguKbqTMRnidRQPiPcZU,10.2969949,123.899197,pharmacy,Citidrug 2-in-1 Drugstore,Cebu City
ChIJGSCioUeZqTMRoEtKZcN6X34,10.3149776,123.8994662,pharmacy,Coco Life Health Care,Cebu City
ChIJE9-iMkqZqTMRoygtNhIMpPE,10.3128776,123.892862,pharmacy,Completesolution Pharmacy and General Merchandise,Cebu City
ChIJh8QWUlCZqTMRPVt9nb3zLDc,10.3053681,123.8945379,pharmacy,Dr. Iben Ting Pharmacy,Cebu City
ChIJa_xax8qeqTMR9tb7B5zhXN4,10.31874,123.884613,pharmacy,Extreme Xcience Product Center,Cebu City
ChIJ1RhdFkiZqTMRAsZjG9F1200,10.3159146,123.8956858,pharmacy,ExtremeXcience Incorporated,Cebu City
ChIJEbLjX2eZqTMRJkNyHi3NYgQ,10.3020149,123.908147,pharmacy,Farmacia Ignacio,Cebu City
ChIJz0z56ROZqTMRaZyekJXmNNs,10.3184049,123.9150409,pharmacy,Farmacia Ni Dok,Cebu City
ChIJUThKgdGeqTMRLaWxMa22ipo,10.3303003,123.8800774,pharmacy,GENERIKA DRUGSTORE,Cebu City
ChIJxTT3AFeZqTMRrLjJ4xDOOYE,10.3047226,123.9141351,pharmacy,GENERIKA DRUGSTORE REGIONAL OFFICE,Cebu City
ChIJsbQnlliZqTMRMj4gEOgwS9E,10.297578,123.9009488,pharmacy,Generika,Cebu City
ChIJ-ScRCSaZqTMRZVLU4gjd5yE,10.3311633,123.8979827,pharmacy,Generika Drugstore,Cebu City
ChIJGf2hoxWZqTMR29whoVJNfBs,10.3222655,123.9054957,pharmacy,Generika Drugstore,Cebu City
ChIJcf4Xl_6bqTMRudRiTuJqDs0,10.294689,123.890527,pharmacy,Generika Drugstore,Cebu City
ChIJlb4jtVCZqTMRAwsj7_DrwhM,10.2961209,123.8988727,pharmacy,Generika Drugstore,Cebu City
ChIJCwrYzRWbqTMRf-u9hSXrWVs,10.2935011,123.8968888,pharmacy,Generika Drugstore (Magallanes Branch),Cebu City
ChIJfWMh9hucqTMRJhnI1RACgx4,10.2958383,123.8699077,pharmacy,Generika Drugstore - Punta Princesa,Cebu City
ChIJwwMntJOfqTMRDsT7hT-pv6o,10.3003828,123.8846963,pharmacy,Generika Drugstore Labangon A. Lopez St.,Cebu City
ChIJhTpcWQCdqTMRIfqoHqqWdhA,10.2889591,123.8741474,pharmacy,Generika Drugstore Mambaling,Cebu City
ChIJgUL5Fi2ZqTMR8kKNsd-jtZE,10.3290207,123.8873516,pharmacy,Generika drugstore,Cebu City
ChIJi6awAVCZqTMR5N8SGppn3sI,10.3069065,123.8967291,pharmacy,Green World Woo Tekh Philippines Incorporated,Cebu City
ChIJq0DOus2eqTMREOqEFitTPdg,10.3265485,123.8821078,pharmacy,Healty Pharmacy,Cebu City
ChIJea813EiZqTMRLmWBmiU4kCk,10.3131045,123.8946703,pharmacy,Jvzea Pharmaceuticals,Cebu City
ChIJMWO8ORacqTMRKTBd6u0KBv4,10.2883769,123.864607,pharmacy,La Nueva Pharmacy Basak Pardo,Cebu City
ChIJuZPUDACcqTMReF7ByNgHcpI,10.2976891,123.8853148,pharmacy,La Nueva Pharmacy Tres De Abril,Cebu City
ChIJm6KJ5EmZqTMRZ5nsE8cYOYI,10.316833,123.8922138,pharmacy,Lema Pharmaceuticals Inc,Cebu City
ChIJHy5wIVuZqTMRQ8PjjPOWuWA,10.305584,123.900018,pharmacy,M Lhuillier Pharmacy,Cebu City
ChIJ08VKRkmZqTMRxM2mULvpWuU,10.312992,123.892571,pharmacy,Mega Value Drug Store,Cebu City
ChIJQQ5Cl06ZqTMRKJXKGoFD_6w,10.3109297,123.8921255,pharmacy,Megavalue Drugstore,Cebu City
ChIJR6nEAT-ZqTMR7Nw1hjug7uw,10.3190505,123.9041061,pharmacy,Mercury Drug,Cebu City
ChIJlTnfTiKZqTMR3ZsGpz9DpwI,10.3282608,123.9057247,pharmacy,Mercury Drug,Cebu City
ChIJaZ5fZD6cqTMRByrgDC2nRAQ,10.2863416,123.8610891,pharmacy,Mercury Drug - Cebu City Basak Pardo,Cebu City
ChIJX0lwMs6YqTMROjZyJhbinwg,10.3464523,123.8938962,pharmacy,Mercury Drug - Cebu City Busay,Cebu City
ChIJYyxcSwCbqTMR1pDPr-TlSZM,10.2957154,123.897527,pharmacy,Mercury Drug - Cebu City Colon,Cebu City
ChIJfS910kqZqTMRF6uGWske33o,10.3161051,123.8860701,pharmacy,Mercury Drug - Cebu City Guadalupe,Cebu City
ChIJ87gF4myZqTMRIcupkvBH4QU,10.3127681,123.9164287,pharmacy,Mercury Drug - Cebu City Mabolo A. Soriano,Cebu City
ChIJ2UQigUmZqTMRIhmrHW2GCBI,10.3149469,123.8915141,pharmacy,Mercury Drug - Cebu City Osmeña Avila,Cebu City
ChIJR9a5DxycqTMR3wm2YfH29Jc,10.2966203,123.8697273,pharmacy,Mercury Drug - Cebu City Punta Princesa,Cebu City
ChIJbV0vl-KbqTMR8sCBgGy4qrE,10.2963171,123.8985862,pharmacy,Mercury Drug - Metro Colon,Cebu City
ChIJETqz_U6ZqTMRaqZf10Msx-I,10.3099531,123.8939964,pharmacy,Mercury Drug Pharmacy Fuente,Cebu City
ChIJMerTvBCcqTMR2JG6_7rqNEQ,10.2904559,123.8705277,pharmacy,Metro Pharmacy,Cebu City
ChIJx2zniFiZqTMRGPd65IOK8BM,10.2976918,123.8999784,pharmacy,Metro Pharmacy,Cebu City
ChIJpTq15U-ZqTMRgnA9ZB7k8WU,10.3075914,123.8959601,pharmacy,Mom's Best Value Pharmacy,Cebu City
ChIJSQ47nkeZqTMRzgTHomI6i5A,10.315423,123.9005143,pharmacy,Pharmacy,Cebu City
ChIJTXfNjEuZqTMRduLqQO--ku8,10.3134327,123.8896,pharmacy,Prosel Pharmaceuticals and Distributors Incorporated,Cebu City
ChIJE8uuNzWZqTMRWcbCZp3giYY,10.319208,123.886326,pharmacy,Rose Institute Of Cosmetology And Pharmacy,Cebu City
ChIJ48uiu-yZqTMRv3EyGmh_07Y,10.3182169,123.9151896,pharmacy,Rose Pharmacy,Cebu City
ChIJ6RxLDQCZqTMR4wGoOE4wuzI,10.3030412,123.8901511,pharmacy,Rose Pharmacy,Cebu City
ChIJS0Ss3FKZqTMRWEz8Gnn_jvU,10.3063432,123.8868881,pharmacy,Rose Pharmacy,Cebu City
ChIJUe1FLlCZqTMRPICm8MZT--E,10.3066137,123.8944889,pharmacy,Rose Pharmacy,Cebu City
ChIJfVxl_U-ZqTMRY-vgewdQ8Bs,10.3070405,123.8963701,pharmacy,Rose Pharmacy,Cebu City
ChIJh5Nmg0mZqTMRDwLsCBHOABY,10.3150509,123.8918428,pharmacy,Rose Pharmacy,Cebu City
ChIJw3Thw1eZqTMRiOzAP3zk1rk,10.298178,123.8953976,pharmacy,Rose Pharmacy,Cebu City
ChIJx6T8aZyZqTMRDraUIjC9iaA,10.3307927,123.9070437,pharmacy,Rose Pharmacy,Cebu City
ChIJz8QBrz-ZqTMRAEPmrSdK-M4,10.3187234,123.9040191,pharmacy,Rose Pharmacy,Cebu City
ChIJud4RgeKbqTMR0KfqRHlL2kM,10.2968505,123.8994622,pharmacy,Rose Pharmacy - Colonade,Cebu City
ChIJi-tGTbWdqTMRLKzE6qKCfGM,10.288006,123.8578774,pharmacy,Rose Pharmacy - Quiot,Cebu City
ChIJBZ3pfwCZqTMR7NlZe6gUUmM,10.3170693,123.9060727,pharmacy,Rose Pharmacy - The Market place Ayala,Cebu City
ChIJAfxnxbSZqTMRVASgql-Z8p8,10.3286754,123.9034646,pharmacy,"Rose Pharmacy AVC Salinas, Lahug",Cebu City
ChIJVbLEt26ZqTMR3U9zpLm_t4s,10.3168072,123.8939452,pharmacy,Rose Pharmacy Capitol Site Escario,Cebu City
ChIJc2NUa06ZqTMRF3grh7ZfvW4,10.301764,123.9062157,pharmacy,Rose Pharmacy Cebu Catmon,Cebu City
ChIJz0fzymyZqTMRLL-BmKBPbO0,10.3142857,123.9150675,pharmacy,Rose Pharmacy Express Inn,Cebu City
ChIJi6eh_k6ZqTMRIB_T7TrUoSQ,10.3106398,123.8933665,pharmacy,Rose Pharmacy Fuente Osmena,Cebu City
ChIJ0R_53LSeqTMRiRb606bNo7U,10.3152739,123.884574,pharmacy,Rose Pharmacy Gaisano Capital One Pavillion,Cebu City
ChIJM6Qtz-KbqTMRerQBXpJw_2k,10.296599,123.8963228,pharmacy,Rose Pharmacy Gaisano Capital South,Cebu City
ChIJMebQNzWZqTMR1mJa2LmRHmM,10.319409,123.8860073,pharmacy,Rose Pharmacy Inc.,Cebu City
ChIJAftanqaZqTMRu9r6ErBhH6A,10.3006373,123.8991177,pharmacy,Rose Pharmacy Junquera P. Del Rosario St. Cebu City,Cebu City
ChIJ8ZBU5iWZqTMR2-0KKKzPMmc,10.3303341,123.8976952,pharmacy,Rose Pharmacy Jy Square One Lahug,Cebu City
ChIJYZM3CBycqTMRc8UmwYoANKc,10.295091,123.869631,pharmacy,Rose Pharmacy Metro Fresh N' Easy,Cebu City
ChIJs4S11qieqTMRWHFYv0fwBRc,10.304022,123.8771181,pharmacy,Rose Pharmacy Salvador Extension Labangon,Cebu City
ChIJFyDM8yWZqTMRPLDDW6ZM_BY,10.3302647,123.8976623,pharmacy,Rose Pharmacy Sanson Road Lahug,Cebu City
ChIJJXl5lRCcqTMRrJWgfEsPgSg,10.2896297,123.8711071,pharmacy,Rose Pharmacy Shopwise Mall Basak,Cebu City
ChIJP7_z2SGZqTMRbQDVqbmj_w0,10.3315496,123.9077693,pharmacy,Rose Pharmacy Skyrise 1 Bldg Cebu I.T.Park,Cebu City
ChIJObeDo1SZqTMRpQjXRinNYQQ,10.3301474,123.906432,pharmacy,Rose Pharmacy Skyrise 4A Cebu I.T. Park,Cebu City
