id,lat,lon,amenity_type,amenity,lgu
ChIJFQBMhQycqTMRvqDXfoOMvwg,10.281912,123.8795628,sports_complex,2BR Unit 2426 Sanremo Oasis ARC Home Rentals,Cebu City
ChIJpe8y4X6YqTMRgH-69fFEuXk,10.2903995,123.8928605,sports_complex,AIM Global,Cebu City
ChIJJZ9-XwScqTMRvkfr4KeGF1w,10.2944386,123.8775334,sports_complex,AJC IT Solutions,Cebu City
ChIJoZrlSj2ZqTMRsrgiFxHPO4c,10.3250523,123.9067295,sports_complex,AVENIR,Cebu City
ChIJJSCCJVeZqTMRT0GTX63X8GI,10.3008664,123.8952547,sports_complex,Abellana Sport Complex,Cebu City
ChIJubrVheuYqTMREaZmH4ejafE,10.3317564,123.9106744,sports_complex,Aboitiz Equity Ventures Inc.,Cebu City
ChIJB1NVlEOZqTMRnmWoOsIVN50,10.3094336,123.90375,sports_complex,AllSon's Inn,Cebu City
ChIJKTPLIu-fqTMRqAAQCoPhWkQ,10.308397,123.8479288,park,Amaroo Nature Park Development,Cebu City
ChIJyZp7NgScqTMRG0GoPRH-sx8,10.2924972,123.8788398,sports_complex,Anoba Studio,Cebu City
ChIJ1Q5hehWZqTMRF9fnGweaM8E,10.3172601,123.9091749,park,Anytime Fitness Cebu Business Park,Cebu City
ChIJR21DN9eZqTMRrA_MDKrA4f8,10.3311007,123.9075784,park,Anytime Fitness Cebu I.T. Park,Cebu City
ChIJ7dAHg_-bqTMR1DOiDJdZ0G4,10.296731,123.8863336,sports_complex,Asia Glass Palace,Cebu City
ChIJJ0AnIaieqTMRTfLZtTZ-uWA,10.2814563,123.8641391,sports_complex,"Atlas Shippers International, Inc.",Cebu City
ChIJAX2WEySZqTMRpKoCTNVPBrc,10.3296351,123.9015876,sports_complex,Audiopro Videonics (Cebu Appliance Center),Cebu City
ChIJn8BSWCKZqTMRT4yrKd0YrZc,10.3301641,123.9062966,sports_complex,Author Solutions Philippines Incorporated,Cebu City
ChIJYyMR6iGZqTMRIFuUYYnIVfo,10.3324209,123.9063404,sports_complex,Avida Towers Cebu,Cebu City
ChIJLzwqnDmZqTMR2yO2Q0THCZU,10.3198802,123.8995914,sports_complex,BPI Cebu Lahug Branch,Cebu City
ChIJKdJphP-bqTMRbXI_Fb8kVpk,10.2933798,123.880813,sports_complex,BPI Cebu N. Bacalso Branch,Cebu City
ChIJPaPlpKyZqTMRfXtw0Ex6PdA,10.3181997,123.9015308,park,BagtikSolutions.Co,Cebu City
ChIJg5Lrpf6bqTMR5mA0kip3Zbs,10.294098,123.891073,sports_complex,Banco de Oro,Cebu City
ChIJpxVYIPqbqTMRhsK6LH7eNgg,10.2896675,123.891482,sports_complex,Bantay Dagat Commission - Cebu City Government,Cebu City
ChIJPTWPS_6bqTMRToHjT4WgsQY,10.2967977,123.8887882,sports_complex,Battle of Tres de Abril Marker,Cebu City
ChIJyVZl0T-ZqTMRmwHN1aBb0nI,10.3174183,123.9076066,sports_complex,Bayswater,Cebu City
ChIJn2IM-z6ZqTMRq_sGvc9IeOk,10.3197316,123.9097234,sports_complex,Belo Medical Group - Cebu,Cebu City
ChIJvU7gSQCfqTMRcGK0pfb_IEU,10.3020678,123.8809971,park,"Benrubiom Street, Bliss Housing, Labangon",Cebu City
ChIJzQIgiRCcqTMRqDW45cNsUTI,10.2899885,123.8713193,sports_complex,Bible Study Center,Cebu City
ChIJOS2JlQWcqTMRIn0kP25JyIY,10.2905017,123.8767281,sports_complex,Bio-Plus Repair Center,Cebu City
