id,lat,lon,amenity_type,amenity,lgu
ChIJr_0AkzeZqTMRUmoqlN1Edyk,10.3181392,123.8965661,restaurant,10 Dove Street Confectionery,Cebu City
ChIJFTb9PwCfqTMRO9CKp396MuY,10.3124987,123.8783323,cafe,100 Percent Cafe,Cebu City
ChIJJVluNACfqTMRJlUQNDKaMoU,10.3039668,123.8840538,restaurant,24-Seven Convenience Store,Cebu City
ChIJsW6EsE-ZqTMRNP0dSnYx2fc,10.3081163,123.895565,restaurant,24/7 Quickmart,Cebu City
ChIJF7a6a1WZqTMRK_hXNRDEG5M,10.3380519,123.9056717,restaurant,5G Coffee House,Cebu City
ChIJr5e_ImaZqTMRGJW9Tw0ZF5c,10.3046295,123.9121908,restaurant,7 Eleven,Cebu City
ChIJuYcw_ESZqTMRBjEPvBSCS4Q,10.3168381,123.9018787,restaurant,7 Eleven,Cebu City
ChIJ0ZNpkyWZqTMRRzTLLNpq2kM,10.3296726,123.8979228,convenience_store,7-Eleven,Cebu City
ChIJ1XISOUqZqTMRJBLiZJ-totk,10.3157648,123.8902067,convenience_store,7-Eleven,Cebu City
ChIJ23VC9k6ZqTMRrIEDPLbDyk8,10.3328132,123.9094211,convenience_store,7-Eleven,Cebu City
ChIJ66rFWWuZqTMRyQi-tQMedOw,10.3139872,123.9133797,convenience_store,7-Eleven,Cebu City
ChIJ7U4NW_GZqTMRn0SWHMQBZKU,10.338265,123.9049334,convenience_store,7-Eleven,Cebu City
ChIJ87PWqYuZqTMR6sFNz-44_Mk,10.3323373,123.9065414,convenience_store,7-Eleven,Cebu City
ChIJ88IgaESZqTMRpMWDbNPEtJE,10.3095768,123.9011244,convenience_store,7-Eleven,Cebu City
ChIJAezEOT6ZqTMR_CyyGsqIO8k,10.3184896,123.906928,convenience_store,7-Eleven,Cebu City
ChIJByuoUbOZqTMRf8nqbS9xT84,10.3243818,123.9151389,convenience_store,7-Eleven,Cebu City
ChIJDzymuF2ZqTMR3mQprZiPJx0,10.3022569,123.906299,convenience_store,7-Eleven,Cebu City
ChIJF2LOYz6ZqTMRHtxk5NYxm8Y,10.3106674,123.8961723,convenience_store,7-Eleven,Cebu City
ChIJI-HoreWfqTMRRLlDsxrJlFQ,10.3150897,123.8833342,convenience_store,7-Eleven,Cebu City
ChIJO4fQq2uZqTMRaUkIGc9eTng,10.3123299,123.9112379,convenience_store,7-Eleven,Cebu City
ChIJP3wKlCOZqTMRSuylpiEgPO8,10.3287111,123.9034453,convenience_store,7-Eleven,Cebu City
ChIJRxHiQk-ZqTMR2GLEy3c9E80,10.3105108,123.8951521,convenience_store,7-Eleven,Cebu City
ChIJVSP1ot6ZqTMRiT54ePjQyxk,10.3211532,123.8991784,convenience_store,7-Eleven,Cebu City
ChIJVz5JgPybqTMR-AyLf1CfkY8,10.2923585,123.8911082,convenience_store,7-Eleven,Cebu City
ChIJZ_n6EACcqTMRqD55ybNQp4w,10.2980196,123.8848765,convenience_store,7-Eleven,Cebu City
ChIJ_1izEiKZqTMRTzXl5biWzdE,10.3291339,123.9067398,convenience_store,7-Eleven,Cebu City
ChIJaR4fzTiZqTMRLMsayHiicwc,10.3178266,123.9025078,convenience_store,7-Eleven,Cebu City
ChIJaZ-vLTaZqTMRYceSElR3i2E,10.3174968,123.8939357,convenience_store,7-Eleven,Cebu City
ChIJbTx8m-KbqTMRJjg48g284GA,10.2968589,123.8988531,convenience_store,7-Eleven,Cebu City
ChIJc6SnZV-ZqTMRDog0TXYUlMA,10.296925,123.9044282,convenience_store,7-Eleven,Cebu City
ChIJc6l2bKeeqTMRh-gMkCOKsaM,10.3014099,123.870799,convenience_store,7-Eleven,Cebu City
ChIJcTB2Vp2ZqTMRTuAvwqhBRPU,10.3129286,123.9054404,convenience_store,7-Eleven,Cebu City
ChIJfZp6o1mZqTMRMF3Fo_VavQk,10.302208,123.8981597,convenience_store,7-Eleven,Cebu City
ChIJfbRfciGZqTMRGLl9Hu0zvik,10.3311875,123.9046875,convenience_store,7-Eleven,Cebu City
ChIJiVf7PACZqTMRdD6ml7UyOPo,10.3309434,123.9079675,convenience_store,7-Eleven,Cebu City
ChIJid1t9OeZqTMRNi3E_jgzKWw,10.31698,123.9092417,convenience_store,7-Eleven,Cebu City
ChIJlY50PSCZqTMRTtHfmh_TXWU,10.3332973,123.9071046,convenience_store,7-Eleven,Cebu City
ChIJlx0Iyv-bqTMRzhHqYg4H-7I,10.2969674,123.888353,convenience_store,7-Eleven,Cebu City
ChIJlxl9jCSZqTMRAbPnLoCPhyE,10.3266518,123.9086553,convenience_store,7-Eleven,Cebu City
ChIJn7RuYemfqTMRjSt900t77Fs,10.3012504,123.8780611,convenience_store,7-Eleven,Cebu City
ChIJnZPVQDudqTMRMUr_fpt-Bro,10.2869695,123.8715178,convenience_store,7-Eleven,Cebu City
ChIJo3fqizycqTMR0pmQYbSnpuQ,10.2899854,123.8589411,convenience_store,7-Eleven,Cebu City
ChIJpytINlaZqTMRiMEy38qmGiY,10.2988419,123.8936833,convenience_store,7-Eleven,Cebu City
ChIJr9HxCVSZqTMR-hlsL1NYYag,10.3030968,123.8909365,convenience_store,7-Eleven,Cebu City
ChIJsVuaHSKbqTMRY_MFZ4l6SVI,10.2935976,123.9069977,convenience_store,7-Eleven,Cebu City
ChIJtS3LVHKZqTMRen5h8nwTQmA,10.3152609,123.9052422,convenience_store,7-Eleven,Cebu City
ChIJtY-llU6ZqTMRdhZZwQCUJD8,10.3109375,123.8925625,convenience_store,7-Eleven,Cebu City
ChIJudCahveZqTMR75W9pqgw9_Y,10.3286004,123.9055456,convenience_store,7-Eleven,Cebu City
ChIJwarG_raZqTMRPbql0SOeio4,10.2985137,123.9037764,convenience_store,7-Eleven,Cebu City
ChIJwcCs9j2cqTMR8-wmwwi_gME,10.2876894,123.8631522,convenience_store,7-Eleven,Cebu City
ChIJyb3X2QWcqTMRTj7pwfqsqMw,10.2915678,123.8799678,convenience_store,7-Eleven,Cebu City
ChIJz7Gu3D6ZqTMRxe55kPBKjtI,10.3197456,123.9037108,convenience_store,7-Eleven,Cebu City
ChIJN5CqdQCZqTMRUwEni8QR3YM,10.3320171,123.9082914,convenience_store,7-Eleven - 38 Park Avenue,Cebu City
ChIJQZh3YECZqTMRuucSfgJtTv4,10.3142853,123.9055124,convenience_store,7-Eleven 2 Quad,Cebu City
ChIJ71TVSACZqTMRR9zKLmqgNJM,10.318361,123.899735,convenience_store,7-Eleven JUANITA BLDG,Cebu City
ChIJTVHZRgCZqTMRmUWxpSW2J1c,10.3300042,123.8986633,convenience_store,7-Eleven JY Square,Cebu City
ChIJncODMwCdqTMRpSp4J-ZrR7c,10.2901212,123.875482,convenience_store,7-Eleven Mambaling Hi-way (N. Bacalso Avenue-Cebu South Road),Cebu City
ChIJ56azfGSZqTMRc5tCWhE1Fmw,10.2987199,123.8981716,convenience_store,7-Eleven PELAEZ CEBU,Cebu City
ChIJUWImQQCZqTMRZrxZ4-mxOAI,10.3174391,123.9025,convenience_store,7-eleven,Cebu City
ChIJK6szBwCZqTMRPNEWAdSILdY,10.3270496,123.9086507,restaurant,7/11 The Pad Co-Living,Cebu City
ChIJG9_J88ShqTMRf3LZ4nE3NrE,10.3280289,123.9089412,restaurant,7107 Restaurant - Cebu City,Cebu City
ChIJpVItliOZqTMRXsb7d5a1X90,10.328607,123.903865,restaurant,868 Bakeshop,Cebu City
ChIJo3noKACZqTMRH9k1XzeD_Pc,10.3235401,123.9062603,restaurant,AKI Store,Cebu City
ChIJSz-_hiGZqTMRld4U6plOZvg,10.3302678,123.9057076,restaurant,"Abaca Baking Company® (Coffee Shop) - Filinvest Cyberzone, IT Park",Cebu City
ChIJV8OyYk6ZqTMR-H3oOkuqGoA,10.3099002,123.8921143,restaurant,Abaca Baking Company® (Coffee Shop) - Robinsons Cybergate,Cebu City
ChIJ4X4i5hiZqTMRbrc4DMK1gXA,10.3281056,123.9098361,restaurant,Abaca Baking Company® (Restaurant) - Crossroads,Cebu City
ChIJ8xsImk6ZqTMRRnYZV1dm1fE,10.3108841,123.8921821,restaurant,Abiyo Uno,Cebu City
ChIJc4cbqXGZqTMRw2KA-IEkQRk,10.3131998,123.8902952,restaurant,Abli Cebu,Cebu City
ChIJc7IY5zOZqTMRKC_F-qIVjNc,10.3231511,123.8919049,restaurant,Acacia Steakhouse,Cebu City
ChIJpe0YsVmZqTMRZwxhJF3iS5Q,10.3004149,123.8981425,restaurant,Alberto's Pizza,Cebu City
ChIJOb-NJU-ZqTMRvICO_JDIV3A,10.3114479,123.8946398,restaurant,Alejandro's Crispy Pata,Cebu City
ChIJ2z7qHwydqTMRLnxc2cH5vAM,10.28021,123.8642068,restaurant,Amay’s Store,Cebu City
ChIJ69bv70uZqTMRInCT2-cCN9w,10.3131703,123.8906187,restaurant,Andy's Crunchicken,Cebu City
ChIJ4yK67iWZqTMRRFpMUusYBKE,10.3303364,123.8987593,restaurant,"Angelica Bakeshop, Inc.",Cebu City
