id,lat,lon,amenity_type,amenity,lgu
ChIJQYJWH1-ZqTMRL8vTiCw8NSk,10.2986579,123.9040433,tourist_attraction,1730 Jesuit House,Cebu City
ChIJHUlipniZqTMRgHons7sSuaE,10.3340267,123.9012257,lodging,26th Avenue Guesthouse,Cebu City
ChIJXzHnGCCZqTMRFaLxyseYui0,10.3331525,123.9074031,lodging,Alba Uno Hotel,Cebu City
ChIJB1NVlEOZqTMRnmWoOsIVN50,10.3094336,123.90375,lodging,AllSon's Inn,Cebu City
ChIJz9eCRKyZqTMRxK-aGEoOIGc,10.3092536,123.9035807,lodging,Almond Suites,Cebu City
ChIJqVrGs0WZqTMRqqQyBKCWCWo,10.309881,123.899447,lodging,Alto Pension House,Cebu City
ChIJ6xlvd0qZqTMRr4KjCN5WLDQ,10.317351,123.8894362,lodging,Amethyst Boutique Hotel Cebu,Cebu City
ChIJn7X9OliZqTMROYyA-bukf0k,10.2992366,123.8981022,lodging,Angels Pension houseTenant referral only,Cebu City
ChIJXT_HGCCZqTMRezm3RjOCb4g,10.3334235,123.9076554,lodging,Anri Pension House,Cebu City
ChIJT7kt7uGbqTMRE9pS3Ayv3ao,10.2961373,123.9035625,tourist_attraction,Archdiocesan Museum of Cebu,Cebu City
ChIJiUfgPQCZqTMRysb9xzQxmlk,10.3064718,123.9040602,tourist_attraction,Ardex Tambayan,Cebu City
ChIJd0KiYwCZqTMR1zS_jDGPO0I,10.3128033,123.91004,tourist_attraction,Argao planta,Cebu City
ChIJbewhEACfqTMRApvn_oQBQZ4,10.3038213,123.8774881,tourist_attraction,Arvin Valle,Cebu City
ChIJC96PGaieqTMRT3UhcJH3Epw,10.298521,123.884083,lodging,Athalia Building,Cebu City
ChIJdxY6YwCZqTMRJ9Rdh9Uf0Xc,10.3183828,123.8960731,tourist_attraction,Axis Avenue of Lights,Cebu City
ChIJv_5aBe-ZqTMRYfIEMOx9Doc,10.313421,123.8929645,lodging,Bayfront Hotel Cebu - Capitol Site,Cebu City
ChIJdWAY9omZqTMR5PT1YBVRFhM,10.3331125,123.8896094,tourist_attraction,Beverly Hills Lahug Cebu City,Cebu City
ChIJa8YrKrWeqTMRUmeeQNYZ4OA,10.315699,123.88544,lodging,Bongavilla Beach Resort & Spa,Cebu City
ChIJuxIAGQCZqTMRLg6VPhXaGUs,10.2994328,123.8925778,tourist_attraction,"Box mini Private, Sambag 1, Cebu city",Cebu City
ChIJO88KUwCfqTMRXjMon7rGBD0,10.328264,123.9039259,tourist_attraction,Busay Cebu,Cebu City
ChIJkw4YkuSbqTMRj-KNt73Rp_w,10.2914389,123.899131,tourist_attraction,Carbon Market,Cebu City
ChIJEalesxWZqTMRXDp52gxWuPo,10.3187219,123.911479,tourist_attraction,Carmelite Monastery,Cebu City
ChIJteVFQwCZqTMRjG4qh49SmW4,10.3223248,123.9163928,tourist_attraction,Casa De Cacao,Cebu City
ChIJdZVg9F6ZqTMRbU7ErBLR6vU,10.299913,123.9048616,tourist_attraction,Casa Gorordo Museum,Cebu City
ChIJp2lbZheZqTMR7TLFFL3T6n0,10.3238403,123.9119862,lodging,Casa Loreto B&B,Cebu City
ChIJG-hAvEiZqTMR4UEoocRnlAg,10.313101,123.8959931,lodging,Casa Rosario Hotel,Cebu City
ChIJJSDyO0WZqTMRXaEQquMpzFk,10.3076235,123.8981974,tourist_attraction,Casino Español de Cebu,Cebu City
ChIJfWHcMheZqTMRRo96BsPdbUk,10.3226077,123.9138739,lodging,Castle Peak Hotel,Cebu City
ChIJN46R-SKZqTMRW81jt6naGFk,10.2982908,123.8998914,lodging,Cebu Backpackers Hostel,Cebu City
ChIJc8ZDkViZqTMRpqBHqfANjSI,10.2977752,123.9007358,lodging,Cebu Business Hotel,Cebu City
ChIJkd_I8UmZqTMRvcp1KpRpEXs,10.3163258,123.8918445,lodging,Cebu Capitol Central Hotel & Suites,Cebu City
ChIJdTpaeFiZqTMRfGWB8x5U_6o,10.2970616,123.8989615,lodging,Cebu Century Hotel,Cebu City
ChIJCxCLJU-ZqTMRFlaKows-y28,10.311692,123.894274,lodging,Cebu Century Plaza Hotel,Cebu City
ChIJf4X5EVeZqTMRQ_EpX26alNA,10.3005725,123.8954441,tourist_attraction,Cebu City Sports Center,Cebu City
ChIJT2EdT3GZqTMR23I5HKvPEZE,10.3206788,123.913479,lodging,Cebu Family Suites powered by Cocotel,Cebu City
ChIJ69rb5DeZqTMROYkGsbyQ6WM,10.3183864,123.8955108,lodging,Cebu Grand Hotel,Cebu City
ChIJg9XobtGYqTMRlFw9lOZf1_M,10.3416833,123.8923123,lodging,Cebu Guest Inn,Cebu City
ChIJVc96Lc6YqTMRt5RwGMxedlU,10.3464845,123.8938474,lodging,Cebu Hilltop Hotel,Cebu City
ChIJZ8Tl-0uZqTMRNgSFFMEg6hs,10.3130777,123.8905612,lodging,Cebu Hotel Plus,Cebu City
ChIJadEVV0yZqTMRekT3PI-8Jwc,10.3163291,123.8908334,tourist_attraction,Cebu Kilometer Zero,Cebu City
ChIJmeVzvkyZqTMRyAruCgIdPwU,10.3122628,123.8872791,lodging,Cebu Leisure Lodge,Cebu City
ChIJlWUN8-GbqTMRepueypood48,10.2955765,123.9029952,tourist_attraction,Cebu Metropolitan Cathedral,Cebu City
ChIJmbXsobCZqTMRHO6zrj0W9lU,10.3185465,123.8973106,lodging,Cebu Mini Hotel,Cebu City
ChIJVVVVWVeZqTMRl7svJzEKQdE,10.3013452,123.896342,tourist_attraction,Cebu Normal University Museum,Cebu City
ChIJW2O3gyOZqTMRoUp0c3PiDXE,10.3288533,123.902264,lodging,Cebu Northwinds Hotel,Cebu City
ChIJc8mvsT6ZqTMRrPp8G7jlLT0,10.3202607,123.903079,lodging,Cebu Parklane International Hotel,Cebu City
ChIJ44n4BUqZqTMRnTzd5jeE0gQ,10.3168489,123.8906336,tourist_attraction,Cebu Provincial Capitol,Cebu City
ChIJscevspmZqTMR5Obr8qGoQ4o,10.3200506,123.9093043,lodging,Cebu Quincentennial Hotel,Cebu City
ChIJJ4s_NEqZqTMRh6LHKq63UTo,10.3154083,123.8900955,lodging,Cebu R Hotel,Cebu City
ChIJV5J8xYCfqTMRK-t4_Ljbg20,10.3156992,123.8854366,tourist_attraction,Cebu Random Finds,Cebu City
ChIJAXTN18KdqTMRXYi33J7nLgU,10.288078,123.8646969,tourist_attraction,Cebu Tour Guide,Cebu City
ChIJQ5l2xgiZqTMRdKTg9DmzCv4,10.2888034,123.8589648,lodging,Cebu Tourist INN,Cebu City
ChIJm-wlKBaZqTMRdu32VNkS5kY,10.3307323,123.8969974,lodging,Cebu Transient Rooms,Cebu City
ChIJcyAkKmucqTMRdezbCIH3nLA,10.2814184,123.866337,lodging,Cebu Wetland Resort,Cebu City
ChIJ11vBDACZqTMRNxp1TGePUnk,10.2979608,123.8953638,tourist_attraction,Cebu city,Cebu City
ChIJpw3EveKbqTMR9H5KrBpLrNE,10.2963199,123.8982163,lodging,Cebu transient rooms,Cebu City
ChIJ9xeFHgCbqTMRt17R5Lkft8U,10.2962749,123.8982511,tourist_attraction,Cebu-ya Crossing,Cebu City
ChIJzelREliZqTMRbBwf5_wben8,10.2980205,123.8981365,lodging,Cebuview Tourist Inn,Cebu City
ChIJ95A-5AycqTMRAigIv9nsSQs,10.2817974,123.8778229,tourist_attraction,Chapel of San Pedro Calungsod,Cebu City
ChIJf0-17v6ZqTMRru9Cp3zvMKM,10.2989144,123.9003122,lodging,Che and James Guest House,Cebu City
ChIJVVfSEB-ZqTMRgJ1YSstDLTQ,10.3042607,123.9111991,tourist_attraction,Christmas Village og Love,Cebu City
ChIJm0iFLN6ZqTMRsTUOXVHB084,10.316145,123.901803,lodging,City Stay Cebu,Cebu City
