id,lat,lon,amenity_type,amenity,lgu
25710827,10.3245825,123.9065554,secondary,Archbishop Reyes Avenue,Cebu City
25800031,10.3161918,123.8907957,secondary,Osmeña Boulevard,Cebu City
25801800,10.2985014,123.8972299,secondary,Osmeña Boulevard,Cebu City
25802488,10.2990445,123.9008286,tertiary,Sanciangko Street,Cebu City
25937030,10.2939883,123.8969022,tertiary,Leon Kilat Street,Cebu City
25937225,10.3106747,123.9039408,secondary,Gorordo Avenue,Cebu City
28817154,10.3274554,123.9214006,secondary,F. Cabahug Street,Cebu City
28817564,10.3155497,123.9163334,primary,M.J. Cuenco Avenue,Cebu City
28833617,10.2926194,123.9039834,trunk,Cebu South Coastal Road,Cebu City
28833618,10.3092675,123.9188807,primary,Juan Luna Avenue,Cebu City
28834353,10.3204189,123.9039247,secondary,Archbishop Reyes Avenue,Cebu City
28834354,10.3192859,123.9033265,secondary,Archbishop Reyes Avenue,Cebu City
28834962,10.3158692,123.8922448,tertiary,F. Ramos Extension,Cebu City
28908647,10.2993398,123.9089353,trunk,Sergio Osmeña Avenue,Cebu City
28909509,10.3115027,123.899834,tertiary,Dionisio Jakosalem Street,Cebu City
28909514,10.2932736,123.8992223,tertiary,Lincoln Street,Cebu City
28909516,10.2943522,123.8979571,tertiary,P. Lopez Street,Cebu City
28909518,10.2950277,123.899275,tertiary,Manalili Street,Cebu City
28909519,10.2925392,123.9002268,tertiary,F. Gonzales Street,Cebu City
28925803,10.2996545,123.8969793,primary,P. del Rosario Street,Cebu City
28925805,10.2913322,123.8776783,secondary,Natalio Bacalso Avenue,Cebu City
28951497,10.312143,123.8916056,tertiary,Don Gil Garcia Street,Cebu City
28951498,10.317909,123.8876442,tertiary,Andres Abellana Street,Cebu City
28951499,10.2978815,123.8879412,secondary,Vicente Rama Avenue,Cebu City
28951500,10.3170023,123.8892149,secondary,M. Velez Street,Cebu City
28951501,10.3190269,123.8867775,tertiary,L. Bacayo Street,Cebu City
28956724,10.3160525,123.8901934,secondary,G. Garcia Street,Cebu City
28956725,10.3160506,123.8905205,secondary,N. Escario Street,Cebu City
