property_id,source,price_type,property_name,address,city,property_type,lot_area_sqm,floor_area_sqm,bedrooms,bathrooms,price_php,latitude,longitude,geocode_source,price_outlier_flag,price_per_sqm,log_price,dist_airport_m,spatial_lag_price,dist_cebu_business_park_m,dist_mandaue_cbd_m,dist_mactan_cbd_m,dist_srp_m,dist_talisay_tabunok_m,dist_consolacion_m,dist_naga_city_m,barangay_geocoded,bir_zonal_rr_median,bir_zonal_cr_median,bir_zonal_rc_median,bir_zonal_rr_log,valuation_gap,is_mactan_island,is_vacant_lot,area_sqm,bedrooms_imputed,bathrooms_imputed,floor_area_imputed,market_segment,mcrai_education,mcrai_grocery,mcrai_health,mcrai_security,mcrai_tourism,mcrai_recreation,mcrai_retail_density,mcrai_composite,dist_to_trunk_road_m,dist_to_primary_road_m,mcrai_hospitals
119,Lamudi,ceiling,Condo For Sale in Punta Engaño,"Punta Engano, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,Condominium,,71.0,1.0,1.0,21900000.0,10.32137474,124.0370339,Lamudi scraper,False,308450.7042253521,16.90199719478673,6542.9,36210629.0,14530.9,12901.3,9411.4,20252.6,23318.2,10088.7,33012.7,Punta Engaño,7000.0,13500.0,95000.0,8.853808274977197,301450.7042253521,1,0,71.0,0,0,0,open_market,10.5894,4.0,0.0,0.0,2.6502,11.5502,4.0,8.6776,11822,3214,0.0635
120,Lamudi,ceiling,Condo For Sale in Cebu IT Park,"Calyx Center, Cebu I.T. Park, W Geonzon St, Lungsod ng Cebu, 6000 Lalawigan ng Cebu, Philippines",Cebu City,Condominium,,105.0,3.0,3.0,18300000.0,10.328947,123.905843,Lamudi scraper,False,174285.7142857143,16.722411617811648,8359.8,17534923.0,1244.1,2158.7,5262.0,8165.7,11926.1,8255.1,21025.7,Lahug,30000.0,57000.0,115000.0,10.308985993422082,144285.7142857143,0,0,105.0,0,0,0,open_market,32.3522,95.6822,59.072,10.0753,52.4963,128.5164,304.7114,76.0024,2784,236,1.8665
121,Lamudi,ceiling,Condo For Sale in Mactan,"The Reef Island Resort, Dapdap, Lungsod ng Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Condominium,,45.0,1.0,1.0,9500000.0,10.2987618,124.0157325,Lamudi scraper,False,211111.11111111112,16.06680235657077,4127.5,10812318.0,12379.4,11412.8,7234.2,17418.9,20282.2,10345.6,29933.1,Mactan,5000.0,10500.0,107500.0,8.517393171418904,206111.11111111112,1,0,45.0,1,0,0,open_market,1.7971,2.1785,1.2027,0.316,9.6887,8.4653,0.0,3.4342,10605,1406,0.6552
123,Lamudi,ceiling,Condo For Sale in Agus,"Agus Road, Marigondon, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,Condominium,,25.0,1.0,1.0,4468775.0,10.28410958,123.97552209,Lamudi scraper,False,178751.0,15.3126248798144,2594.3,5056686.0,8653.5,8744.4,4216.4,12833.6,15599.3,10354.6,25242.1,Basak,10000.0,15000.0,62500.0,9.210440366976515,168751.0,1,0,25.0,0,0,0,open_market,3.271,9.5659,11.8561,0.6611,5.5018,20.3147,7.06,9.2722,6452,705,0.9657
124,Lamudi,ceiling,Condo For Sale in Punta Engaño,"The Residences at Sheraton Cebu Mactan Resort, Punta Engaño Road, Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Condominium,,68.0,1.0,1.0,23900000.0,10.3232073,124.0351931,Lamudi scraper,False,351470.5882352941,16.98938901690174,6401.3,32838280.0,14336.5,12668.7,9232.0,20115.7,23207.1,9805.0,32905.5,Punta Engaño,7000.0,13500.0,95000.0,8.853808274977197,344470.5882352941,1,0,68.0,0,0,0,open_market,10.5894,4.0,0.0,0.0,2.6502,11.5502,4.0,8.6776,11822,3214,0.0635
125,Lamudi,ceiling,House For Sale in Poblacion Occidental,"Poblacion Oriental, Consolacion, Cebu, Central Visayas, PHL",Consolacion,Single Detached,,354.0,4.0,4.0,28000000.0,10.3747458,123.95406452,Lamudi scraper,False,79096.04519774011,17.14771506813948,7991.4,19434044.0,8347.9,5179.5,6799.5,15468.7,19213.4,1081.5,28343.0,Poblacion Occidental,4500.0,4000.0,,8.412054873292933,74596.04519774011,0,0,354.0,0,0,0,open_market,22.4349,27.9338,76.2004,5.1878,16.9749,42.6066,140.7675,29.1242,4113,151,1.4559
126,Lamudi,ceiling,Condo For Sale in Mactan,"Angasil Road, Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Condominium,,30.0,1.0,1.0,3562600.0,10.305224,124.0148829,Lamudi scraper,False,118753.33333333331,15.086001173340522,3932.8,7694560.0,12184.1,11046.0,7012.0,17465.5,20420.0,9699.2,30096.2,Mactan,5000.0,10500.0,107500.0,8.517393171418904,113753.33333333331,1,0,30.0,0,0,0,open_market,2.4982,15.902,7.6048,2.1115,10.3418,30.2319,11.174,13.3144,9515,588,2.5841
128,Lamudi,ceiling,Condo For Sale in Mactan,"Pilipinas, Lalawigan ng Cebu, Lapu-Lapu, One Manchester Place",Lapu-Lapu City,Condominium,,37.0,1.0,1.0,6000000.0,10.3074459,124.015483,Lamudi scraper,False,162162.16216216216,15.60727002719233,3992.5,8458711.0,12223.4,11019.8,7048.6,17583.6,20564.8,9537.1,30247.0,Mactan,5000.0,10500.0,107500.0,8.517393171418904,157162.16216216216,1,0,37.0,0,0,0,open_market,3.2259,27.2495,13.0339,4.0,12.1199,50.2802,16.4231,22.0053,9279,453,0.6192
129,Lamudi,ceiling,Villas For Sale in Busay,"Jardin de Busay Estate, Cebu Transcentral Highway, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Single Detached,,566.0,4.0,4.0,115000000.0,10.36172,123.887867,Lamudi scraper,False,203180.21201413427,18.560442686327523,11667.4,,5195.2,4253.9,8764.1,10482.4,14108.4,8465.5,22221.4,Busay,8500.0,5500.0,120000.0,9.04793908261736,194680.21201413427,0,0,566.0,0,0,0,open_market,4.2119,0.0,0.0,0.0,4.1267,4.0,0.0,2.7707,8295,25,0.0
130,Lamudi,ceiling,Land For Sale in Banilad,"Banilad, Cebu City, Cebu, Philippines",Cebu City,Vacant Lot,,1182.0,1.0,1.0,330960000.0,10.3506292,123.9135389,Lamudi scraper,False,280000.0,19.61750808011743,8636.8,45582400.0,3781.8,1293.9,5833.0,10604.5,14368.0,6204.2,23252.8,Talamban,26375.0,68100.0,117500.0,10.180209784751566,253625.0,0,0,1182.0,1,1,0,open_market,33.2275,59.9089,38.2119,0.0,9.0937,11.1551,75.4002,37.9977,4564,2806,3.8389
