property_id,price_type,property_name,address,city,property_type,latitude,longitude,price_php,price_per_sqm,log_price,valuation_gap,area_sqm,bedrooms,bathrooms,bedrooms_imputed,bathrooms_imputed,dist_cebu_business_park_m,dist_mandaue_cbd_m,dist_mactan_cbd_m,dist_srp_m,dist_talisay_tabunok_m,dist_consolacion_m,dist_naga_city_m,dist_airport_m,dist_to_trunk_road_m,dist_to_primary_road_m,mcrai_education,mcrai_grocery,mcrai_health,mcrai_hospitals,mcrai_recreation,mcrai_security,mcrai_tourism,mcrai_retail_density,mcrai_composite,bir_zonal_rr_median,bir_zonal_rr_log,bir_zonal_cr_median,is_mactan_island,spatial_lag_price
119,ceiling,Condo For Sale in Punta Engaño,"Punta Engano, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,Condominium,10.32137474,124.0370339,21900000.0,308450.7042253521,12.639317317745414,301450.7042253521,71.0,1.0,1.0,0,0,14530.9,12901.3,9411.4,20252.6,23318.2,10088.7,33012.7,6542.9,11822,3214,10.5894,4.0,0.0,0.0635,11.5502,0.0,2.6502,4.0,8.6776,7000.0,8.853808274977197,13500.0,1,36210629.0
120,ceiling,Condo For Sale in Cebu IT Park,"Calyx Center, Cebu I.T. Park, W Geonzon St, Lungsod ng Cebu, 6000 Lalawigan ng Cebu, Philippines",Cebu City,Condominium,10.328947,123.905843,18300000.0,174285.7142857143,12.068451267654126,144285.7142857143,105.0,3.0,3.0,0,0,1244.1,2158.7,5262.0,8165.7,11926.1,8255.1,21025.7,8359.8,2784,236,32.3522,95.6822,59.072,1.8665,128.5164,10.0753,52.4963,304.7114,76.0024,30000.0,10.308985993422082,57000.0,0,17534923.0
121,ceiling,Condo For Sale in Mactan,"The Reef Island Resort, Dapdap, Lungsod ng Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Condominium,10.2987618,124.0157325,9500000.0,211111.11111111112,12.260139866800449,206111.11111111112,45.0,1.0,1.0,1,0,12379.4,11412.8,7234.2,17418.9,20282.2,10345.6,29933.1,4127.5,10605,1406,1.7971,2.1785,1.2027,0.6552,8.4653,0.316,9.6887,0.0,3.4342,5000.0,8.517393171418904,10500.0,1,10812318.0
123,ceiling,Condo For Sale in Agus,"Agus Road, Marigondon, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,Condominium,10.28410958,123.97552209,4468775.0,178751.0,12.0937490549462,168751.0,25.0,1.0,1.0,0,0,8653.5,8744.4,4216.4,12833.6,15599.3,10354.6,25242.1,2594.3,6452,705,3.271,9.5659,11.8561,0.9657,20.3147,0.6611,5.5018,7.06,9.2722,10000.0,9.210440366976515,15000.0,1,5056686.0
124,ceiling,Condo For Sale in Punta Engaño,"The Residences at Sheraton Cebu Mactan Resort, Punta Engaño Road, Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Condominium,10.3232073,124.0351931,23900000.0,351470.5882352941,12.769881311725632,344470.5882352941,68.0,1.0,1.0,0,0,14336.5,12668.7,9232.0,20115.7,23207.1,9805.0,32905.5,6401.3,11822,3214,10.5894,4.0,0.0,0.0635,11.5502,0.0,2.6502,4.0,8.6776,7000.0,8.853808274977197,13500.0,1,32838280.0
126,ceiling,Condo For Sale in Mactan,"Angasil Road, Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Condominium,10.305224,124.0148829,3562600.0,118753.33333333331,11.684803791678366,113753.33333333331,30.0,1.0,1.0,0,0,12184.1,11046.0,7012.0,17465.5,20420.0,9699.2,30096.2,3932.8,9515,588,2.4982,15.902,7.6048,2.5841,30.2319,2.1115,10.3418,11.174,13.3144,5000.0,8.517393171418904,10500.0,1,7694560.0
128,ceiling,Condo For Sale in Mactan,"Pilipinas, Lalawigan ng Cebu, Lapu-Lapu, One Manchester Place",Lapu-Lapu City,Condominium,10.3074459,124.015483,6000000.0,162162.16216216216,11.996352114548104,157162.16216216216,37.0,1.0,1.0,0,0,12223.4,11019.8,7048.6,17583.6,20564.8,9537.1,30247.0,3992.5,9279,453,3.2259,27.2495,13.0339,0.6192,50.2802,4.0,12.1199,16.4231,22.0053,5000.0,8.517393171418904,10500.0,1,8458711.0
131,ceiling,Condo For Sale in Kasambagan,"MLD Building, Governor Mariano Cuenco Avenue corner Paseo Saturnino Street, Kasambagan, Cebu City, Cebu, Central Visayas, PHL",Cebu City,Condominium,10.32962093,123.90970479,54333333.0,290552.5828877005,12.57953984711337,260552.58288770053,187.0,4.0,4.0,0,0,1436.5,1801.2,4890.9,8494.4,12248.4,7885.7,21399.2,7979.4,2770,474,24.8805,84.9463,47.9322,1.9081,91.8031,6.2303,47.0629,220.7777,60.8083,30000.0,10.308985993422082,34500.0,0,16618809.0
132,ceiling,Condo For Sale in Agus,"Agus Road, Marigondon, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,Condominium,10.28410958,123.97552209,7931914.0,158638.28,11.974381920976555,148638.28,50.0,2.0,1.0,0,0,8653.5,8744.4,4216.4,12833.6,15599.3,10354.6,25242.1,2594.3,6452,705,3.271,9.5659,11.8561,0.9657,20.3147,0.6611,5.5018,7.06,9.2722,10000.0,9.210440366976515,15000.0,1,5005758.0
133,ceiling,Condo For Sale in Cebu Business Park,"Cardinal Rosales Avenue, Hippodromo, Cebu City, Cebu, Central Visayas, PHL",Cebu City,Condominium,10.3173365,123.9063138,25000000.0,200000.0,12.206072645530174,148750.0,125.0,3.0,3.0,0,0,233.0,3125.3,4945.3,7244.9,10971.8,9100.7,20264.8,8030.3,1917,721,29.5887,119.8873,66.3803,5.2417,153.143,11.1149,92.0268,246.727,88.585,51250.0,10.844490409005417,206750.0,0,18855759.0
134,ceiling,Condo For Sale in Lapu-Lapu,"Tambuli Seaside Resort and Spa, Buyong Road, Maribago, Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Condominium,10.2899858,124.0068711,6800000.0,188888.88888888888,12.148914231690226,183888.88888888888,36.0,1.0,1.0,1,0,11646.7,11013.9,6618.5,16315.8,19076.9,10713.6,28697.4,3600.5,10486,898,2.7037,1.5869,1.7218,0.1928,15.9049,0.8589,14.0955,1.0654,5.2869,5000.0,8.517393171418904,10500.0,1,10979101.0
135,ceiling,Condo For Sale in Mactan,"Mactan, Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Condominium,10.3054728,124.0112255,15000000.0,156250.0,11.959212567598648,151250.0,96.0,2.0,2.0,0,0,11783.5,10664.1,6611.8,17080.7,20052.2,9451.2,29733.3,3531.8,9179,225,4.2422,26.5377,12.6551,0.5139,23.2569,4.0,8.4364,23.1648,16.2148,5000.0,8.517393171418904,10500.0,1,11122886.0
139,ceiling,Condo For Sale in Mandaue,"Mandani Bay Quay Phase 2, F.E. Zuellig Avenue, Tipolo, Mandaue, Lalawigan ng Cebu, Pilipinas",Mandaue City,Condominium,10.3222542,123.9367941,15648124.0,269795.2413793103,12.505418585014297,248645.24137931032,58.0,1.0,1.0,0,0,3593.0,2759.2,1858.7,10200.1,13782.1,6717.0,23312.2,4910.7,255,1153,20.1564,43.5914,29.9235,6.4597,36.548,6.0288,19.5562,108.1666,32.1626,21150.0,9.959442464680574,41250.0,0,8844869.0
140,ceiling,Studio For Sale in Agus,"Agus Road, Marigondon, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,Condominium,10.28410958,123.97552209,6166992.0,205566.4,12.233524375083457,195566.4,30.0,1.0,1.0,0,0,8653.5,8744.4,4216.4,12833.6,15599.3,10354.6,25242.1,2594.3,6452,705,3.271,9.5659,11.8561,0.9657,20.3147,0.6611,5.5018,7.06,9.2722,10000.0,9.210440366976515,15000.0,1,5031712.0
141,ceiling,Studio For Sale in Agus,"Agus Road, Marigondon, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,Condominium,10.28410958,123.97552209,5269543.0,175651.43333333332,12.076256817827678,165651.43333333332,30.0,1.0,1.0,0,0,8653.5,8744.4,4216.4,12833.6,15599.3,10354.6,25242.1,2594.3,6452,705,3.271,9.5659,11.8561,0.9657,20.3147,0.6611,5.5018,7.06,9.2722,10000.0,9.210440366976515,15000.0,1,5044910.0
143,ceiling,Condo For Sale in Lapu-Lapu,"Tambuli Seaside Resort and Spa, Buyong Road, Lungsod ng Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Condominium,10.2899858,124.0068711,21343000.0,231989.13043478265,12.354445797976664,226989.13043478265,92.0,2.0,2.0,0,0,11646.7,11013.9,6618.5,16315.8,19076.9,10713.6,28697.4,3600.5,10486,898,2.7037,1.5869,1.7218,0.1928,15.9049,0.8589,14.0955,1.0654,5.2869,5000.0,8.517393171418904,10500.0,1,10640892.0
