property_id,price_type,property_name,address,city,property_type,latitude,longitude,price_php,price_per_sqm,log_price,valuation_gap,area_sqm,bedrooms,bathrooms,bedrooms_imputed,bathrooms_imputed,dist_cebu_business_park_m,dist_mandaue_cbd_m,dist_mactan_cbd_m,dist_srp_m,dist_talisay_tabunok_m,dist_consolacion_m,dist_naga_city_m,dist_airport_m,dist_to_trunk_road_m,dist_to_primary_road_m,mcrai_education,mcrai_grocery,mcrai_health,mcrai_hospitals,mcrai_recreation,mcrai_security,mcrai_tourism,mcrai_retail_density,mcrai_composite,bir_zonal_rr_median,bir_zonal_rr_log,bir_zonal_cr_median,is_mactan_island,spatial_lag_price
125,ceiling,House For Sale in Poblacion Occidental,"Poblacion Oriental, Consolacion, Cebu, Central Visayas, PHL",Consolacion,Single Detached,10.3747458,123.95406452,28000000.0,79096.04519774011,11.278418155005703,74596.04519774011,354.0,4.0,4.0,0,0,8347.9,5179.5,6799.5,15468.7,19213.4,1081.5,28343.0,7991.4,4113,151,22.4349,27.9338,76.2004,1.4559,42.6066,5.1878,16.9749,140.7675,29.1242,4500.0,8.412054873292933,4000.0,0,19434044.0
129,ceiling,Villas For Sale in Busay,"Jardin de Busay Estate, Cebu Transcentral Highway, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Single Detached,10.36172,123.887867,115000000.0,203180.21201413427,12.221848608124342,194680.21201413427,566.0,4.0,4.0,0,0,5195.2,4253.9,8764.1,10482.4,14108.4,8465.5,22221.4,11667.4,8295,25,4.2119,0.0,0.0,0.0,4.0,0.0,4.1267,0.0,2.7707,8500.0,9.04793908261736,5500.0,0,
136,ceiling,House For Sale in Cebu,"Lungsod ng Cebu, Lalawigan ng Cebu, Pilipinas",Cebu City,Single Detached,10.3156992,123.8854366,37592640.0,126149.79865771811,11.745225358013377,102449.79865771811,298.0,4.0,4.0,0,0,2072.6,4824.6,7215.8,5674.1,9430.1,10917.0,18370.0,10278.3,3869,2040,28.0104,59.9404,69.4599,8.0644,5.6434,9.5349,80.9276,52.0245,34.4529,23700.0,10.073272520325904,29550.0,0,22191210.0
138,ceiling,Townhouse For Sale in Pit-Os,"Pit-os, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Single Detached,10.3994516,123.9206393,2900000.0,50877.19298245614,10.837170027122152,38477.19298245614,57.0,2.0,2.0,0,0,9247.0,6442.8,10114.9,15713.2,19428.7,5364.5,27739.2,12082.5,9668,6475,4.8985,4.0863,0.3728,0.0705,0.0,0.0,0.5713,0.0,3.5994,12400.0,9.425532393502772,,0,3940000.0
145,ceiling,Townhouse For Sale in Mactan,"Maribago, Lapu-Lapu City, Cebu, Pilipinas",Lapu-Lapu City,Single Detached,10.2902065,123.9984363,6500000.0,94202.89855072464,11.453206230268606,90077.89855072464,69.0,3.0,2.0,0,0,10753.0,10223.4,5772.3,15403.7,18195.7,10318.1,27832.0,2844.7,9834,0,9.603,5.511,6.6373,0.3821,27.9304,4.0,25.5804,41.7328,12.3944,4125.0,8.325063693631197,9750.0,1,23045062.0
147,ceiling,Townhouse For Sale in Bulacao,"Bulacao, Cebu, Pilipinas",Talisay City,Single Detached,10.27291,123.84291,8450000.0,65000.0,11.082142548877775,56000.0,130.0,4.0,4.0,0,0,8368.6,11443.8,12700.9,1752.0,3203.4,17537.6,11753.5,15368.2,2666,585,17.9451,10.0482,11.3004,0.3841,5.5317,0.0,9.9264,15.2128,12.7161,9000.0,9.105090961257083,35000.0,0,27751667.0
148,ceiling,House For Sale in Mactan,"Shabu Shabu and Korean Cuisine, Quezon National Highway, Maribago, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,Single Detached,10.290415,123.998707,16351122.0,86058.53684210527,11.362783004645753,81933.53684210527,190.0,3.0,2.0,0,0,10774.8,10235.1,5788.4,15436.1,18230.7,10307.5,27867.6,2851.7,9834,0,9.603,5.511,6.6373,0.3821,27.9304,4.0,25.5804,41.7328,12.3944,4125.0,8.325063693631197,9750.0,1,22465585.0
150,ceiling,House For Sale in Cebu,"Pardo, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Single Detached,10.2925633,123.8453152,155000000.0,110714.28571428572,11.614708159280172,94274.28571428572,1400.0,8.0,8.0,0,0,7035.2,9898.1,11836.5,2739.1,5404.3,15971.7,13396.5,14714.6,6489,3713,0.0,0.0,0.0,0.0415,0.0,0.0,0.0,0.0,0.0,16440.0,9.707533494010876,22500.0,0,17500000.0
151,ceiling,House For Sale in Tisa,"16 Platinum Street, Cebu City, Cebu, Philippines",Cebu City,Single Detached,10.304145,123.86984,18000000.0,64285.71428571428,11.07109271269119,51465.71428571428,280.0,5.0,7.0,0,0,4062.3,6960.4,8981.1,3784.2,7462.9,13052.4,16239.3,11945.9,3699,2073,10.4994,15.4459,9.5888,1.327,10.7374,1.1641,5.1505,32.8641,12.4058,12820.0,9.4588397305527,21320.0,0,9866548.0
155,ceiling,House For Sale in Banilad,"paseo frederick, Paseo, Elizabeth, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Single Detached,10.358121,123.8969813,95000000.0,109195.40229885056,11.600894237916185,67695.40229885056,870.0,5.0,5.0,0,0,4546.1,3201.4,7735.4,10457.6,14158.7,7588.0,22573.1,10609.1,7619,2105,0.1649,0.0,0.0,0.0544,4.6932,0.0,0.1226,0.0,1.1156,41500.0,10.63347280231402,92500.0,0,48000000.0
