property_id,source,price_type,property_name,address,city,property_type,lot_area_sqm,floor_area_sqm,bedrooms,bathrooms,price_php,latitude,longitude,geocode_source,price_outlier_flag,price_per_sqm,log_price,dist_cbd_m,dist_airport_m,dist_cbrt_nearest_m,amenity_score_education,amenity_score_health,amenity_score_finance,amenity_score_grocery,amenity_score_transport,amenity_score_security,amenity_score_composite,spatial_lag_price,bir_zonal_value,valuation_gap,dist_cebu_business_park_m,dist_it_park_m,dist_mandaue_cbd_m,dist_mactan_cbd_m,dist_srp_m,dist_talisay_tabunok_m,dist_consolacion_m,dist_naga_city_m,dist_minglanilla_poblacion_m,dist_minglanilla_lipata_m,barangay_geocoded,bir_zonal_rr_median,bir_zonal_cr_median,bir_zonal_rc_median,bir_zonal_rr_log
1,BDO,floor,Trinity Plaza Condominium,"Unit 103, Ground Floor, Trinity Plaza Condominium, Brgy. Kamputhaw, Cebu City, Cebu",Cebu City,Commercial - Condominium Unit,,204.27,,,10466300.0,10.3174703,123.8987807,Google Maps API,False,51237.57771576834,16.16367112974961,,8848.9,659.3,18,20,69,56,2,4,0.59,31384003.0,,,600.4,1280.9,3604.7,5768.0,6690.8,10446.2,9678.1,19621.2,13656.9,11846.0,Camputhaw,63000.0,74000.0,120000.0,11.050905878263567
2,BDO,floor,Trinity Plaza Condominium,"Unit 101, Ground Floor, Trinity Plaza Condominium, Brgy. Kamputhaw, Cebu City, Cebu",Cebu City,Commercial - Condominium Unit,,190.15,,,9738500.0,10.3174703,123.8987807,Google Maps API,False,51214.83039705495,16.09159765965209,,8848.9,659.3,18,20,69,56,2,4,0.59,31395030.0,,,600.4,1280.9,3604.7,5768.0,6690.8,10446.2,9678.1,19621.2,13656.9,11846.0,Camputhaw,63000.0,74000.0,120000.0,11.050905878263567
3,BDO,floor,Mandaue,"Lot 1-K-6-E-7, Ouana Avenue & PNB Road, Brgy. Mantuyong, Mandaue City, Cebu (Pending Consolidation)",Cebu City,Commercial - with Improvements,5000.0,5000.0,,,703757200.0,10.3201977,123.9306996,Google Maps API,False,140751.44,20.3719439682717,,5477.3,3222.1,6,6,19,18,6,1,0.33,141938795.0,,,2904.6,2822.4,2601.7,2374.7,9519.0,13121.9,7232.6,22629.3,16771.0,14969.0,Tipolo,21150.0,41250.0,60000.0,9.959442464680574
4,BDO,floor,Naga Valley Industrial Park,"Lot 3957, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",Cebu City,Industrial - Vacant Lot,12302.0,,,,18453000.0,10.2495945,123.7489785,Google Maps API,False,1500.0,16.730737516858614,,25967.8,10357.1,2,0,0,0,0,0,0.0121,3301320.0,,,18607.6,19177.7,21405.3,23260.3,12278.1,9844.0,27411.8,4747.8,5284.9,6789.3,Cantao-an,1375.0,,,7.226936018493289
5,BDO,floor,Naga Valley Industrial Park,"Lot 2, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",Cebu City,Industrial - Vacant Lot,41151.0,,,,16460400.0,10.2590215,123.7564499,Google Maps API,False,400.0,16.616468054254497,,24930.0,9482.2,2,0,0,0,0,0,0.0121,,,,17444.5,17986.7,20193.3,22173.4,11298.8,9155.1,26175.5,5690.1,4677.5,5953.5,Cantao-an,1375.0,,,7.226936018493289
6,BDO,floor,Naga Valley Industrial Park,"Lot 3685, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",Cebu City,Industrial - Vacant Lot,6008.0,,,,5036000.0,10.2495945,123.7489785,Google Maps API,False,838.2157123834887,15.432122674146374,,25967.8,10357.1,2,0,0,0,0,0,0.0121,5984720.0,,,18607.6,19177.7,21405.3,23260.3,12278.1,9844.0,27411.8,4747.8,5284.9,6789.3,Cantao-an,1375.0,,,7.226936018493289
7,BDO,floor,Naga Valley Industrial Park,"Lot 3946, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",Cebu City,Industrial - Vacant Lot,10319.0,,,,4127600.0,10.2495945,123.7489785,Google Maps API,False,400.0,15.233206682223695,,25967.8,10357.1,2,0,0,0,0,0,0.0121,6166400.0,,,18607.6,19177.7,21405.3,23260.3,12278.1,9844.0,27411.8,4747.8,5284.9,6789.3,Cantao-an,1375.0,,,7.226936018493289
8,BDO,floor,Naga Valley Industrial Park,"Lot 3949, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",Cebu City,Industrial - Vacant Lot,8723.0,,,,3489200.0,10.2495945,123.7489785,Google Maps API,False,400.0,15.0651830415412,,25967.8,10357.1,2,0,0,0,0,0,0.0121,6294080.0,,,18607.6,19177.7,21405.3,23260.3,12278.1,9844.0,27411.8,4747.8,5284.9,6789.3,Cantao-an,1375.0,,,7.226936018493289
9,BDO,floor,Naga Valley Industrial Park,"Lot 9098, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",Cebu City,Industrial - Vacant Lot,6747.0,,,,2024100.0,10.2495945,123.7489785,Google Maps API,False,300.0,14.520635715283628,,25967.8,10357.1,2,0,0,0,0,0,0.0121,6587100.0,,,18607.6,19177.7,21405.3,23260.3,12278.1,9844.0,27411.8,4747.8,5284.9,6789.3,Cantao-an,1375.0,,,7.226936018493289
10,BDO,floor,Naga Valley Industrial Park,"Lot 9111, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",Cebu City,Industrial - Vacant Lot,6099.0,,,,1829700.0,10.2495945,123.7489785,Google Maps API,False,300.0,14.419662576952655,,25967.8,10357.1,2,0,0,0,0,0,0.0121,6625980.0,,,18607.6,19177.7,21405.3,23260.3,12278.1,9844.0,27411.8,4747.8,5284.9,6789.3,Cantao-an,1375.0,,,7.226936018493289
