bank,bm_code,city,property_type,project_name,address,lot_area_sqm,floor_area_sqm,price,description,latitude,longitude,geocode_source,gmaps_formatted_address
BPI,02210-CEB-045,Liloan,Residential - Vacant Lot,Primavera Hills,Lots 14 and 15 Block 13 Along Teasel Street Primavera Hills Barangay Yati Liloan Cebu,540.0,0.0,3000000,vacant lot,10.3931748,123.9770865,Google Maps API,"Block 18 Lott 21, Marigold St, Liloan, Cebu, Philippines"
BPI,03627-CEB-072,Cebu City,Residential - Condominium Unit,Palaciego Uno Condominium,Unit 7-A 7th Floor Palaciego Uno Condominium Barangay Camputhaw Cebu City,0.0,74.93,4875000,condominium unit,10.3181757,123.8990784,Google Maps API,"218 N Escario St, Cebu City, 6000 Cebu, Philippines"
BPI,04455-CEB-098,Cebu City,Residential - Townhouse,NLC Residence,Unit 8295-1 NLC Residence Barangay San Roque Cebu City,52.7,90.0,2800000,townhouse,10.2525949,123.8461703,Google Maps API,"7R3W+2FM, Talisay, Cebu, Philippines"
BPI,05053-CEB-137,Cebu City,Residential - Condominium Unit,Xavierville City Condominium,Unit 301 Xavierville City Condominium Echavez Extension St Barangay Lorega San Miguel Cebu City,0.0,124.19,6700000,condominium unit,10.3089418,123.9041205,Google Maps API,"053 General Echavez St, Cebu City, 6000 Cebu, Philippines"
BPI,05054-CEB-137,Cebu City,Residential - Condominium Unit,Xavierville City Condominium,Unit 302 Xavierville City Condominium Echavez Extension St Barangay Lorega San Miguel Cebu City,0.0,102.45,5600000,condominium unit,10.3089418,123.9041205,Google Maps API,"053 General Echavez St, Cebu City, 6000 Cebu, Philippines"
BPI,05055-CEB-137,Cebu City,Residential - Condominium Unit,Xavierville City Condominium,Unit 303 Xavierville City Condominium Echavez Extension St Barangay Lorega San Miguel Cebu City,0.0,113.17,6200000,condominium unit,10.3089418,123.9041205,Google Maps API,"053 General Echavez St, Cebu City, 6000 Cebu, Philippines"
BPI,05056-CEB-137,Cebu City,Residential - Condominium Unit,Xavierville City Condominium,Unit 304 Xavierville City Condominium Echavez Extension St Barangay Lorega San Miguel Cebu City,0.0,118.32,6100000,condominium unit,10.3089418,123.9041205,Google Maps API,"053 General Echavez St, Cebu City, 6000 Cebu, Philippines"
BPI,05058-CEB-137,Cebu City,Residential - Condominium Unit,Xavierville City Condominium,Unit 403 Xavierville City Condominium Echavez Extension St Barangay Lorega San Miguel Cebu City,0.0,112.99,6100000,condominium unit,10.3089418,123.9041205,Google Maps API,"053 General Echavez St, Cebu City, 6000 Cebu, Philippines"
BPI,05084-CEB-137,Cebu City,Residential - Condominium Unit,Xavierville City Condominium,Unit 402 Xavierville City Condominium Echavez Extension St Barangay Lorega San Miguel Cebu City,0.0,102.45,5600000,condominium unit,10.3089418,123.9041205,Google Maps API,"053 General Echavez St, Cebu City, 6000 Cebu, Philippines"
BPI,05094-CEB-138,Cebu City,Residential - Townhouse,,Lot 74 G and F Wilson Street Barangay Lahug Cebu City,130.0,184.0,6500000,townhouse,10.3374567,123.9045578,Google Maps API,"Apas Covered Court, Wilson St, Apas, Cebu City, 6000 Cebu, Philippines"
BPI,05546-CEB-174,Cebu City,Residential - Townhouse,South Glades Subd,Lot 6149-A-1-D South Glades Subd Lawaan Street Sitio Tambis Labangon Cebu City,76.0,82.0,3800000,townhouse,10.3745155,123.8740297,Google Maps API,"9VFF+RJ2, Cebu City, 6000 Cebu, Philippines"
BPI,05561-CEB-176,Talisay City,Residential - House and Lot,NLC Residences 2,Unit C Lot 387-B-3 NLC Residences 2 Uldog St Carmen Cansojong Talisay City,39.4,39.4,3700000,house and lot,10.2525949,123.8461703,Google Maps API,"7R3W+2FM, Talisay, Cebu, Philippines"
BPI,05571-CEB-180,Cebu City,Residential - House and Lot,Kirei Residences,Unit 5 Lot 10399-C-5 Hi-Way 77 Kirei Residences Cadahuan Talamban Cebu City,85.0,128.0,7500000,house and lot,10.3333882,123.8969411,Google Maps API,"228 Cebu Veterans Dr, Cebu City, 6000 Cebu, Philippines"
BPI,05648-CEB-187,Cebu City,Residential - House and Lot,Rose Crest Residences,Lot 32 Rose Crest Residences San Jose Cebu City,80.0,137.0,6600000,house and lot,10.3790772,123.9168403,Google Maps API,"Purok 1, Brgy, Cebu City, 6000 Cebu, Philippines"
BPI,05699-CEB-192,Cebu City,Residential - House and Lot,The Rosepike at Forest Hills,Lot 6447-E-5 Unit C Phase 2 The Rosepike at Forest Hills Barangay Guadalupe Cebu City,68.5,206.0,11000000,house and lot,10.3175839,123.879123,Google Maps API,"Judge Salvador St. Forest hills Rd Cebu City (Capital), Cebu Cebu City (Capital, 8V9H+2JQ, Cebu City, 6000 Cebu, Philippines"
BPI,05701-CEB-194,Cebu City,Residential - House and Lot,Forest Hills Subdivision,Lot 6448 C4 and C5 Planas Street Forest Hills Subdivision Barangay Guadalupe Cebu City,1714.0,1819.0,93000000,house and lot,10.3175839,123.879123,Google Maps API,"Judge Salvador St. Forest hills Rd Cebu City (Capital), Cebu Cebu City (Capital, 8V9H+2JQ, Cebu City, 6000 Cebu, Philippines"
BPI,05876-CEB-212,Cebu City,Residential - House and Lot,Eggling Subdivision,Lot 8-K-4-D-4-B Cebu Trancentral Highway Eggling Subdivision Barangay Busay Cebu City,62.0,123.0,6800000,house and lot,10.3745155,123.8740297,Google Maps API,"9VFF+RJ2, Cebu City, 6000 Cebu, Philippines"
BPI,05913-CEB-219,Cebu City,Residential - House and Lot,Sunrise Village,Lot 4270-B-6 R Abellanosa Street corner Sunrise Village Road Sunrise Village Barangay Inayawan Cebu City,349.0,442.0,10000000,house and lot,10.2926115,123.9021934,Google Maps API,"Cebu City, Cebu, Philippines"
BPI,06014-CEB-227,Cebu City,Residential - House and Lot,Saint Anthony Residences,Lot 1-K-6-A Highway 77 Saint Anthony Residences Barangay Talamban Cebu City,72.0,67.0,5300000,house and lot,10.3662906,123.9183069,Google Maps API,"9W89+G87, Hiway 77, Cebu City, 6000 Cebu, Philippines"
BPI,06061-CEB-230,Minglanilla,Residential - House and Lot,Velmiro Heights Subdivision,Lot 3 Block 12 Myrtle Street Velmiro Heights Subdivision Barangay Tunghaan Minglanilla,150.0,82.57,5500000,house and lot,10.2474493,123.7832969,Google Maps API,"Abuno Road, Tunghaan, Minglanilla, 6046 Cebu, Philippines"
BPI,06062-CEB-231,Minglanilla,Residential - House and Lot,Kamalaya II Residences,Lot 3 Block 4 Kamalaya II Residences Phase 1 Barangay Tunghaan Minglanilla,75.0,61.0,4200000,house and lot,10.2451253,123.7875039,Google Maps API,"Abuno, Minglanilla, Cebu, Philippines"
BPI,06063-CEB-232,Minglanilla,Residential - House and Lot,Belmont Village,Lot 24 Block 1 Peace Street Belmont Village Barangay Pakigne Minglanilla,192.0,201.0,6600000,house and lot,10.2550177,123.8061564,Google Maps API,"Belmont Village, 202 Hope St, Pakigne, Minglanilla, 6046 Cebu, Philippines"
BPI,06064-CEB-233,Minglanilla,Residential - House and Lot,Modena Subdivision,Lot 8 Block 8 Modena Subdivision Barangay Tunghaan Minglanilla,60.0,83.0,4200000,house and lot,10.2426844,123.777438,Google Maps API,"Estaka St, Tungko, Minglanilla, 6046 Cebu, Philippines"
BPI,06086-CEB-234,Cebu City,Residential - House and Lot,Maryville Subdivision,Lot 11297-C Dahlia Street Maryville Subdivision Phase 3 Barangay Talamban Cebu City,218.0,177.5,11300000,house and lot,10.3744849,123.9179152,Google Maps API,"9WF9+Q5V, Talamban Rd, Cebu City, 6000 Cebu, Philippines"
BPI,06801-CEB-242,Cebu City,Residential - Townhouse,Naya Village,Lot 3-C 2nd Street Naya Village Barangay Tisa Cebu City,80.0,102.0,5500000,townhouse,10.2985919,123.872106,Google Maps API,"172 Naya Village 2nd, Cebu City, 6000 Cebu, Philippines"
