City,Auction_Category,Discount_Pct_Max,Property_Name,Property_Type,Lot_Area_sqm,Floor_Area_sqm,Price_PHP,Price_per_sqm,Occupancy_Status,Auction_Date_Start,Auction_Date_End,Source,Scraped_Date
BOGO CITY,Second Auction,30,VILLA CASITA - BOGO,Row House,36.0,24.05,562230.0,23377.55,Occupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
BOGO CITY,Negotiated Sale,45,FATEHILLS SUBDIVISION,Lot Only,156.0,,390000.0,2500.0,Unoccupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
BOGO CITY,Negotiated Sale,45,FATEHILLS SUBDIVISION,Single Detached,156.0,38.4,652528.0,16992.92,Occupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
BOGO CITY,Negotiated Sale,45,FATEHILLS SUBDIVISION,Single Detached,156.0,98.71,1233700.0,12498.23,Occupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
BOGO CITY,Negotiated Sale,45,NON SUBDIVISION,Single Attached,1525.0,45.0,7705000.0,171222.22,Occupied/Closed,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
CARCAR CITY,First Auction,0,TIERRA NAVA SUBDIVISION,Townhouse,42.0,36.0,1345000.0,37361.11,Unoccupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
CARCAR CITY,Second Auction,30,ESPERANZA HOMES,Row House,34.0,20.2,507703.0,25133.81,Unoccupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
CARCAR CITY,Negotiated Sale,45,LUMINA CARCAR,Row House (End/Firewall),54.0,22.0,675720.0,30714.55,Unoccupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
CEBU CITY,First Auction,0,NHA HOUSING PROJECT,Lot Only,80.0,,720000.0,9000.0,Unoccupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
CEBU CITY,First Auction,0,URBAN DECA HOMES TISA 2,Condominium,,26.8,1809300.0,67511.19,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
CEBU CITY,First Auction,0,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,,18.87,2102100.0,111399.05,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
CEBU CITY,First Auction,0,URBAN DECA HOMES TISA 2,Condominium,,36.5,2795500.0,76589.04,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
CEBU CITY,Second Auction,30,URBAN DECA HOMES TISA,Condominium,,25.0,1481040.0,59241.6,Occupied/Closed,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
CEBU CITY,Negotiated Sale,45,URBAN DECA HOMES TISA,Condominium,,25.0,1307500.0,52300.0,Unoccupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
CEBU CITY,Negotiated Sale,45,URBAN DECA HOMES TISA,Condominium,,25.0,1439900.0,57596.0,Occupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
CEBU CITY,Negotiated Sale,45,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,,18.87,2102100.0,111399.05,Unoccupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
CEBU CITY,Negotiated Sale,45,URBAN DECA HOMES TISA,Condominium,,36.5,2795500.0,76589.04,Occupied/Closed,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
CEBU CITY,Negotiated Sale,45,URBAN DECA HOMES TISA 2,Condominium,,36.5,2795500.0,76589.04,Occupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
