City,Auction_Category,Discount_Pct_Max,Property_Name,Property_Type,Lot_Area_sqm,Floor_Area_sqm,Price_PHP,Price_per_sqm,Occupancy_Status,Auction_Date_Start,Auction_Date_End,Source,Scraped_Date,latitude,longitude,gmaps_formatted_address
CEBU CITY,First Auction,0,NHA HOUSING PROJECT,Lot Only,80.0,,720000.0,9000.0,Unoccupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24,10.3693332,123.8992508,"9V9X+PPJ, San Roque Ville Rd, Cebu City, 6000 Cebu, Philippines"
CEBU CITY,First Auction,0,URBAN DECA HOMES TISA 2,Condominium,,26.8,1809300.0,67511.19,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24,10.3075049,123.8679445,"8V59+254, Naya Road, Cebu City, 6000 Cebu, Philippines"
CEBU CITY,First Auction,0,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,,18.87,2102100.0,111399.05,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24,10.4088523,123.9179905,"Bayanihan Flats, Orchard Dr, Binaliw, Cebu City, 6000 Cebu, Philippines"
CEBU CITY,First Auction,0,URBAN DECA HOMES TISA 2,Condominium,,36.5,2795500.0,76589.04,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24,10.3075049,123.8679445,"8V59+254, Naya Road, Cebu City, 6000 Cebu, Philippines"
CEBU CITY,Second Auction,30,URBAN DECA HOMES TISA,Condominium,,25.0,1481040.0,59241.6,Occupied/Closed,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24,10.3075049,123.8679445,"8V59+254, Naya Road, Cebu City, 6000 Cebu, Philippines"
CEBU CITY,Negotiated Sale,45,URBAN DECA HOMES TISA,Condominium,,25.0,1307500.0,52300.0,Unoccupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24,10.3075049,123.8679445,"8V59+254, Naya Road, Cebu City, 6000 Cebu, Philippines"
CEBU CITY,Negotiated Sale,45,URBAN DECA HOMES TISA,Condominium,,25.0,1439900.0,57596.0,Occupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24,10.3075049,123.8679445,"8V59+254, Naya Road, Cebu City, 6000 Cebu, Philippines"
CEBU CITY,Negotiated Sale,45,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,,18.87,2102100.0,111399.05,Unoccupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24,10.4088523,123.9179905,"Bayanihan Flats, Orchard Dr, Binaliw, Cebu City, 6000 Cebu, Philippines"
CEBU CITY,Negotiated Sale,45,URBAN DECA HOMES TISA,Condominium,,36.5,2795500.0,76589.04,Occupied/Closed,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24,10.3075049,123.8679445,"8V59+254, Naya Road, Cebu City, 6000 Cebu, Philippines"
CEBU CITY,Negotiated Sale,45,URBAN DECA HOMES TISA 2,Condominium,,36.5,2795500.0,76589.04,Occupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24,10.3075049,123.8679445,"8V59+254, Naya Road, Cebu City, 6000 Cebu, Philippines"
