area_id,place_id,name,types,lat,lon,rating,vicinity,search_type
talisay_tabunok,ChIJMRXdKrudqTMRZI4K6OZgFjA,Nourskin Cebu - Talisay Service Center,"[""shopping_mall"", ""point_of_interest"", ""store"", ""establishment""]",10.244417,123.8464782,5,"468 Jose Rizal Street, Poblacion, Talisay",nearby_shopping_mall
talisay_tabunok,ChIJFzXN4hWdqTMR9TLRqDZ3UyU,3rd RD Business Hub,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.2485338,123.8401994,5,"Zone 3 - 894, Talisay",nearby_shopping_mall
talisay_tabunok,ChIJcTE4XrudqTMRcd9-orfwgfc,Jessy's Property,"[""local_government_office"", ""point_of_interest"", ""establishment""]",10.2381765,123.8373319,,"Deca Homes Phase 3, Dumlog Talisay B1 Lot 24 C4, Talisay",nearby_local_government_office
talisay_tabunok,ChIJtS7otT2dqTMRH11APX9iRo4,Labrador's Compound,"[""local_government_office"", ""point_of_interest"", ""establishment""]",10.2444398,123.8431888,,"6RVV+Q7G, Talisay",nearby_local_government_office
talisay_tabunok,ChIJdz-nBqmdqTMR1rX_ZQcO84E,Dumlog Food Park,"[""park"", ""point_of_interest"", ""establishment""]",10.2415428,123.8394961,4.4,"6RRQ+MVV, Talisay",nearby_park
talisay_tabunok,ChIJG2H7AQCdqTMR7h9zw3UitTE,Talisay City Liberation Park,"[""park"", ""point_of_interest"", ""establishment""]",10.242142,123.8486423,5,"Poblacion, Talisay",nearby_park
talisay_tabunok,ChIJ2fq8nRidqTMRt671KgbUT8A,Crocolandia,"[""zoo"", ""tourist_attraction"", ""park"", ""point_of_interest"", ""establishment""]",10.2464979,123.833955,4.3,"Burgos Street, Talisay",nearby_park
talisay_tabunok,ChIJE50DIgCdqTMRPFjsLVYx0KI,Malibu Residences Clubhouse & Pool,"[""park"", ""point_of_interest"", ""establishment""]",10.2405887,123.830312,,"6RRJ+64R, Cebu South Road, Talisay",nearby_park
talisay_tabunok,ChIJU2TrYgCdqTMRR0IlhWMY9dg,Malibu Residences Rotonda,"[""park"", ""point_of_interest"", ""establishment""]",10.2401812,123.829212,,"Phase 1 BLK-3 ; LOT-18, Malibu Residences, ZONE-5, Talisay",nearby_park
talisay_tabunok,ChIJm0KTdWqdqTMR7pmJfY0ke5I,Tabunok Public Market,"[""establishment"", ""health"", ""pharmacy"", ""point_of_interest"", ""store""]",10.2632001,123.8385513,3.8,,text_market
talisay_tabunok,ChIJHaRrSJXWrjMRzVKyPoOL3gE,TALISAY CITY PUBLIC MARKET,"[""establishment"", ""point_of_interest""]",10.7388889,122.9669444,3.7,,text_market
talisay_tabunok,ChIJmyATr5JwvTMROgbM5WlutJs,"Public Market Talisay, Batangas","[""establishment"", ""point_of_interest""]",14.0891026,121.0215724,4.1,,text_market
talisay_tabunok,ChIJw27oiledqTMRbS6Rb6We9Bs,Minglanilla Public Market,"[""establishment"", ""point_of_interest""]",10.2415539,123.7985635,4.1,,text_market
talisay_tabunok,ChIJT2CM8UacqTMRkb3jSkAbatE,Pardo Public Market,"[""establishment"", ""point_of_interest""]",10.279644,123.8556442,4,,text_market
talisay_tabunok,ChIJm67OW8CvmDMR4VSw3YAkvno,Talisay Public Market,"[""establishment"", ""point_of_interest""]",14.1363614,122.9235869,4.3,,text_market
talisay_tabunok,ChIJ2Rn_UtycqTMRf2ooJ1iAgJk,Talisay City Plaza,"[""premise"", ""street_address""]",10.2424847,123.848891,,,text_plaza
talisay_tabunok,ChIJ4X625d2cqTMRrbEgM_9pPfo,Poblacion,"[""political"", ""sublocality"", ""sublocality_level_2""]",10.2440081,123.8481061,,,text_poblacion
talisay_poblacion,ChIJ490EpJJwvTMRP9kygOjiYog,Talisay Public Market,"[""premise"", ""street_address""]",14.0892766,121.0215942,,,text_market
talisay_poblacion,ChIJ2Rn_UtycqTMRf2ooJ1iAgJk,Talisay City Plaza,"[""premise"", ""street_address""]",10.2424847,123.848891,,,text_plaza
talisay_poblacion,ChIJ4X625d2cqTMRrbEgM_9pPfo,Poblacion,"[""political"", ""sublocality"", ""sublocality_level_2""]",10.2440081,123.8481061,,,text_poblacion
minglanilla_poblacion,ChIJw27oiledqTMRbS6Rb6We9Bs,Minglanilla Public Market,"[""establishment"", ""point_of_interest""]",10.2415539,123.7985635,4.1,,text_market
minglanilla_poblacion,ChIJRSIPBuJ3qTMR4W8bZ_R9-mY,Minglanilla Town Plaza,"[""establishment"", ""point_of_interest""]",10.245928,123.796139,3.5,,text_plaza
minglanilla_poblacion,ChIJw27oiledqTMRbS6Rb6We9Bs,Minglanilla Public Market,"[""establishment"", ""point_of_interest""]",10.2415539,123.7985635,4.1,,text_poblacion
minglanilla_poblacion,ChIJfy24jVidqTMRJ6obrutTuYs,Poblacion Ward 1 Barangay Hall,"[""establishment"", ""point_of_interest""]",10.2445628,123.7980285,4.7,,text_poblacion
minglanilla_poblacion,ChIJRSIPBuJ3qTMR4W8bZ_R9-mY,Minglanilla Town Plaza,"[""establishment"", ""point_of_interest""]",10.245928,123.796139,3.5,,text_poblacion
minglanilla_poblacion,ChIJazOz_VidqTMRNSc9yF4wgAU,Poblacion Ward I,"[""political"", ""sublocality"", ""sublocality_level_2""]",10.2443935,123.7985555,,,text_poblacion
minglanilla_poblacion,ChIJOzsGxuJ3qTMRILr6SFo9gpw,Poblacion Ward II,"[""political"", ""sublocality"", ""sublocality_level_2""]",10.2424724,123.7943669,,,text_poblacion
minglanilla_poblacion,ChIJjWOMWeR3qTMRKM35sVdgAdI,Minglanilla,"[""locality"", ""political""]",10.2454293,123.7959894,,,text_poblacion
minglanilla_poblacion,ChIJkapHD-N3qTMRIzGmGsRhCb0,Gaisano Grand Mall Minglanilla,"[""establishment"", ""point_of_interest"", ""shopping_mall""]",10.2441355,123.7929127,3.9,,text_poblacion
minglanilla_poblacion,ChIJE-6WIip3qTMRGmc_vnECiV8,"Duo Brew - Poblacion Ward II, Minglanilla, Cebu","[""cafe"", ""establishment"", ""food"", ""point_of_interest"", ""store""]",10.2434388,123.7948596,1,,text_poblacion
minglanilla_poblacion,ChIJaf3AaeJ3qTMRTxnI4KrWwnA,La Nueva Supermart Minglanilla Center,"[""establishment"", ""food"", ""grocery_or_supermarket"", ""point_of_interest"", ""store"", ""supermarket""]",10.244922,123.795214,3.9,,text_poblacion
minglanilla_poblacion,ChIJx8jiC-J3qTMRBFpBpcS5TQg,Jollibee,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",10.2457434,123.7975742,4.2,,text_poblacion
minglanilla_poblacion,ChIJXzn-USCZqTMR3-dfOe3-Jxc,UnionBank of the Philippines - Cebu - Minglanilla,"[""bank"", ""establishment"", ""finance"", ""point_of_interest""]",10.2446945,123.7939473,2.6,,text_poblacion
minglanilla_poblacion,ChIJ9wq4seCdqTMRji7XtP0P2lk,EGGcelsior Minglanilla Poblacion,"[""establishment"", ""food"", ""point_of_interest""]",10.2427575,123.7968801,3,,text_poblacion
minglanilla_poblacion,ChIJ2ZweEeJ3qTMRriE_4Ls1dCg,Minglanilla Police Station,"[""establishment"", ""point_of_interest"", ""police""]",10.2448187,123.7962154,,,text_poblacion
minglanilla_poblacion,ChIJyR19_OZ3qTMR4XdoVRuq50s,Poblacion Ward IV,"[""political"", ""sublocality"", ""sublocality_level_2""]",10.2486655,123.7929707,,,text_poblacion
minglanilla_poblacion,ChIJuYpL06x3qTMR9_IbbGpGERA,Poblacion Ward IV Barangay Hall,"[""establishment"", ""point_of_interest""]",10.2466073,123.7940783,4.5,,text_poblacion
minglanilla_poblacion,ChIJF0SvZgB3qTMR-RGLtbOYvfs,"Mr. Lemon - Poblacion Ward 2, Minglanilla","[""establishment"", ""food"", ""point_of_interest""]",10.2449682,123.7948302,,,text_poblacion
minglanilla_poblacion,ChIJo5wkJwB3qTMRF43OGm-3w2Q,New building st Cecilia minglanilla poblacion ward 2,"[""establishment"", ""point_of_interest"", ""storage""]",10.2426966,123.7954474,,,text_poblacion
minglanilla_poblacion,ChIJYcsDB-J3qTMRPcNLGn-Pp-k,Poblacion Ward III Barangay Hall,"[""establishment"", ""point_of_interest""]",10.246037,123.796298,3.3,,text_poblacion
minglanilla_poblacion,ChIJfWhvQeB3qTMRmoaWU9skIVM,Poblacion Ward III,"[""political"", ""sublocality"", ""sublocality_level_2""]",10.250229,123.7950651,,,text_poblacion
minglanilla_poblacion,ChIJlauNflidqTMRzMyVsC_iCHY,Minglanilla Central School,"[""establishment"", ""point_of_interest"", ""school""]",10.2439102,123.7967104,,,text_poblacion
