Region,City,Segment,PropertyType,ProjectName,Address,LotArea,FloorArea,Price,Description,Bedrooms,Bathrooms
Visayas,Cebu,Retail,Commercial - Condominium Unit,Trinity Plaza Condominium,"Unit 103, Ground Floor, Trinity Plaza Condominium, Brgy. Kamputhaw, Cebu City, Cebu",0.0,204.27,10466300,,,
Visayas,Cebu,Retail,Commercial - Condominium Unit,Trinity Plaza Condominium,"Unit 101, Ground Floor, Trinity Plaza Condominium, Brgy. Kamputhaw, Cebu City, Cebu",0.0,190.15,9738500,,,
Visayas,Cebu,Retail,Commercial - with Improvements,Mandaue,"Lot 1-K-6-E-7, Ouana Avenue & PNB Road, Brgy. Mantuyong, Mandaue City, Cebu (Pending Consolidation)",5000.0,5000.0,703757200,,,
Visayas,Cebu,Retail,Industrial - Vacant Lot,Naga Valley Industrial Park,"Lot 3957, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",12302.0,0.0,18453000,,,
Visayas,Cebu,Retail,Industrial - Vacant Lot,Naga Valley Industrial Park,"Lot 2, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",41151.0,0.0,16460400,,,
Visayas,Cebu,Retail,Industrial - Vacant Lot,Naga Valley Industrial Park,"Lot 3685, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",6008.0,0.0,5036000,,,
Visayas,Cebu,Retail,Industrial - Vacant Lot,Naga Valley Industrial Park,"Lot 3946, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",10319.0,0.0,4127600,,,
Visayas,Cebu,Retail,Industrial - Vacant Lot,Naga Valley Industrial Park,"Lot 3949, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",8723.0,0.0,3489200,,,
Visayas,Cebu,Retail,Industrial - Vacant Lot,Naga Valley Industrial Park,"Lot 9098, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",6747.0,0.0,2024100,,,
Visayas,Cebu,Retail,Industrial - Vacant Lot,Naga Valley Industrial Park,"Lot 9111, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",6099.0,0.0,1829700,,,
Visayas,Cebu,Retail,Residential - Condominium Unit,Amisa Private Residences,"Unit 7H, 7/F, Tower B, Amisa Private Residences, Brgy. Punta Engaño, Lapu-Lapu City, Cebu",0.0,62.59,6884900,"2BR, 3T&B",2.0,3.0
Visayas,Cebu,Retail,Residential - Condominium Unit,Amisa Private Residences,"Unit 17C, 17/F, Tower C, Amisa Private Residences, Brgy. Punta Engaño, Lapu-Lapu City, Cebu",0.0,40.72,4479200,"Studio, 1TB",,1.0
Visayas,Cebu,Retail,Residential - Condominium Unit,Myvan Cityscape Tower,"Unit 911, 9/F, Myvan Cityscape Tower, F. Cabahug St., Brgy. Subangdaku, Mandaue City, Cebu",0.0,20.17,1815300,"Studio, 1TB",,1.0
Visayas,Cebu,Retail,Residential - Condominium Unit,Myvan Cityscape Tower,"Unit 908, 9/F, Myvan Cityscape Tower, F. Cabahug St., Brgy. Subangdaku, Mandaue City, Cebu",0.0,20.07,1806300,"Studio, 1TB",,1.0
Visayas,Cebu,Retail,Residential - Condominium Unit,Myvan Cityscape Tower,"Unit 1604, 16/F, Myvan Cityscape Tower, F. Cabahug St., Brgy. Subangdaku, Mandaue City, Cebu",0.0,20.87,2113800,"Studio, 1TB",,1.0
Visayas,Cebu,Retail,Residential - Condominium Unit,Ultima Residences,"Unit 30 (Door 730), 7/F, Tower 3, Ultima Residences, Brgy. Sta. Clara, Cebu City, Cebu",0.0,20.0,1500000,"studio type, 1T&B",,1.0
Visayas,Cebu,Retail,Residential - Condominium Unit,Ultima Residences,"Unit 8 (Door 1408), 14/F, Tower 3, Ultima Residences, Brgy. Sta. Clara, Cebu City",,64.25,4818750,"loft type, 1BR, 2T&B and balcony",1.0,2.0
Visayas,Cebu,Retail,Residential - Condominium Unit,Winland Tower Condominium,"Unit 05, 17/F, Tower C, Winland Tower Condominium, Juana Osmeña Extension, Brgy. Kamputhaw, Cebu City, Cebu",0.0,127.0,4445000,"3BR, 2TB with Balcony, major repairs",3.0,2.0
Visayas,Cebu,Retail,Residential - Townhouse,Lessandra Talamban,"Lot 8, Block 4, Lessandra Talamban, Brgy. Pulang Bato / Pit-os, Cebu City, Cebu",66.0,25.0,1279300,"1-storey bare, 1T&B",,1.0
Visayas,Cebu,Retail,Residential - Townhouse,Lessandra Talamban,"Lot 20, Block 1, Road Lot 2, Lessandra Talamban Subdivision, Brgy. Pulang Bato / Pit-os, Cebu City, Cebu",69.0,51.0,1825500,"2-storey, 2BR, 1T&B",2.0,1.0
Visayas,Cebu,Retail,Residential - Condominium Unit,Avida Towers Riala,"Unit 4-301, 3/F, Tower 4, Avida Towers Riala, Brgy. Apas, Cebu City, Cebu (Pending Consolidation)",0.0,41.84,7112800,,,
Visayas,Cebu,Retail,Residential - Condominium Unit,Avida Towers Riala,"Unit 4-115, 1/F, Tower 4, Avida Towers Riala, Jose Maria del Mar Ave., Brgy. Apas, Cebu City
(Pending consolidated Title / Tax Declaration)",,22.8,3876000,"studio type, 1T&B",,1.0
