bank,bm_code,city,property_type,project_name,address,lot_area_sqm,floor_area_sqm,price,description
BPI,02210-CEB-045,Liloan,Residential - Vacant Lot,Primavera Hills,Lots 14 and 15 Block 13 Along Teasel Street Primavera Hills Barangay Yati Liloan Cebu,540,0,3000000,vacant lot
BPI,03627-CEB-072,Cebu City,Residential - Condominium Unit,Palaciego Uno Condominium,Unit 7-A 7th Floor Palaciego Uno Condominium Barangay Camputhaw Cebu City,0,74.93,4875000,condominium unit
BPI,04455-CEB-098,Cebu City,Residential - Townhouse,NLC Residence,Unit 8295-1 NLC Residence Barangay San Roque Cebu City,52.7,90,2800000,townhouse
BPI,05053-CEB-137,Cebu City,Residential - Condominium Unit,Xavierville City Condominium,Unit 301 Xavierville City Condominium Echavez Extension St Barangay Lorega San Miguel Cebu City,0,124.19,6700000,condominium unit
BPI,05054-CEB-137,Cebu City,Residential - Condominium Unit,Xavierville City Condominium,Unit 302 Xavierville City Condominium Echavez Extension St Barangay Lorega San Miguel Cebu City,0,102.45,5600000,condominium unit
BPI,05055-CEB-137,Cebu City,Residential - Condominium Unit,Xavierville City Condominium,Unit 303 Xavierville City Condominium Echavez Extension St Barangay Lorega San Miguel Cebu City,0,113.17,6200000,condominium unit
BPI,05056-CEB-137,Cebu City,Residential - Condominium Unit,Xavierville City Condominium,Unit 304 Xavierville City Condominium Echavez Extension St Barangay Lorega San Miguel Cebu City,0,118.32,6100000,condominium unit
BPI,05058-CEB-137,Cebu City,Residential - Condominium Unit,Xavierville City Condominium,Unit 403 Xavierville City Condominium Echavez Extension St Barangay Lorega San Miguel Cebu City,0,112.99,6100000,condominium unit
BPI,05084-CEB-137,Cebu City,Residential - Condominium Unit,Xavierville City Condominium,Unit 402 Xavierville City Condominium Echavez Extension St Barangay Lorega San Miguel Cebu City,0,102.45,5600000,condominium unit
BPI,05094-CEB-138,Cebu City,Residential - Townhouse,,Lot 74 G and F Wilson Street Barangay Lahug Cebu City,130,184,6500000,townhouse
BPI,05546-CEB-174,Cebu City,Residential - Townhouse,South Glades Subd,Lot 6149-A-1-D South Glades Subd Lawaan Street Sitio Tambis Labangon Cebu City,76,82,3800000,townhouse
BPI,05561-CEB-176,Talisay City,Residential - House and Lot,NLC Residences 2,Unit C Lot 387-B-3 NLC Residences 2 Uldog St Carmen Cansojong Talisay City,39.4,39.4,3700000,house and lot
BPI,05571-CEB-180,Cebu City,Residential - House and Lot,Kirei Residences,Unit 5 Lot 10399-C-5 Hi-Way 77 Kirei Residences Cadahuan Talamban Cebu City,85,128,7500000,house and lot
BPI,05648-CEB-187,Cebu City,Residential - House and Lot,Rose Crest Residences,Lot 32 Rose Crest Residences San Jose Cebu City,80,137,6600000,house and lot
BPI,05699-CEB-192,Cebu City,Residential - House and Lot,The Rosepike at Forest Hills,Lot 6447-E-5 Unit C Phase 2 The Rosepike at Forest Hills Barangay Guadalupe Cebu City,68.5,206,11000000,house and lot
BPI,05701-CEB-194,Cebu City,Residential - House and Lot,Forest Hills Subdivision,Lot 6448 C4 and C5 Planas Street Forest Hills Subdivision Barangay Guadalupe Cebu City,1714,1819,93000000,house and lot
BPI,05876-CEB-212,Cebu City,Residential - House and Lot,Eggling Subdivision,Lot 8-K-4-D-4-B Cebu Trancentral Highway Eggling Subdivision Barangay Busay Cebu City,62,123,6800000,house and lot
BPI,05913-CEB-219,Cebu City,Residential - House and Lot,Sunrise Village,Lot 4270-B-6 R Abellanosa Street corner Sunrise Village Road Sunrise Village Barangay Inayawan Cebu City,349,442,10000000,house and lot
BPI,06014-CEB-227,Cebu City,Residential - House and Lot,Saint Anthony Residences,Lot 1-K-6-A Highway 77 Saint Anthony Residences Barangay Talamban Cebu City,72,67,5300000,house and lot
BPI,06061-CEB-230,Minglanilla,Residential - House and Lot,Velmiro Heights Subdivision,Lot 3 Block 12 Myrtle Street Velmiro Heights Subdivision Barangay Tunghaan Minglanilla,150,82.57,5500000,house and lot
BPI,06062-CEB-231,Minglanilla,Residential - House and Lot,Kamalaya II Residences,Lot 3 Block 4 Kamalaya II Residences Phase 1 Barangay Tunghaan Minglanilla,75,61,4200000,house and lot
BPI,06063-CEB-232,Minglanilla,Residential - House and Lot,Belmont Village,Lot 24 Block 1 Peace Street Belmont Village Barangay Pakigne Minglanilla,192,201,6600000,house and lot
BPI,06064-CEB-233,Minglanilla,Residential - House and Lot,Modena Subdivision,Lot 8 Block 8 Modena Subdivision Barangay Tunghaan Minglanilla,60,83,4200000,house and lot
BPI,06086-CEB-234,Cebu City,Residential - House and Lot,Maryville Subdivision,Lot 11297-C Dahlia Street Maryville Subdivision Phase 3 Barangay Talamban Cebu City,218,177.5,11300000,house and lot
BPI,06801-CEB-242,Cebu City,Residential - Townhouse,Naya Village,Lot 3-C 2nd Street Naya Village Barangay Tisa Cebu City,80,102,5500000,townhouse
BPI,06802-CEB-243,Cebu City,Residential - Townhouse,Tonito Homes,Lot 7014-C-3-B Unit 2 Tonito Homes Abi Abi Street Sun Valley Subdivision Barangay Calamba Cebu City,110,180,9700000,townhouse
BPI,06824-CEB-246,Cebu City,Residential - Condominium Unit,Horizons 101,Unit T1R27P 27th Floor Horizons 101 Tower 1 General Maxilom Avenue Barangay Central Poblacion Cebu City,0,60.3,11500000,condominium unit
BPI,06883-CEB-248,Cebu City,Residential - Condominium Unit,Azalea Place,Unit 220 22nd Floor Azalea Place Gorordo Avenue Barangay Lahug Cebu City,0,48,6800000,condominium unit
BPI,06884-CEB-249,Cebu City,Residential - Condominium Unit,Myvan Cityscape Tower II,Unit 1407 Myvan Cityscape Tower II Uptown Juana Osmena Street Barangay Camputhaw Cebu City,0,20.15,2950000,condominium unit
BPI,07005-CEB-250,Cebu City,Residential - Condominium Unit,Avida Towers Riala,Unit 2909 29th Floor Avida Towers Riala Tower 1 Jose Maria del Mar Street Cebu Asia IT Park Barangay Apas Cebu City,0,23.51,4500000,condominium unit
BPI,07016-CEB-252,Cebu City,Residential - House and Lot,North Belleza Subdivision,Lot 2 Block 1 North Belleza Subdivision Barangay San Jose Cebu City,99,111,7200000,house and lot
BPI,07020-CEB-255,Cebu City,Residential - Condominium Unit,Mivesa Garden Residences,Unit 609 Mivesa Garden Residences Building 2 Barangay Lahug Cebu City,0,20,3450000,condominium unit
BPI,07023-CEB-256,Cebu City,Residential - Condominium Unit,The Persimmon,Unit 6-C The Persimmon North Tower Barangay Mabolo Cebu City,0,41.32,6800000,condominium unit
BPI,04847-CEB-124,Consolacion,Residential - Townhouse,Pueblo El Grande Subdivision,Lot 69 Block 2 Pueblo El Grande Subdivision Phase 3 Barangay Tayud Consolacion,120,112,4950000,townhouse
BPI,05721-CEB-198,Consolacion,Residential - House and Lot,El Monteverde de Cebu,Lot 2 Block 1 New Orleans Street El Monteverde de Cebu Subdivision Barangay Lamac Consolacion,150,198,5800000,house and lot
BPI,05194-CEB-160,Consolacion,Residential - Townhouse,Villa Solana Subdivision,Lot 3 Block 2 Villa Solana Subdivision Phase 1 Barangay Tugbongan Consolacion,79,65,2400000,townhouse
