City,Auction_Category,Property_Name,Property_Type,Lot_Area_sqm,Floor_Area_sqm,Price_PHP,Occupancy_Status,Auction_Date,Source
BOGO CITY,Second Auction,VILLA CASITA - BOGO,Row House,36,24.05,,Row House,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,,Lot Only,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Single Detached,156,38.4,,Single Detached,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Single Detached,156,98.71,,Single Detached,,Pag-IBIG OPA
BOGO CITY,Negotiated Sale,NON SUBDIVISION,Single Attached,1525,45,,Single Attached,,Pag-IBIG OPA
CARCAR CITY,First Auction,TIERRA NAVA SUBDIVISION,Town House,42,36,,Town House,,Pag-IBIG OPA
CARCAR CITY,Second Auction,ESPERANZA HOMES,Row House,34,20.2,,Row House,,Pag-IBIG OPA
CARCAR CITY,Negotiated Sale,LUMINA CARCAR,Row House - End with Firewall,54,22,,Row House - End with Firewall,,Pag-IBIG OPA
CEBU CITY,First Auction,NHA HOUSING PROJECT,Lot Only,80,0,,Lot Only,,Pag-IBIG OPA
CEBU CITY,First Auction,URBAN DECA HOMES TISA 2,Condominium,0,26.8,,Condominium,,Pag-IBIG OPA
CEBU CITY,First Auction,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,First Auction,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,First Auction,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,First Auction,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,First Auction,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,First Auction,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,First Auction,URBAN DECA HOMES TISA 2,Condominium,0,36.5,,Condominium,,Pag-IBIG OPA
CEBU CITY,First Auction,URBAN DECA HOMES TISA 2,Condominium,0,36.5,,Condominium,,Pag-IBIG OPA
CEBU CITY,First Auction,URBAN DECA HOMES TISA 2,Condominium,0,36.5,,Condominium,,Pag-IBIG OPA
CEBU CITY,Second Auction,URBAN DECA HOMES TISA,Condominium,0,25,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,URBAN DECA HOMES TISA,Condominium,0,25,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,URBAN DECA HOMES TISA,Condominium,0,25,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,URBAN DECA HOMES TISA,Condominium,0,36.5,,Condominium,,Pag-IBIG OPA
CEBU CITY,Negotiated Sale,URBAN DECA HOMES TISA 2,Condominium,0,36.5,,Condominium,,Pag-IBIG OPA
