source,property_name,address,city,property_type,lot_area_sqm,floor_area_sqm,bedrooms,bathrooms,price_php,listing_url,market_segment
carousell,Furnished 3 Bedroom House for Sale in Mactan Island,"Basak, Lapu-Lapu City Bedroom: 3 Bathroom: 3 Floor Area: 80 SqM Lot Area: 122 SqM Car Garage: 2 Car Furnishing: Semi-Furnished Location & nearby places Basak, Lapu-lapu City, Cebu,",Lapu-Lapu City,House and Lot,122.0,80.0,3.0,3.0,6000000.0,https://www.carousell.ph/p/furnished-3-bedroom-house-for-sale-in-mactan-island-1435922293/?amp%3Bt-referrer_request_id=bB1s8SP6pTvw5eHk&amp%3Bt-tap_index=0,open_market
carousell,Cebu City Luxury Pool Villa for Sale 721 sqm Bi-Level Home with Private Outdoor Space & City Views,"Cebu City Luxury Pool Villa for Sale 721 sqm Bi-Level Home with Private Outdoor Space & City Views A thoughtfully designed home that offers your family space, comfort, and a better everyday living experience. This bi-level pool villa at The Rise Cebu is created for those who value privacy, fresh air, and meaningful time at home. Inspired by the natural beauty of the Rice Terraces, the development blends greenery and architecture, giving you a living environment that feels calm, open, and elevated. From quiet mornings in your private outdoor areas to evenings spent enjoying city views with your family, this home supports a lifestyle centered on connection and ease. Located in Cebu City, you're close to everything your family needs, top schools like the University of San Carlos, leading hospitals such as Cebu Doctors University Hospital, and lifestyle destinations including One Pavilion Mall. This allows you to enjoy both accessibility and quality of life, with less time on the road and more time spent at home. With its expansive indoor and outdoor living spaces, refined finishes, and future-ready features, this property offers long-term value for families looking to invest in a home they can truly grow into. Property Details: Bi-Level Pool Villa Indoor Area: 322.50 sqm Outdoor Area: 399 sqm Total Space: 721.50 sqm Total Contract Price: ₱146,160,000 Add: Other Charges Key Features & Advantages: Private indoor-outdoor living ideal for family time and entertaining Expansive outdoor space with open city views Main kitchen by Poliform Low-density, design-focused residential community Lobby lounge with concierge services 100% backup power 24/7 security with CCTV Proximity card access Driver’s lounge with overnight quarters Amenities: Adult & kiddie swimming pool with pool bar lounge Fully equipped gym and sauna Function hall Sustainability & Future-Ready Living: Solar-supplemented amenities Rainwater irrigation and catchment system EV charging provision for each parking slot Private viewings are available by appointment. Secure your preferred time and take the next step toward a home your family will truly enjoy for years to come. 📞 0933-875-3851 Rowena Almario Isubol Licensed Real Estate Broker PRC ID No. 34425 | DHSUD ID No. 9648 #CebuCityPropertyForSale #LuxuryPoolVillaCebu #HighEndRealEstatePH #CebuLuxuryLiving #HouseForSaleCebu",Cebu City,House and Lot,,721.5,3.0,4.0,146160000.0,https://www.carousell.ph/p/cebu-city-luxury-pool-villa-for-sale-721-sqm-bi-level-home-with-private-outdoor-space-city-views-1435656861/?amp%3Bt-referrer_request_id=bB1s8SP6pTvw5eHk&amp%3Bt-tap_index=1,open_market
carousell,"Rent to own mad Easy move in no hassle for requirements,Foreigner can own 1 bedroom 36sqm ,2 bedroom 58 SQm talisay near in SRP very accessible all unit with parking. Low rise building 3 storey apartment,condo this Rent to own","1 bedroom with parking. near in SRP talisay city of Cebu . 24 /7security with pool ,gym,play ground. no flooding area installment. spot 8 percent. you can used the unit .very near market and mall",Cebu City,Condominium,36.0,36.0,1.0,1.0,3400000.0,https://www.carousell.ph/p/rent-to-own-mad-easy-move-in-no-hassle-for-requirements-foreigner-can-own-1-bedroom-36sqm-2-bedroom-58-sqm-talisay-near-in-srp-very-accessible-all-unit-with-parking-low-rise-building-3-storey-apartment-condo-this-rent-to-own-1414826172/?amp%3Bt-referrer_request_id=bB1s8SP6pTvw5eHk&amp%3Bt-tap_index=5,open_market
carousell,"Brand New 4BR House and Lot for sale in Arcenas Highland, Cebu City","ARCENAS HIGHLAND RESIDENCES At Casa Rositas Banawa Cebu City Discover a prestigious home within Arcenas Estate, offering luxury, privacy, and breathtaking city views. PRIME LOCATION & AMENITIES: Secure, low-density community Lush greenery & serene surroundings Easy access to city conveniences Park Playground Swimming pool Wading pool for Kids Activity lawn Concrete activity pad Where elegance meets elevated living Step into a life of comfort, privacy, and prestige at The Highland Residences, located within the exclusive Arcenas Estate in Banawa. ACCESSIBILITY: 5 minutes to the nearest departments stores, groceries and supermarkets Walking distance to restaurants and recreational facilities 15-20 minutes travel to Ayala Center Cebu, Cebu IT Park 25 minutes travel to SM City Cebu 10 minutes travel to down town and nearest schools and universities SINGLE DETACHED UNIT HOUSE DETAILS Block 5 lot 3 Lot Area: 182 sqm Floor Area: 202 sqm bedroom: 4 Toilet and Bath: 3 ===== SECOND FLOOR: Master’s Bedroom with own toilet and bath Masters Bedroom with balcony Bedroom 1 & 2 Common toilet and bath ===== GROUND FLOOR: Maid’s Quarter with toilet and bath Living, Dining and Kitchen Powder Room Service Area 2- Car Garage ===== Total Contract Price: 38,635,860.00 ===== 10% Lumpsum Down payment: 3,863,586.00 Less Reservation Fee: 500,000.00 NET Down payment: 3,363,586.00 payments will be made 15 days after the reservation date. ===== Remaining 20% Down payment: 7,727,172.00 ===== Monthly down payment/Equity: 214,643.00 payable in 36 mos. ===== Remaining 70% thru Bank Financing OR cash upon turn over Loanable Amount: 27,045,102.00 Please feel free to reach out if you have any questions or need further assistance. JEAN AMANCIA CONTACT no. +63 9171290370 Real Estate Broker and Appraiser PRC lic. # 0036428",Cebu City,Single Detached,182.0,202.0,4.0,3.0,38635860.0,https://www.carousell.ph/p/brand-new-4br-house-and-lot-for-sale-in-arcenas-highland-cebu-city-1419877159/?amp%3Bt-referrer_request_id=bB1s8SP6pTvw5eHk&amp%3Bt-tap_index=6,open_market
carousell,"Modern Luxury Home in Arcenas Highlands, Banawa, Cebu City","Banawa, Guadalupe, Cebu City, Philippines Lot Area: 308 sqm (≈ 3,315 sq ft) Floor Area: 325 sqm (≈ 3,498 sq ft) Bedrooms: 3 + Maid’s Room Bathrooms: 3 Full + 1 Powder Room Parking:",Cebu City,House and Lot,308.0,325.0,4.0,4.0,64518819.0,https://www.carousell.ph/p/modern-luxury-home-in-arcenas-highlands-banawa-cebu-city-1435606338/?amp%3Bt-referrer_request_id=bB1s8SP6pTvw5eHk&amp%3Bt-tap_index=7,open_market
carousell,"Own this Single-Attached House and Lot inside a high-end exclusive subdivision in Metropolis 1, Talamban, Cebu City","Freebies!!! 💰💰💰 Gas burner with range hood Concrete fence and gate Title Transfer Move-in Fees Lot Area: 121 sqm Building only Area - 102.7 sqm Parking Area and others - 74.8 sqm Total Floor Area - 177.5 sqm Facing east and morning sun for a cooler home 3 Bedrooms 3 Toilet and Bath Spacious 2 Carport Living Area Dining Area Porch Walk-in closet for Master’s Bathroom with free shower enclosure Elegant kitchen cabinets and countertop Low-density Subdivision TCP: 11.8M ALL-IN including Transfer Taxes, Move-in Fees.",Cebu City,Townhouse,121.0,177.5,3.0,3.0,11800000.0,https://www.carousell.ph/p/own-this-single-attached-house-and-lot-inside-a-high-end-exclusive-subdivision-in-metropolis-1-talamban-cebu-city-1424393279/?amp%3Bt-referrer_request_id=bB1s8SP6pTvw5eHk&amp%3Bt-tap_index=8,open_market
carousell,"Own this Single-Attached House and Lot inside a high-end exclusive subdivision of Corona del Mar, Talisay City Cebu",Freebies!!! 💰💰💰 Air condition unit (main bedrooms) Walk-in Cabinet (Master’s Bedroom) Gas burner with range hood Concrete fence and gate Lot Area: 150 sqm Building only Area - 109 sqm Parking Area and others - 98.4 sqm Total Floor Area - 207.4 sqm 3 Main Bedrooms + Optional 1 Maid's Room (free of charge) 3 Toilet and Bath Spacious 2 Carport Living Area Dining Area Walk-in closet for Master’s Bedroom Elegant kitchen cabinets Low-density Subdivision Wide Subdivision roads Subdivision Amenities: Pocket Parks Clubhouse with Swimming Pool with Shower Rooms Tennis Court Basketball Court Playground 24-hour Security Team Nearby Establishments 5min to Star Mall 6min to Schools 10min to Il Corso Lifemalls 12min to SM Seaside 10min to Nustar Hotel and Casino 14min to CCLEX TCP: 15.8M - ALL-IN inclu,Talisay City,Townhouse,150.0,207.4,3.0,3.0,15800000.0,https://www.carousell.ph/p/own-this-single-attached-house-and-lot-inside-a-high-end-exclusive-subdivision-of-corona-del-mar-talisay-city-cebu-1424392285/?amp%3Bt-referrer_request_id=bB1s8SP6pTvw5eHk&amp%3Bt-tap_index=9,open_market
carousell,"4-Bedroom House and Lot for Sale in Minglanilla, Cebu - well-maintained","Situated in a secure, gated community Security: Equipped with high-quality HiK CCTV system and DVR for peace of mind Bedrooms: 3 spacious bedrooms located upstairs, each with air c",Minglanilla,House and Lot,,90.0,4.0,2.0,7000000.0,https://www.carousell.ph/p/4-bedroom-house-and-lot-for-sale-in-minglanilla-cebu-well-maintained-1328226860/?amp%3Bt-referrer_request_id=bB1s8SP6pTvw5eHk&amp%3Bt-tap_index=10,open_market
carousell,"Own this Brand New Multi-Level House w/ Swimmingpool in Vista Grande, Talisay City Cebu","Vista Grande, Talisay City Cebu with the view of Cebu City, Mountainscape around the community and Panorama View of Alta Vista Golf Club. DETAILS: Furnished Lot Area: 407 sqm Gross Floor Area: 769 sqm gross (approx.) • 5 Bedrooms with own Toilet & Bath • 1 Theater Room / Gym Room with own Toilet • Family Room • 1 Helper’s Room • 1 Driver’s Room • Common Toilet & Bath for Driver & Helper • 5-6 Car Garage • Swimming Pool with water features • PWD Friendly (ramp) • Powder Room • Service Area • Storage Room • Sunken outdoor seating area • Roof Deck FEATURES: • Cathedral Ceiling on Master Bedroom • Well Landscape Garden • All Toilet with Hot & Cold • Bathtub on Master Toilet • All Room has Balcony • All Room has Cabinet and Walk-in Closets • LED Lights • Landscape Gardens • CCTV Provision • Ant Treatment imbedded facility",Cebu City,House and Lot,407.0,769.0,5.0,4.0,48000000.0,https://www.carousell.ph/p/own-this-brand-new-multi-level-house-w-swimmingpool-in-vista-grande-talisay-city-cebu-1424379867/?amp%3Bt-referrer_request_id=bB1s8SP6pTvw5eHk&amp%3Bt-tap_index=13,open_market
carousell,"Relaxed Beachside Living – 5BR House and Lot For Sale in Corona del Mar, Talisay City","MR. SUADE TAN HOUSE In Corona del Mar Pooc Talisay City, Cebu Corona Del Mar is a residential seaside community and house-and-lot subdivision developed by Filinvest Land (through Aspire by Filinvest) located in Barangay Pooc, Talisay City, Cebu, Philippines — about 15 minutes south of Cebu City via the Cebu South Coastal Road (SRP). CLOSER ESTABLISHMENTS 10 min to Ill Corso Lifemalls 12 min to Sm Seaside 10 min to Nustar Hotel and Casino 10 min Pedro Calungsod Church 6 min to Schools 6 min to Hospitals About 13-15mins to CCLEX BUYER’S BONUS: 2- Double door refrigerator 5- Burner gas stove with oven Range Hood Ventilation Water Heater in each bathroom 2- STOREY SINGLE DETACHED HOUSE HOUSE DETAILS: Preselling Phase 2 Blk 1 Lot 7 and 9 Lot Area: 313 sqm. Floor Area: 338 sqm. 5- bedrooms 3-Toilet and Bath ===== SECOND FLOOR: Master’s Bedroom with own toilet and bath Master’s Bedroom with walk in closet and balcony Bedroom 3 & 4 1- Common Toilet and Bath with water heater ===== GROUND FLOOR: Guest Room Maid’s Room Living Area and Kitchen Area Dining Area with Breakfast nook Island Counter Top with Granite Dirty Kitchen Common Toilet and Bath with water heater Laundry Area 6- Carports Porch ===== Granite Indoor & Outdoor Kitchen Recessed Lights/LED Outdoor Light Fixture Complete Kitchen Cabinets Big Garden + Outdoor Living Space Pool & Jacuzzi Option Play Area 3- Balcony in Upper Floor ===== Price: 21,880,000.00 ===== 30% Down payment/Equity: 6,554,000.00 Less, Reservation Fee: 200,000.00 Net Down payment/Equity: 6,264,000.00 ===== Monthly Down payment/Equity: 783,000.00 in 8 months ===== 70% Remaining Balance thru Bank Financing OR Cash Loanable Amount: 15,316,000.00 ===== NOTE: Buyers Pays All Other Fees. Good Only For 30 Days & Not Refundable. Spot cash of the total price discount of 5% The monthly amortization depends on the Bank Rates per individual’s credit. Borrower can add more down payment if they want to lower the monthly amortization. Please feel free to reach out if you have any questions or need further assistance. JEAN AMANCIA CONTACT no. +63 9171290370 Real Estate Broker and Appraiser PRC lic. # 0036428",Cebu City,Single Detached,313.0,338.0,5.0,3.0,21880000.0,https://www.carousell.ph/p/relaxed-beachside-living-–-5br-house-and-lot-for-sale-in-corona-del-mar-talisay-city-1424348548/?amp%3Bt-referrer_request_id=bB1s8SP6pTvw5eHk&amp%3Bt-tap_index=17,open_market
