title,price,location,description,link
"1BR CONDOMINIUM FOR SALE IN SEA RESIDENCES, PASAY","PHP 5,415,000","Pearl Drive Cor Sunrise Drive, Pasay, 1300 Metro Manila",1BR with balcony,
"1BR CONDOMINIUM FOR SALE IN JAZZ RESIDENCES, MAKATI","PHP 4,825,800","Jupiter St., cor. N. Garcia St., Bel-Air Village, Makati City","43rd Floor, 1BR with balcony",
LOT FOR SALE IN BOGO CITY CEBU,"PHP 5,000,000,000","Bogo City Hall Road, Bogo, Cebu","Bogo City, Cebu",
"2BR CONDOMINIUM FOR SALE IN DISCOVERY PRIMEA, MAKATI","PHP 220,000,000",Makati,"A furnished 2 bedroom condominium unit with 2 parking spaces for sale in Discovery Primea, Makati with a floor area of 382 SQM, priced at Php 220,000,000. This unit has a private lift, Master's bedroom with master walk-in closet & toilet & bath, bedroom with own toilet & bath, Ante room leading to the Master's Bedroom, 10-seater dining table, powder room, home office, family room, service entrance, and appurtenant parking.",
LIIP - RRI,PHP NAN,"LIIP, Mamplasan, Binan, Laguna",LIIP lot for lease,
"BRGY. TEJEROS, MAKATI FOR SALE","PHP 718,080,000","A.P Reyes, Brgy. Tejeros, Makati",Property across Circuit Makati,
"1BR CONDOMINIUM FOR SALE IN GARDEN TOWERS, MAKATI","PHP 25,070,000","Ayala Center, East St, Makati",1 Bedroom with Parking,
"2BR CONDOMINIUM FOR SALE IN THREE CENTRAL, MAKATI","PHP 19,000,000",Makati,"A 2 bedroom condominium unit with one parking space for sale in Three Central, Makati with a floor area of 80 SQM. This unit is priced at Php 19,000,000.",
"P. BURGOS BUILDING FOR SALE - POBLACION, MAKATI","PHP 243,739,906","P. Burgos Street, Brgy. Poblacion, Makati","2,751 Sqm Building for Sale - Poblacion, Makati",
"1BR CONDOMINIUM FOR SALE IN GRACE RESIDENCES, TAGUIG","PHP 3,200,000",Taguig,"A furnished 1 bedroom condominium with 1 toilet and bath for sale in Grace Residences, Taguig, with a floor area of 23.26, priced at Php 3,200,000.",
"7.7 HA BEACHFRONT PROPERTY FOR SALE IN SAN VICENTE, PALAWAN","PHP 773,340,000","Teed, Brgy. New Canipo, San Vicente, Palawan","7.7-hectare beachfront property located in Brgy. New Canipo, San Vicente, Palawan. This offering features a 201-meter beachfront with a 327-meter road frontage.",
"1BR CONDOMINIUM FOR SALE IN TUSCANY PRIVATE ESTATE, TAGUIG","PHP 11,760,000","Upper McKinley Road, McKinley Hill, Fort Bonifacio, Taguig City","2nd Floor, Tower 4. 1-Bedroom loft type unit with 1 Toilet & Bath.",
