title,url,price,location,property_type,area,bedrooms,bathrooms,status,furnishing,posted_on,agent_name,specs
"House and Lot For Sale in Greenwoods Avenue, Cainta",https://lifenavi.com/ph/properties/cainta/for-sale/house-and-lot/fully-furnished-4-bedroom-house-for-sale-in-greenwoods-executive-village-ad-214-ln977218,"PHP 11,500,000","Greenwoods Avenue, Cainta, Metro Manila",,160 m²,4,2,Available from 28 Nov,,01 Dec 17:00,Housing I.,"['PHP 11,500,000', 'Greenwoods Avenue, Cainta, Metro Manila', 'Bedrooms:', '4', 'Area:', '160 m²', 'Bathrooms:', '2', 'Available from:', '28 Nov']"
"Condo For Sale in East Raya Gardens, Mercedes Avenue, Pasig",https://lifenavi.com/ph/properties/pasig/for-sale/condo/semi-furnished-2-br-unit-for-sale-in-east-raya-gardens-ad-213-ln500001,"PHP 4,500,000","East Raya Gardens, Mercedes Avenue, Pasig, Metro Manila",,64 m²,2,2,Available from 9 Oct,,01 Dec 17:00,Housing I.,"['PHP 4,500,000', 'East Raya Gardens, Mercedes Avenue, Pasig, Metro Manila', 'Bedrooms:', '2', 'Area:', '64 m²', 'Bathrooms:', '2', 'Available from:', '9 Oct']"
"Condo For Rent in Taguig, Metro Manila",https://lifenavi.com/ph/properties/taguig/for-rent/condo/fully-furnished-1-bedroom-w-balcony-for-rent-in-smdc-grace-residences-ad-212-ln527563,"PHP 19,000/ month","Taguig, Metro Manila",,27.33 m²,1,1,Available from 12 May,,01 Dec 17:00,Housing I.,"['PHP 19,000/ month', '/ month', 'Taguig, Metro Manila', 'Bedrooms:', '1', 'Area:', '27.33 m²', 'Bathrooms:', '1', 'Available from:', '12 May']"
"Condo For Sale in General Romulo Avenue, Quezon City",https://lifenavi.com/ph/properties/quezon-city/for-sale/condo/fully-furnished-studio-unit-for-sale-in-manhattan-heights-ad-210-ln226944,"PHP 3,500,000","General Romulo Avenue, Cubao, Quezon City, Metro Manila, 1109",,28 m²,Studio,1,Available from 11 Aug,,01 Dec 16:59,Housing I.,"['PHP 3,500,000', 'General Romulo Avenue, Cubao, Quezon City, Metro Manila, 1109', 'Bedrooms:', 'Studio', 'Area:', '28 m²', 'Bathrooms:', '1', 'Available from:', '11 Aug']"
"House and Lot For Sale in 17, Green Meadows Avenue, Quezon City",https://lifenavi.com/ph/properties/quezon-city/for-sale/house-and-lot/for-sale-4br-townhouse-in-enclave-greenmeadows-quezon-city-ad-209-ln341006,"PHP 60,000,000","17, Green Meadows Avenue, Quezon City, Metro Manila",,400 m²,4,4,Available from 28 Mar,,01 Dec 16:59,Housing I.,"['PHP 60,000,000', '17, Green Meadows Avenue, Quezon City, Metro Manila', 'Bedrooms:', '4', 'Area:', '400 m²', 'Bathrooms:', '4', 'Available from:', '28 Mar']"
"Condo For Sale in 30th Street, 1st Avenue, Taguig",https://lifenavi.com/ph/properties/taguig/for-sale/condo/fully-furnished-3br-condo-unit-for-rent-in-bgc-ad-208-ln500772,"PHP 37,800,000","30th Street, 1st Avenue, Taguig, Metro Manila, 1630",,142 m²,3,2,Available from 21 Mar,,01 Dec 16:59,Housing I.,"['PHP 37,800,000', '30th Street, 1st Avenue, Taguig, Metro Manila, 1630', 'Bedrooms:', '3', 'Area:', '142 m²', 'Bathrooms:', '2', 'Available from:', '21 Mar']"
"House and Lot For Sale in 131, Maginhawa, Quezon City",https://lifenavi.com/ph/properties/quezon-city/for-sale/house-and-lot/3-storey-townhouse-with-balcony-in-quezon-city-ad-207-ln591232,"PHP 20,500,000","131, Maginhawa, Diliman, Quezon City, Metro Manila, 1101",,230 m²,4,4,Available from 20 May,,01 Dec 16:59,Housing I.,"['PHP 20,500,000', '131, Maginhawa, Diliman, Quezon City, Metro Manila, 1101', 'Bedrooms:', '4', 'Area:', '230 m²', 'Bathrooms:', '4', 'Available from:', '20 May']"
"Condo For Sale in 417, Eulogio Amang Rodriguez Avenue, Pasig",https://lifenavi.com/ph/properties/pasig/for-sale/condo/unfurnished-2-br-unit-for-sale-in-acacia-escalades-ad-206-ln466364,"PHP 6,500,000","417, Eulogio Amang Rodriguez Avenue, Manggahan, Pasig, Metro Manila",,53 m²,2,1,Available from 3 Feb,,01 Dec 16:59,Housing I.,"['PHP 6,500,000', '417, Eulogio Amang Rodriguez Avenue, Manggahan, Pasig, Metro Manila', 'Bedrooms:', '2', 'Area:', '53 m²', 'Bathrooms:', '1', 'Available from:', '3 Feb']"
"House and Lot For Sale in 108, Kilyawan Street, Quezon City",https://lifenavi.com/ph/properties/quezon-city/for-sale/house-and-lot/house-and-lot-for-sale-novaliches-quezon-city-ad-205-ln358694,"PHP 6,000,000","108, Kilyawan Street, Novaliches, Quezon City, Metro Manila",,105 m²,3,3,Available from 14 Nov,,01 Dec 16:59,Housing I.,"['PHP 6,000,000', '108, Kilyawan Street, Novaliches, Quezon City, Metro Manila', 'Bedrooms:', '3', 'Area:', '105 m²', 'Bathrooms:', '3', 'Available from:', '14 Nov']"
"Condo For Rent in Muntinlupa, Metro Manila",https://lifenavi.com/ph/properties/muntinlupa/for-rent/condo/2br-for-rent-at-vivere-hotel-resort-ad-204-ln337307,"PHP 55,000/ month","Muntinlupa, Metro Manila",,55 m²,2,1,Available from 10 Nov,,01 Dec 16:59,Housing I.,"['PHP 55,000/ month', '/ month', 'Muntinlupa, Metro Manila', 'Bedrooms:', '2', 'Area:', '55 m²', 'Bathrooms:', '1', 'Available from:', '10 Nov']"
