title,url,price,location,property_type,area,bedrooms,bathrooms,status,furnishing,posted_on,agent_name,specs
"Condo For Rent in Timog Avenue, Quezon City",https://lifenavi.com/ph/properties/quezon-city/for-rent/condo/condo-unit-for-rent-11th-floor-tower-1-the-symphony-tower-ln419065,"PHP 16,000/ month","Timog Avenue, Diliman, Quezon City, Metro Manila",,21 m²,Studio,1,Available from 21 Dec,,21 Dec 22:21,Armien C.,"['PHP 16,000/ month', '/ month', 'Timog Avenue, Diliman, Quezon City, Metro Manila', 'Bedrooms:', 'Studio', 'Area:', '21 m²', 'Bathrooms:', '1', 'Available from:', '21 Dec']"
"Condo For Sale in Lapu-Lapu, Central Visayas",https://lifenavi.com/ph/properties/lapu-lapu/for-sale/condo/studio-condo-deluxe-for-saleassume-in-be-residences-mactan-ln578706,"PHP 5,685,000","Lapu-Lapu, Central Visayas",,28 m²,Studio,1,Available from 21 Dec,,21 Dec 20:46,Nelson B.,"['PHP 5,685,000', 'Lapu-Lapu, Central Visayas', 'Bedrooms:', 'Studio', 'Area:', '28 m²', 'Bathrooms:', '1', 'Available from:', '21 Dec']"
"House and Lot For Sale in San Jose del Monte, Central Luzon",https://lifenavi.com/ph/properties/san-jose-del-monte/for-sale/house-and-lot/house-and-lot-for-sale-ln337689,"PHP 1,500,000,000","San Jose del Monte, Central Luzon",,112 m²,1,2,Available from 22 Dec,,21 Dec 02:05,Christian G.,"['PHP 1,500,000,000', 'San Jose del Monte, Central Luzon', 'Bedrooms:', '1', 'Area:', '112 m²', 'Bathrooms:', '2', 'Available from:', '22 Dec']"
"Condo For Rent in 175, Shaw Boulevard, Pasig",https://lifenavi.com/ph/properties/pasig/for-rent/condo/condo-unit-for-rent-5th-for-east-tower-lumiere-residences-ln187166,"PHP 23,000/ month","175, Shaw Boulevard, Pasig, Metro Manila",,24 m²,1,1,Available from 19 Dec,,19 Dec 15:41,Armien C.,"['PHP 23,000/ month', '/ month', '175, Shaw Boulevard, Pasig, Metro Manila', 'Bedrooms:', '1', 'Area:', '24 m²', 'Bathrooms:', '1', 'Available from:', '19 Dec']"
"Townhouse For Sale in Mabalacat City, Central Luzon",https://lifenavi.com/ph/properties/mabalacat-city/for-sale/townhouse/symphony-homes-by-smdc-ln405270,"PHP 3,300,000","Mabalacat City, Central Luzon",,54 m²,2,1,Available from 18 Dec,,18 Dec 23:32,Maria soleil C.,"['PHP 3,300,000', 'Mabalacat City, Central Luzon', 'Bedrooms:', '2', 'Area:', '54 m²', 'Bathrooms:', '1', 'Available from:', '18 Dec']"
"Land only For Sale in Talisay, Calabarzon",https://lifenavi.com/ph/properties/talisay/for-sale/land-only/fairway-lot-with-golf-share-in-tagaytay-midlands-ln205037,"PHP 35,000","Talisay, Calabarzon",,430 m²,2,2,Available from 18 Dec,,18 Dec 12:02,Ricky D.,"['PHP 35,000', 'Talisay, Calabarzon', 'Bedrooms:', '2', 'Area:', '430 m²', 'Bathrooms:', '2', 'Available from:', '18 Dec']"
"Condo For Sale in 1605, Garnet Road, Pasig",https://lifenavi.com/ph/properties/pasig/for-sale/condo/grand-emerald-tower-1br-for-sale-ln342286,"PHP 3,600,000","1605, Garnet Road, Ortigas Center, Pasig, Metro Manila",,30 m²,1,1,Available from 17 Dec,,17 Dec 19:54,Stanley S.,"['PHP 3,600,000', '1605, Garnet Road, Ortigas Center, Pasig, Metro Manila', 'Bedrooms:', '1', 'Area:', '30 m²', 'Bathrooms:', '1', 'Available from:', '17 Dec']"
"House and Lot For Sale in Cebu City, Central Visayas",https://lifenavi.com/ph/properties/cebu-city/for-sale/house-and-lot/modern-3br-house-and-lot-in-metropolis-talamban-cebu-city-ln962426,"PHP 11,400,000","Cebu City, Central Visayas, 6000",,120 m²,3,3,Available from 17 Dec,,17 Dec 19:05,Christie P.,"['PHP 11,400,000', 'Cebu City, Central Visayas, 6000', 'Bedrooms:', '3', 'Area:', '120 m²', 'Bathrooms:', '3', 'Available from:', '17 Dec']"
"Beach Lot For Sale in Ilog, Western Visayas",https://lifenavi.com/ph/properties/ilog/for-sale/beach-lot/400-sqm-lot-near-beach-ln549045,"PHP 1,600,000","Ilog, Western Visayas",,400 m²,1,2,Available from 17 Dec,,17 Dec 19:01,Most P.,"['PHP 1,600,000', 'Ilog, Western Visayas', 'Bedrooms:', '1', 'Area:', '400 m²', 'Bathrooms:', '2', 'Available from:', '17 Dec']"
"Condo For Sale in 32, Lecaros Street, Tuguegarao City",https://lifenavi.com/ph/properties/tuguegarao-city/for-sale/condo/bayani-hall-condominium-the-first-condo-in-tuguegarao-city-ln960916,"PHP 2,750,000","32, Lecaros Street, Tuguegarao City, Cagayan Valley, 3500",,20 m²,Studio,1,Available from 16 Dec,,16 Dec 11:40,Staff M.,"['PHP 2,750,000', '32, Lecaros Street, Tuguegarao City, Cagayan Valley, 3500', 'Bedrooms:', 'Studio', 'Area:', '20 m²', 'Bathrooms:', '1', 'Available from:', '16 Dec']"
