ad_id,url,title,property_type_raw,price_php,price_per_sqm_listed,bedrooms,bathrooms,area_sqm,location_text,project_name,category,source,scraped_at
1495c421336d-97c1-a232-ec5e-f04c1089,https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-catarman-cebu_1495c421336d-97c1-a232-ec5e-f04c1089,4 bedroom house for sale in catarman cebu,house,12000000.0,88235.0,4.0,3.0,136.0,"Catarman, Lilo-an Cebu",𝗔𝘀𝗵𝗮𝗻𝗮 𝗖𝗼𝗮𝘀𝘁 𝗥𝗲𝘀𝗶𝗱𝗲𝗻𝗰𝗲𝘀,house,dotproperty,2026-06-14T17:18:35
c24f7ea89735-9f71-aa52-de24-11c3c089,https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-tisa-cebu_c24f7ea89735-9f71-aa52-de24-11c3c089,4 bedroom house for sale in tisa cebu,house,13000000.0,99609.0,4.0,,130.5,tisa cebu,,house,dotproperty,2026-06-14T17:18:35
18016b5ba7bf-84d0-1562-b47f-3df9b089,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-pooc-cebu_18016b5ba7bf-84d0-1562-b47f-3df9b089,5 bedroom house for sale in pooc cebu,house,22880000.0,67692.0,5.0,3.0,338.0,pooc cebu,,house,dotproperty,2026-06-14T17:18:35
f2b729fe5645-a811-fbb2-1e50-e50d9089,https://www.dotproperty.com.ph/ads/1-bedroom-house-for-sale-in-cabancalan-cebu_f2b729fe5645-a811-fbb2-1e50-e50d9089,1 bedroom house for sale in cabancalan cebu,house,8000000.0,97561.0,1.0,2.0,82.0,cabancalan cebu,,house,dotproperty,2026-06-14T17:18:35
1eae1df71f14-1180-a682-6773-14c90089,https://www.dotproperty.com.ph/ads/3-bedroom-house-for-sale-in-esperanza-cebu_1eae1df71f14-1180-a682-6773-14c90089,3 bedroom house for sale in esperanza cebu,house,17000000.0,75055.0,3.0,,226.5,esperanza cebu,,house,dotproperty,2026-06-14T17:18:35
f921d692ec60-30fe-e452-c14c-bf8af089,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-poblacion-occidental-cebu_f921d692ec60-30fe-e452-c14c-bf8af089,5 bedroom house for sale in poblacion occidental cebu,house,38000000.0,69091.0,5.0,5.0,550.0,poblacion occidental cebu,,house,dotproperty,2026-06-14T17:18:35
885c27a2bd94-0041-2b92-400f-224de089,https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-ocean-palace-beach-club-guiwang-cebu_885c27a2bd94-0041-2b92-400f-224de089,4 bedroom house for sale in ocean palace beach club guiwang cebu,house,12500000.0,54825.0,4.0,2.0,228.0,ocean palace beach club guiwang cebu,,house,dotproperty,2026-06-14T17:18:35
8aad663fe182-df20-ea52-3a44-8dd78089,https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-yati-cebu_8aad663fe182-df20-ea52-3a44-8dd78089,4 bedroom house for sale in yati cebu,house,7800000.0,66102.0,4.0,3.0,118.0,yati cebu,,house,dotproperty,2026-06-14T17:18:35
ac2d37da0e2d-00fe-90a2-162b-c9c84089,https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-tungkil-cebu_ac2d37da0e2d-00fe-90a2-162b-c9c84089,4 bedroom house for sale in tungkil cebu,house,14322000.0,116439.0,4.0,3.0,123.0,tungkil cebu,,house,dotproperty,2026-06-14T17:18:35
93b628e77a47-8e5e-5e32-a241-2f80d089,https://www.dotproperty.com.ph/ads/3-bedroom-house-for-sale-in-dumlog-cebu_93b628e77a47-8e5e-5e32-a241-2f80d089,3 bedroom house for sale in dumlog cebu,house,6880000.0,73191.0,3.0,2.0,94.0,dumlog cebu,,house,dotproperty,2026-06-14T17:18:35
87fd390f8446-c4c0-7702-0fb5-958b0089,https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-alegria-cebu_87fd390f8446-c4c0-7702-0fb5-958b0089,4 bedroom house for sale in alegria cebu,house,7000000.0,80460.0,4.0,2.0,87.0,alegria cebu,,house,dotproperty,2026-06-14T17:18:35
3f1df4efe7a5-2fef-1c92-b55d-ba3f2089,https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-casili-cebu_3f1df4efe7a5-2fef-1c92-b55d-ba3f2089,4 bedroom house for sale in casili cebu,house,9800000.0,81844.0,4.0,,119.7,casili cebu,,house,dotproperty,2026-06-14T17:18:35
04b46d120b83-7e4f-4cd2-414c-ba97b089,https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-guadalupe-cebu_04b46d120b83-7e4f-4cd2-414c-ba97b089,4 bedroom house for sale in guadalupe cebu,house,15850000.0,68913.0,4.0,3.0,230.0,guadalupe cebu,,house,dotproperty,2026-06-14T17:18:35
cf788f04b8df-a931-2622-72f2-1e03b089,https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-yati-cebu_cf788f04b8df-a931-2622-72f2-1e03b089,4 bedroom house for sale in yati cebu,house,19500000.0,,4.0,4.0,199.0,yati cebu,,house,dotproperty,2026-06-14T17:18:35
4ce989f744f3-78ef-e7e2-26b3-0e73c089,https://www.dotproperty.com.ph/ads/3-bedroom-house-for-sale-in-banban-cebu_4ce989f744f3-78ef-e7e2-26b3-0e73c089,3 bedroom house for sale in banban cebu,house,6000000.0,14778.0,3.0,3.0,406.0,banban cebu,,house,dotproperty,2026-06-14T17:18:35
82b700735ec9-77c0-a095-98eb-6200a8ed,https://www.dotproperty.com.ph/ads/3-bedroom-house-for-sale-in-babag-cebu_82b700735ec9-77c0-a095-98eb-6200a8ed,3 bedroom house for sale in babag cebu,house,8506960.0,80254.0,3.0,2.0,106.0,"Sitio Judas Belt, Babag 2, Lapulapu CityLandmarks/AccessibilitiesWalking distance access to Commercial Outlet within Pueblo De Oro Community5 minutes drive going to church8 minutes drive going to Public & Private Schools10 minutes drive going to City College11 minutes drive going to District Hospital15 minutes drive going to Solea Resort30 minutes drive... Cebu DreamHome Investments Verified seller Call",,house,dotproperty,2026-06-14T17:18:35
c8e019889989-7de1-ec32-05af-001ec089,https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-casili-cebu_c8e019889989-7de1-ec32-05af-001ec089,4 bedroom house for sale in casili cebu,house,9800000.0,81844.0,4.0,,119.7,casili cebu,,house,dotproperty,2026-06-14T17:18:35
869c8a4a3f7b-062f-01c2-f62e-87d32089,https://www.dotproperty.com.ph/ads/1-bedroom-house-for-sale-in-esperanza-cebu_869c8a4a3f7b-062f-01c2-f62e-87d32089,1 bedroom house for sale in esperanza cebu,house,2835000.0,47250.0,1.0,1.0,60.0,esperanza cebu,,house,dotproperty,2026-06-14T17:18:35
9d9ead0a325d-c741-0c82-a383-fd75c089,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-lagtang-cebu_9d9ead0a325d-c741-0c82-a383-fd75c089,5 bedroom house for sale in lagtang cebu,house,28000000.0,80000.0,5.0,4.0,350.0,lagtang cebu,,house,dotproperty,2026-06-14T17:18:35
