fh_id,code,url,title,price_php,latitude,longitude,address,barangay,city,province,property_type_raw,type_group,bedrooms,bathrooms,floor_area_sqm,lot_area_sqm,furnishing,category,source,scraped_at
1389,CEB-27694,https://filipinohomes.com/casa-mira-linao-townhouse-for-sale,Casa Mira Linao Townhouse For Sale,2500000.0,10.2680252,123.8108302,"Casa Mira Linao, Sandayong, Minglanilla, Cebu, Philippines",Linao,Minglanilla,Cebu,House and Lot,House,2.0,1.0,45.36,42.0,Finish,house,filipinohomes,2026-06-14T17:49:33
1457,CEB-27795,https://filipinohomes.com/single-detached-corner-unit-house-lot,Single - Detached Corner Unit House & Lot ,11500000.0,10.2430693,123.8059912,"Lower Calajoan, Minglanilla, Cebu, Philippines",Calajo-an,Minglanilla,Cebu,House and Lot,House,4.0,4.0,166.0,240.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:33
1450,CEB-27788,https://filipinohomes.com/brand-new-2-storey-house-lot-ready-for-occupancy,BRAND NEW 2 Storey House & Lot READY FOR OCCUPANCY ,26000000.0,10.245251,123.824186,"Corona Del Mar, Pooc, Talisay, Cebu, Philippines",Pooc,Talisay City,Cebu,House and Lot,House,7.0,6.0,410.0,328.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:33
1442,CEB-27780,https://filipinohomes.com/ready-for-occupancy-gardenbloom-south,Ready for Occupancy - Gardenbloom South ,2300000.0,10.2554507,123.802293,"Garden Bloom South, Spring Village Road, Minglanilla, Cebu, Philippines",Pakigne,Minglanilla,Cebu,Townhouse,House,2.0,1.0,50.0,40.0,Finish,house,filipinohomes,2026-06-14T17:49:33
1451,CEB-27789,https://filipinohomes.com/sunny-hills-subdivision,Sunny Hills Subdivision,42000000.0,10.3676681,123.9138928,"Sunny Hills Subd Talamban Cebu City, Talamban Highway, Cebu City, Cebu, Philippines",Talamban,Cebu City,Cebu,House and Lot,House,5.0,3.0,1146.0,496.0,Finish,house,filipinohomes,2026-06-14T17:49:33
1479,CEB-27837,https://filipinohomes.com/townhouse-for-sale-in-banawa,Townhouse for sale in Banawa,7000000.0,10.3156399,123.8843145,"Banawa R. Duterte Street, Cebu City, Cebu, Philippines",Banawa,Cebu City,Cebu,Townhouse,House,4.0,3.0,120.0,70.0,Finish,house,filipinohomes,2026-06-14T17:49:33
1453,CEB-27791,https://filipinohomes.com/4br-single-detached-house-and-lot-in-basak-mactan,"4BR Single Detached House and Lot in Basak, Mactan",6500000.0,10.2910239,123.961041,"Basak, Lapu-Lapu City, Cebu, Philippines",Basak,Lapu-lapu City,Cebu,House and Lot,House,4.0,2.0,100.0,120.0,Finish,house,filipinohomes,2026-06-14T17:49:33
1476,CEB-27834,https://filipinohomes.com/350k-assumption-casa-mira-south-naga-townhouse-end-unit,"350K Assumption Casa Mira South Naga, Townhouse End Unit",350.0,10.1807787,123.7282815,"Casa Mira South, Cebu South Road, Naga, Cebu, Philippines",Langtad,Naga City,Cebu,Townhouse,House,2.0,2.0,46.37,71.0,Finish,house,filipinohomes,2026-06-14T17:49:33
1411,CEB-27731,https://filipinohomes.com/casamira-naga-thc-end-for-assume,CasaMira Naga ThC-end for assume ,400000.0,10.18390274537342,123.7277165427804,"Unnamed Road, City of Naga, Cebu, Philippines",Langtad,Naga City,Cebu,Townhouse,House,3.0,2.0,68.0,58.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:33
1438,CEB-27771,https://filipinohomes.com/beautiful-ready-for-occupancy-house-and-lot-duplex-for-sale-in-mandaue-city-cebu,"Beautiful Ready for Occupancy House and Lot (Duplex) for Sale in Mandaue City, Cebu",7900000.0,10.3605399,123.9340697,"P.Sanchez / Pagsabungan Road, Mandaue City, Cebu, Philippines",Pagsabungan,Mandaue City,Cebu,House and Lot,House,4.0,3.0,141.0,75.0,Finish,house,filipinohomes,2026-06-14T17:49:33
1433,CEB-27764,https://filipinohomes.com/camella-carcar-house-and-lot-for-sale,CAMELLA CARCAR HOUSE AND LOT FOR SALE,3000000.0,10.1193491,123.677859,"Camella Carcar, Natalio B. Bacalso South National Highway, Carcar City, Cebu, Philippines",Poblacion III,Carcar,Cebu,House and Lot,House,3.0,2.0,2.0,88.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:33
1472,CEB-27826,https://filipinohomes.com/bongalow-house-for-sale-in-collinwood,Bongalow house for sale in collinwood ,6500000.0,10.2910239,123.961041,"Basak, Lapu-Lapu City, Cebu, Philippines",Basak,Lapu-lapu City,Cebu,House and Lot,House,3.0,2.0,90.0,225.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:33
1375,CEB-27670,https://filipinohomes.com/house-and-lot-4-sale,House and Lot 4 SALE!!! ,4800000.0,10.3677092,123.9335878,"Canduman Road, Mandaue City, Cebu, Philippines",Canduman,Mandaue City,Cebu,House and Lot,House,2.0,2.0,63.0,71.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:36
1343,CEB-27626,https://filipinohomes.com/house-andot-for-sale-in-vista-grande,House andot for sale in vista grande,10500000.0,10.2722832,123.8536876,"Bulacao, Cebu, Philippines",Bulacao,Talisay City,Cebu,House and Lot,House,6.0,6.0,430.0,170.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:36
1276,CEB-27532,https://filipinohomes.com/house-and-lot-for-sale-27532,House and lot FOR SALE!!,9500000.0,10.2524493,123.8392335,"Talisay, Cebu, Philippines",Linao,Talisay City,Cebu,House and Lot,House,3.0,3.0,400.0,255.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:36
1296,CEB-27560,https://filipinohomes.com/for-assume-house-in-sunberry-homes-sudtungan,For Assume house in Sunberry homes Sudtungan,1990000.0,10.2774769,123.9568037,"Sudtungan, Lapu-Lapu City, Cebu, Philippines",Basak,Lapu-lapu City,Cebu,Townhouse,House,2.0,1.0,52.0,40.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:36
1346,CEB-27631,https://filipinohomes.com/mazari-cove,"Mazari Cove,",5000000.0,10.235961,123.7727229,"Inayagan, City of Naga, Cebu, Philippines",Inayagan,Naga City,Cebu,House and Lot,House,4.0,2.0,129.0,108.0,Finish,house,filipinohomes,2026-06-14T17:49:36
1332,CEB-27613,https://filipinohomes.com/3bedroom-corner-house-for-sale-deca-homes-mandaue-cebu,3Bedroom Corner House For Sale Deca Homes Mandaue Cebu,3600000.0,10.3613109,123.95413,"Deca Homes Mandaue Prime, Julio B.Alinsug, Jagobiao, Mandaue City, Cebu, Philippines",Jagobiao,Mandaue City,Cebu,Townhouse,House,3.0,2.0,60.0,125.0,Finish,house,filipinohomes,2026-06-14T17:49:36
1350,CEB-27635,https://filipinohomes.com/for-assume-sunberry-townhouse-in-soong-mactan,"FOR ASSUME: SUNBERRY TOWNHOUSE IN SOONG, MACTAN",750000.0,10.3001228,124.0017601,"Sunberry Homes, Casia-Soong Road, Maribago, Lapu-Lapu City, Cebu, Philippines",Maribago,Lapu-lapu City,Cebu,Townhouse,House,0.0,0.0,0.0,50.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:36
1316,CEB-27582,https://filipinohomes.com/corona-del-mar-single-detached-house-for-sale,Corona Del Mar Single Detached house for sale,8000000.0,10.245251,123.824186,"Corona Del Mar, Pooc, Talisay, Cebu, Philippines",Pooc,Talisay City,Cebu,House and Lot,House,3.0,2.0,165.0,127.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:36
1320,CEB-27594,https://filipinohomes.com/one-storey-old-house-for-sale,ONE STOREY OLD HOUSE FOR SALE ,4800.0,10.2570454,123.8397332,"San Isidro, Talisay City, Cebu, San Isidro, Talisay, Cebu, Philippines",San Isidro,Talisay City,Cebu,House and Lot,House,2.0,2.0,100.0,243.0,Finish,house,filipinohomes,2026-06-14T17:49:39
1349,CEB-27634,https://filipinohomes.com/fully-furnished-single-attached-house-at-alberlyn-box-hill,Fully-furnished Single-Attached House at Alberlyn Box Hill,6500000.0,10.2514505,123.8257767,"Mohon, Talisay, Cebu, Philippines",Mohon,Talisay City,Cebu,House and Lot,House,3.0,2.0,68.0,75.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:39
1295,CEB-27559,https://filipinohomes.com/luxurious-3storeyhouse-and-lot-sd-in-corona-delmar,LUXURIOUS 3StoreyHOUSE AND LOT SD in CORONA DELMAR,28.0,10.2383273,123.8241794,"Pooc, Talisay, Cebu, Philippines",Pooc,Talisay City,Cebu,House and Lot,House,5.0,6.0,410.0,328.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:39
1303,CEB-27568,https://filipinohomes.com/for-assume-4br-single-detached-in-minglanilla-highlands,FOR ASSUME 4BR SINGLE DETACHED IN MINGLANILLA HIGHLANDS,2000000.0,10.2719979,123.8048381,"Tubod, Cebu, Philippines",Tubod,Minglanilla,Cebu,House and Lot,House,4.0,3.0,209.0,143.0,Finish,house,filipinohomes,2026-06-14T17:49:39
1322,CEB-27596,https://filipinohomes.com/bayswater-talisay-for-assume,BAYSWATER TALISAY FOR ASSUME,1750000.0,10.2383273,123.8241794,"Pooc, Talisay, Cebu, Philippines",Pooc,Talisay City,Cebu,House and Lot,House,3.0,2.0,65.0,169.0,Finish,house,filipinohomes,2026-06-14T17:49:39
1348,CEB-27633,https://filipinohomes.com/semi-furnished-elegant-house-and-lot-in-tisa,Semi-Furnished Elegant House and Lot in Tisa ,19000000.0,10.301553,123.870527,"Tisa, Cebu City, Cebu, Philippines",Tisa,Cebu City,Cebu,House and Lot,House,5.0,7.0,280.0,258.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:39
1279,CEB-27535,https://filipinohomes.com/townhouse-27535,Townhouse,6800000.0,10.3978208,123.8634544,"Cebu City, Cebu, Philippines",Lahug,Cebu City,Cebu,Townhouse,House,3.0,3.0,120.0,61.0,Finish,house,filipinohomes,2026-06-14T17:49:39
1188,CEB-27417,https://filipinohomes.com/house-and-lot-27417,House and lot,50000000.0,10.3825943,124.0112255,"Catarman, Liloan, Cebu, Philippines",Catarman,Liloan,Cebu,House and Lot,House,4.0,4.0,689.0,437.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:39
1214,CEB-27451,https://filipinohomes.com/beautiful-seaside-amara-house-and-lot,Beautiful Seaside Amara House and Lot,36000000.0,10.3830499,124.0125078,"Amara, Liloan, Cebu, Philippines",Catarman,Liloan,Cebu,House and Lot,House,6.0,7.0,500.0,433.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:39
1184,CEB-27411,https://filipinohomes.com/amara-house-and-lot,Amara house and lot,60000000.0,10.3825943,124.0112255,"Catarman, Liloan, Cebu, Philippines",Catarman,Liloan,Cebu,House and Lot,House,8.0,11.0,656.5,419.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:39
1217,CEB-27459,https://filipinohomes.com/panoramic-ocean-view-in-amara,Panoramic Ocean View in Amara ,30000000.0,10.3830499,124.0125078,"Amara, Liloan, Cebu, Philippines",Catarman,Liloan,Cebu,Retirement House,House,0.0,2.0,365.0,467.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:39
1236,CEB-27487,https://filipinohomes.com/house-and-lot-for-sale-guada,House and lot FOR SALE-Guada!!,9500000.0,10.3156173,123.8854377,"Guadalupe, Cebu City, Cebu, Philippines",Guadalupe,Cebu City,Cebu,House and Lot,House,3.0,2.0,136.0,70.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:41
1169,CEB-27393,https://filipinohomes.com/titled-house-lot,Titled house & lot,19000000.0,10.3156173,123.8854377,"Guadalupe, Cebu City, Cebu, Philippines",Guadalupe,Cebu City,Cebu,House and Lot,House,3.0,4.0,0.0,289.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:41
1254,CEB-27509,https://filipinohomes.com/rush-sale-house-and-lot-in-talamban-cebu-city-27509,Rush Sale!!! House and Lot in Talamban Cebu City,6500000.0,10.3699509,123.9219561,"Borbajo Street, Cebu City, Cebu, Philippines",Talamban,Cebu City,Cebu,House and Lot,House,2.0,2.0,450.0,162.0,Finish,house,filipinohomes,2026-06-14T17:49:41
1229,CEB-27478,https://filipinohomes.com/house-and-lot-27478,HOUSE AND LOT,11800000.0,10.4367842,123.9415518,"Consolacion, Cebu, Philippines",Lamac,Consolacion,Cebu,House and Lot,House,4.0,3.0,183.4,154.0,Finish,house,filipinohomes,2026-06-14T17:49:41
1252,CEB-27507,https://filipinohomes.com/rush-sale-house-and-lot-in-talamban-cebu-city,Rush Sale!!! House and Lot in Talamban Cebu City,14000000.0,10.3699509,123.9219561,"Borbajo Street, Cebu City, Cebu, Philippines",Talamban,Cebu City,Cebu,House and Lot,House,3.0,3.0,150.0,500.0,Finish,house,filipinohomes,2026-06-14T17:49:41
1223,CEB-27469,https://filipinohomes.com/brand-new-house-at-molave-highlands,Brand New House at Molave Highlands!!,11800000.0,10.3902264,123.9682904,"Molave Highlands, Consolacion, Cebu, Philippines",Polog,Consolacion,Cebu,House and Lot,House,4.0,3.0,183.0,154.0,Unfurnished,house,filipinohomes,2026-06-14T17:49:41
