listing_id,url,title,property_type_raw,furnishing,price_php,bedrooms,bathrooms,floor_area_sqm,lot_area_sqm,location_text,category,source,scraped_at
CEB-27582,https://filipinohomes.com/corona-del-mar-single-detached-house-for-sale,Corona Del Mar Single Detached house for sale,House and Lot,Unfurnished,8000000.0,3.0,2.0,165.0,127.0,"Corona Del Mar, Pooc, Talisay, Cebu, Philippines",house,filipinohomes,2026-06-14T16:35:40
CEB-27596,https://filipinohomes.com/bayswater-talisay-for-assume,BAYSWATER TALISAY FOR ASSUME,House and Lot,Finish,1750000.0,3.0,2.0,65.0,169.0,"Pooc, Talisay, Cebu, Philippines",house,filipinohomes,2026-06-14T16:35:40
CEB-27568,https://filipinohomes.com/for-assume-4br-single-detached-in-minglanilla-highlands,FOR ASSUME 4BR SINGLE DETACHED IN MINGLANILLA HIGHLANDS,House and Lot,Finish,2000000.0,4.0,3.0,209.0,143.0,"Tubod, Cebu, Philippines",house,filipinohomes,2026-06-14T16:35:40
CEB-27634,https://filipinohomes.com/fully-furnished-single-attached-house-at-alberlyn-box-hill,Fully-furnished Single-Attached House at Alberlyn Box Hill,House and Lot,Unfurnished,6500000.0,3.0,2.0,68.0,75.0,"Mohon, Talisay, Cebu, Philippines",house,filipinohomes,2026-06-14T16:35:40
CEB-27559,https://filipinohomes.com/luxurious-3storeyhouse-and-lot-sd-in-corona-delmar,LUXURIOUS 3StoreyHOUSE AND LOT SD in CORONA DELMAR,House and Lot,Unfurnished,28.0,5.0,6.0,410.0,328.0,"Pooc, Talisay, Cebu, Philippines",house,filipinohomes,2026-06-14T16:35:40
CEB-27594,https://filipinohomes.com/one-storey-old-house-for-sale,ONE STOREY OLD HOUSE FOR SALE ,House and Lot,Finish,4800.0,2.0,2.0,100.0,243.0,"San Isidro, Talisay City, Cebu, San Isidro, Talisay, Cebu, Philippines",house,filipinohomes,2026-06-14T16:35:40
CEB-27562,https://filipinohomes.com/2-storey-townhouse-for-sale,2 Storey Townhouse For Sale,House and Lot,Unfurnished,6500000.0,3.0,2.0,64.0,122.0,"San Isidro, Talisay City, Cebu, San Isidro, Talisay, Cebu, Philippines",house,filipinohomes,2026-06-14T16:35:40
CEB-27633,https://filipinohomes.com/semi-furnished-elegant-house-and-lot-in-tisa,Semi-Furnished Elegant House and Lot in Tisa ,House and Lot,Unfurnished,19000000.0,5.0,7.0,280.0,258.0,"Tisa, Cebu City, Cebu, Philippines",house,filipinohomes,2026-06-14T16:35:40
CEB-27535,https://filipinohomes.com/townhouse-27535,Townhouse,Townhouse,Finish,6800000.0,3.0,3.0,120.0,61.0,"Cebu City, Cebu, Philippines",house,filipinohomes,2026-06-14T16:35:40
CEB-27626,https://filipinohomes.com/house-andot-for-sale-in-vista-grande,House andot for sale in vista grande,House and Lot,Unfurnished,10500000.0,6.0,6.0,430.0,170.0,"Bulacao, Cebu, Philippines",house,filipinohomes,2026-06-14T16:35:40
CEB-27631,https://filipinohomes.com/mazari-cove,"Mazari Cove,",House and Lot,Finish,5000000.0,4.0,2.0,129.0,108.0,"Inayagan, City of Naga, Cebu, Philippines",house,filipinohomes,2026-06-14T16:35:40
CEB-27560,https://filipinohomes.com/for-assume-house-in-sunberry-homes-sudtungan,For Assume house in Sunberry homes Sudtungan,Townhouse,Unfurnished,1990000.0,2.0,1.0,52.0,40.0,"Sudtungan, Lapu-Lapu City, Cebu, Philippines",house,filipinohomes,2026-06-14T16:35:40
CEB-27640,https://filipinohomes.com/fully-furnished-5340sqm,Fully furnished 53.40sqm,2 Bedrooms,Unfurnished,7000000.0,2.0,1.0,53.0,,"Amalfi at City De Mare by Filinvest, SRP Road, Talisay, Cebu, Philippines",condo,filipinohomes,2026-06-14T16:35:43
CEB-27604,https://filipinohomes.com/condo-for-sale-at-azalea-place,Condo FOR SALE at Azalea Place!!,1 Bedroom,Unfurnished,3700000.0,1.0,1.0,30.0,,"Gorordo Avenue, Cebu City, Cebu, Philippines",condo,filipinohomes,2026-06-14T16:35:43
CEB-27612,https://filipinohomes.com/baseline-prestige,Baseline Prestige ,1 Bedroom,Finish,300000.0,1.0,1.0,38.0,,"Juana Osmena Street, Cebu City, Cebu, Philippines",condo,filipinohomes,2026-06-14T16:35:43
CEB-27645,https://filipinohomes.com/condo-for-sale,Condo for Sale,1 Bedroom,Unfurnished,6500000.0,1.0,1.0,45.0,,"Marco Polo Residences, Cebu City, Central Visayas, Philippines",condo,filipinohomes,2026-06-14T16:35:43
CEB-27545,https://filipinohomes.com/for-assume-studio-unit-at-38-park-avenue-save-200k,"For Assume: Studio Unit at 38 Park Avenue, Save 200K+",Studio,Finish,380000.0,,1.0,24.0,,"38 Park Avenue, Apas, Cebu City, Cebu, Philippines",condo,filipinohomes,2026-06-14T16:35:43
CEB-27440,https://filipinohomes.com/condominium-studio-unit-27440,Condominium Studio Unit,Studio,Finish,550000.0,,1.0,25.0,,"Mivesa Garden Residences, Salinas Drive Extension, Cebu City, Philippines",condo,filipinohomes,2026-06-14T16:35:43
CEB-27494,https://filipinohomes.com/fully-furnished-1-br-in-persimmon-condominium,Fully Furnished 1 BR in Persimmon Condominium,1 Bedroom,Unfurnished,3800000.0,1.0,1.0,34.0,,"Persimmon Condo, M. Borces Street, Cebu City, Central Visayas, Philippines",condo,filipinohomes,2026-06-14T16:35:43
CEB-27387,https://filipinohomes.com/park-point-for-sale,Park Point for sale ,1 Bedroom,Unfurnished,13000000.0,1.0,1.0,60.0,,"Park Point Residences, Luzon Avenue, Cebu City, Central Visayas, Philippines",condo,filipinohomes,2026-06-14T16:35:43
CEB-27391,https://filipinohomes.com/for-sale-studio-unit-in-horizon-101,FOR SALE STUDIO UNIT IN HORIZON 101,Studio,Unfurnished,4000000.0,,1.0,20.0,,"Mango Avenue Cebu City, Cogon Ramos, Cebu City, Cebu",condo,filipinohomes,2026-06-14T16:35:43
CEB-27409,https://filipinohomes.com/condominium-for-sale-27409,Condominium For Sale,1 Bedroom,Finish,3650000.0,,1.0,32.0,,"Sundance Residences Cebu, Guadalupe, R. Duterte Street, Cebu City, Central Visayas, Philippines",condo,filipinohomes,2026-06-14T16:35:43
CEB-27471,https://filipinohomes.com/furnished-1bedroom-unit-in-it-park,Furnished 1bedroom Unit in IT Park,1 Bedroom,Unfurnished,6500000.0,1.0,1.0,35.0,,"Asiatown IT Park, Lahug, Cebu City, Cebu",condo,filipinohomes,2026-06-14T16:35:43
CEB-27518,https://filipinohomes.com/2br-unit-at-san-remo-oasis-srp-for-sale,2br unit at San Remo Oasis SRP for Sale,2 Bedrooms,Unfurnished,5800000.0,2.0,1.0,30.0,,"San Remo Oasis at City di Mare, Cebu South Coastal Road, Cebu City, Cebu, Philippines",condo,filipinohomes,2026-06-14T16:35:43
CEB-27413,https://filipinohomes.com/for-sale-lot-only-in-cansojong-talisay,For sale Lot Only in Cansojong Talisay,Residential Lot,Unfurnished,16000.0,,,,1500.0,"Cansojong, Talisay, Cebu, Philippines",lot,filipinohomes,2026-06-14T16:35:46
CEB-27496,https://filipinohomes.com/kishanta-lot-for-sale-high-end-subdivision,Kishanta Lot for Sale High end Subdivision,Residential Lot,Unfurnished,5000000.0,,,,299.0,"Kishanta Subdivision, Talisay, Cebu, Philippines",lot,filipinohomes,2026-06-14T16:35:46
CEB-27400,https://filipinohomes.com/farm-lot-for-sale-in-balamban,Farm lot for sale in Balamban,Agricultural Lot,Unfurnished,250.0,,,,7390.0,"Cantibas, Balamban, Cebu, Philippines",lot,filipinohomes,2026-06-14T16:35:46
