feature,mean,median,std,min,max,pct_null
area_sqm,428.0796819787986,271.0,417.1945143251953,80.0,2000.0,0.0
dist_cebu_business_park_m,9617.351590106007,9892.8,4358.215338170929,189.7,22678.7,0.0
dist_mandaue_cbd_m,9825.976325088339,9104.1,5229.285078126699,460.7,26614.7,0.0
dist_to_trunk_road_m,4614.612485276796,4129.0,3112.965036773481,0.0,19070.0,0.0
dist_to_primary_road_m,2121.04593639576,1656.0,1791.849385625008,0.0,10873.0,0.0
mcrai_education,13.736200942285043,9.603,12.962997077907515,0.0,90.1353,0.0
mcrai_grocery,19.667660070671374,10.1515,25.785208634767915,0.0,148.7288,0.0
mcrai_health,18.615886219081272,8.855,24.047826466644448,0.0,147.4242,0.0
mcrai_hospitals,1.5880429917550059,0.6395,2.5883650184757303,0.0,22.5834,0.0
mcrai_recreation,13.961981036513546,4.8312,22.267385002338372,0.0,176.6335,0.0
mcrai_security,1.9939244994110716,0.6339,3.1228367405834314,0.0,16.2547,0.0
mcrai_tourism,16.249588928150764,7.8243,24.271695431272175,0.0,182.2521,0.0
mcrai_retail_density,34.72828221436985,13.8778,52.13900994604383,0.0,307.1385,0.0
bir_zonal_rr_log,9.207427438976643,9.210440366976515,0.7487138772414779,7.156371626269378,11.050905878263569,0.0
bir_zonal_cr_median,26998.456811797754,17500.0,26267.859832024107,3325.0,206750.0,16.13663133097762
is_mactan_island,0.1625441696113074,0.0,0.36916674498891017,0.0,1.0,0.0
spatial_lag_price,29703320.545,12283982.0,46271179.70786272,700000.0,408213000.0,5.771495877502945
