feature,spearman_rho,p_value,abs_rho
spatial_lag_price,0.43219780394241664,1.7009358712266635e-58,0.43219780394241664
area_sqm,0.22515772919419172,2.1024843099066824e-16,0.22515772919419172
mcrai_recreation,0.2227935543249932,4.3797337854019784e-16,0.2227935543249932
bedrooms,0.18803697978053488,2.819227021032524e-10,0.18803697978053488
mcrai_retail_density,0.13957187103620272,4.3665368317703603e-07,0.13957187103620272
bathrooms,0.13563352452833463,3.6574026059433393e-06,0.13563352452833463
dist_cebu_business_park_m,-0.13018566037999627,2.483855273628307e-06,0.13018566037999627
mcrai_grocery,0.12080993680400699,1.2557326476262042e-05,0.12080993680400699
bir_zonal_cr_median,0.11362335001263033,4.3089487849495095e-05,0.11362335001263033
mcrai_education,0.10780338689974055,9.839265743005511e-05,0.10780338689974055
bir_zonal_rr_log,0.10645333968480476,0.000120322099104739,0.10645333968480476
mcrai_tourism,0.08280162848245798,0.002810716103587432,0.08280162848245798
mcrai_health,0.06282541497801696,0.02349663741851626,0.06282541497801696
mcrai_security,0.055274455169606926,0.04631018808798835,0.055274455169606926
dist_talisay_tabunok_m,-0.05240610587350978,0.058890558795775066,0.05240610587350978
bedrooms_imputed,-0.04674293472127576,0.09205803328821457,0.04674293472127576
mcrai_hospitals,0.030621167510584704,0.2699149082018842,0.030621167510584704
dist_to_primary_road_m,0.02766923278833505,0.31883269138147696,0.02766923278833505
dist_to_trunk_road_m,-0.02710574323776936,0.328791608644201,0.02710574323776936
bathrooms_imputed,0.025107310247410107,0.3657151209903024,0.025107310247410107
is_mactan_island,-0.007961026680816706,0.7742904857834284,0.007961026680816706
