feature,spearman_rho,p_value,abs_rho
dist_cebu_business_park_m,-0.35172825758956694,6.2443138164373915e-37,0.35172825758956694
spatial_lag_price,0.3332929991477377,3.261718647163182e-32,0.3332929991477377
bir_zonal_rr_log,0.29805385279500296,1.6379326359361275e-26,0.29805385279500296
dist_mandaue_cbd_m,-0.28159301238495077,1.0011887969473636e-23,0.28159301238495077
bathrooms,0.2542415835635889,1.1315816847500942e-18,0.2542415835635889
bir_zonal_cr_median,0.23948969332458392,3.0621301320621726e-15,0.23948969332458392
mcrai_hospitals,0.20196237595808775,1.0089810031714001e-12,0.20196237595808775
mcrai_grocery,0.1923337159859497,1.1792867744694505e-11,0.1923337159859497
is_mactan_island,-0.17940026880711835,2.636070847631361e-10,0.17940026880711835
mcrai_education,0.1697581965255323,2.3147159185397335e-09,0.1697581965255323
mcrai_security,0.15329634186772842,7.149186180700695e-08,0.15329634186772842
mcrai_tourism,0.15312916695948972,7.389423501722844e-08,0.15312916695948972
bedrooms,0.14709491621020826,3.34152467456326e-07,0.14709491621020826
mcrai_health,0.12716966837852584,8.16244022082468e-06,0.12716966837852584
mcrai_retail_density,0.11467687196931683,5.830224782007378e-05,0.11467687196931683
area_sqm,0.0908670832604221,0.0014672509705299615,0.0908670832604221
bedrooms_imputed,-0.07017063344857973,0.014108728455783785,0.07017063344857973
dist_to_primary_road_m,0.06373894448054714,0.025811997758622182,0.06373894448054714
mcrai_recreation,0.061797193892085156,0.0306960240371557,0.061797193892085156
dist_to_trunk_road_m,-0.02379410267744335,0.4057588236694943,0.02379410267744335
bathrooms_imputed,0.02336338429893299,0.4143133681762046,0.02336338429893299
