feature,spearman_rho,p_value,abs_rho
dist_cebu_business_park_m,-0.48124924278309333,1.9946420544386955e-50,0.48124924278309333
bir_zonal_rr_log,0.4462070716129055,8.944060722102527e-43,0.4462070716129055
bir_zonal_cr_median,0.4288886644002798,3.172881914229776e-33,0.4288886644002798
dist_mandaue_cbd_m,-0.4008712530360451,4.089478115517414e-34,0.4008712530360451
spatial_lag_price,0.35672710952267345,2.0371961154675776e-25,0.35672710952267345
mcrai_grocery,0.27981051180798283,9.774227239703859e-17,0.27981051180798283
mcrai_hospitals,0.23021954219994584,1.1247057141684073e-11,0.23021954219994584
mcrai_education,0.2160933051242262,1.9851426005980932e-10,0.2160933051242262
is_mactan_island,-0.21448874049915173,2.717249154317468e-10,0.21448874049915173
mcrai_security,0.16220371820079751,2.026544837551281e-06,0.16220371820079751
mcrai_health,0.14583166525091895,1.9923237607188515e-05,0.14583166525091895
mcrai_tourism,0.11297981122928825,0.0009748901278569615,0.11297981122928825
mcrai_recreation,0.0838410870473731,0.014540218662955118,0.0838410870473731
mcrai_retail_density,0.07007492456183448,0.041219327203630605,0.07007492456183448
dist_to_trunk_road_m,-0.05056587222053205,0.14098321762385096,0.05056587222053205
dist_to_primary_road_m,0.04124553651119285,0.22993108678670512,0.04124553651119285
area_sqm,0.03468234410393826,0.3127947168190381,0.03468234410393826
