feature,vif
dist_cebu_business_park_m,10.30090193880131
dist_mandaue_cbd_m,6.946038507323489
bathrooms,5.670736239591713
bedrooms,5.420338183792339
bir_zonal_rr_log,5.3019940893851505
mcrai_health,4.898092884565337
mcrai_grocery,4.288821465210708
mcrai_retail_density,4.057805863899483
mcrai_tourism,3.9070045105593034
mcrai_education,3.7912133750808845
mcrai_hospitals,2.6973458648092477
bir_zonal_cr_median,2.6427020567690436
mcrai_recreation,2.3320050514371418
mcrai_security,2.105102038152956
dist_to_trunk_road_m,1.7909637903384625
spatial_lag_price,1.6363697803161397
dist_to_primary_road_m,1.6085019018475406
area_sqm,1.3376193289315088
