stratum,property_id,city,price_per_sqm,cooks_d
Houses,2622,Minglanilla,33862.43386243386,0.08718312115687511
Houses,3161,Cebu City,137500.0,0.04801589144340474
Houses,3118,Cebu City,20657.276995305165,0.042588864289900136
Houses,3873,Cebu City,70000.0,0.036375555880123145
Houses,471,Cebu City,137931.0344827586,0.02086193441283531
Houses,695,Mandaue City,53844.0,0.02070080117594552
Houses,3401,Lapu-Lapu City,17857.14285714286,0.02020877306703057
Houses,3436,Cebu City,42857.142857142855,0.01936517924745492
Houses,816,Mandaue City,357142.85714285716,0.018995659115533213
Houses,742,Cebu City,94736.84210526316,0.01875885986018536
Houses,460,Lapu-Lapu City,91556.45981688709,0.01827502556638137
Houses,3776,Mandaue City,30526.315789473683,0.016900775173874505
Houses,410,Mandaue City,104240.0,0.016491590189321607
Houses,3872,Cebu City,52500.0,0.016186828907462435
Houses,2995,Cebu City,62887.5,0.015984899060828422
Houses,1570,Lapu-Lapu City,10000.0,0.014854094786423163
Houses,607,Cebu City,340000.0,0.014689674617450183
Houses,2497,Talisay City,22535.211267605635,0.013793243581729323
Houses,747,Mandaue City,301724.1379310345,0.013125408089753484
Houses,4032,Consolacion,215384.61538461535,0.013049742233178752
Houses,782,Mandaue City,292307.6923076923,0.012556999688591513
Houses,3108,Cebu City,13018.008244738554,0.010455398991022644
Houses,178,Lapu-Lapu City,328566.5960591133,0.01045167904784625
Houses,1599,Cebu City,116666.66666666669,0.009930649762624784
Houses,1241,Talisay City,125000.0,0.009846978498844682
