latitude,longitude,cluster_size,cities
10.28411,123.975522,32,Lapu-Lapu City
10.31735,123.905998,14,Cebu City
10.330055,124.040131,14,Lapu-Lapu City
10.289866,124.005758,13,Lapu-Lapu City
10.323132,124.034902,10,Lapu-Lapu City
10.323479,124.036799,9,Lapu-Lapu City
10.342605,123.896352,9,Cebu City
10.289986,124.006871,8,Lapu-Lapu City
10.298762,124.015732,8,Lapu-Lapu City
10.32341,124.037361,8,Lapu-Lapu City
10.329621,123.909705,8,Cebu City
10.332804,123.90907,8,Cebu City
10.33296,123.894885,8,Cebu City
10.315574,123.905337,7,Cebu City
10.269927,123.872523,6,Cebu City
10.289974,124.005126,6,Lapu-Lapu City
10.315699,123.885437,6,Cebu City
10.318513,124.029647,6,Lapu-Lapu City
10.32085,123.938322,6,Mandaue City
10.320866,123.904193,6,Cebu City
10.32372,124.0372,6,Lapu-Lapu City
10.33383,123.894143,6,Cebu City
10.368856,123.927405,6,Mandaue City
10.275714,123.977789,5,Lapu-Lapu City
10.290792,124.002551,5,Lapu-Lapu City
