latitude,longitude,cluster_size,cities
10.324419,123.871214,6,Cebu City
10.275431,123.832057,5,Talisay City
10.374485,123.917915,5,Cebu City
10.374615,123.954062,5,Consolacion
10.344242,123.909908,4,Cebu City
10.350629,123.913539,4,Cebu City
10.36171,123.911374,4,Cebu City
10.367068,123.917392,4,Cebu City
10.375401,123.928563,4,Mandaue City
10.383597,123.922034,4,"Cebu City, Mandaue City"
10.389355,123.964213,4,Consolacion
10.238312,123.816731,3,Minglanilla
10.238327,123.824179,3,Talisay City
10.245251,123.824186,3,Talisay City
10.256601,123.822985,3,Talisay City
10.258594,123.824128,3,Talisay City
10.270048,123.831522,3,Talisay City
10.270056,123.831519,3,Talisay City
10.270087,123.83136,3,Talisay City
10.272082,123.819434,3,Talisay City
10.272283,123.853688,3,Cebu City
10.27417,123.965981,3,Lapu-Lapu City
10.274747,123.83878,3,Talisay City
10.281763,123.849666,3,Cebu City
10.288252,123.998358,3,Lapu-Lapu City
