latitude,longitude,cluster_size,cities
10.28411,123.975522,71,Lapu-Lapu City
10.315699,123.885437,17,Cebu City
10.31735,123.905998,15,Cebu City
10.330055,124.040131,15,Lapu-Lapu City
10.289866,124.005758,14,Lapu-Lapu City
10.367068,123.917392,14,Cebu City
10.323132,124.034902,11,Lapu-Lapu City
10.238312,123.816731,10,Minglanilla
10.323479,124.036799,10,Lapu-Lapu City
10.369329,123.916902,10,Cebu City
10.315617,123.885438,9,Cebu City
10.33296,123.894885,9,Cebu City
10.342605,123.896352,9,Cebu City
10.242568,123.820027,8,Talisay City
10.258594,123.824128,8,Talisay City
10.264492,123.817402,8,Talisay City
10.284689,123.983362,8,Lapu-Lapu City
10.289986,124.006871,8,Lapu-Lapu City
10.298762,124.015732,8,Lapu-Lapu City
10.315574,123.905337,8,Cebu City
10.32341,124.037361,8,Lapu-Lapu City
10.329621,123.909705,8,Cebu City
10.332804,123.90907,8,Cebu City
10.350629,123.913539,8,Cebu City
10.351806,123.9053,8,Cebu City
