stratum,n_estimators,max_features,min_samples_leaf,max_depth,MdAPE,PE20
Condominium,200,0.7,1,,20.64987678201542,48.90829694323144
Condominium,200,0.7,1,20.0,20.994395302787105,48.617176128093156
Condominium,200,0.7,2,,20.427639913128527,49.49053857350801
Condominium,200,0.7,2,20.0,20.36348835014914,49.63609898107715
Condominium,200,1.0,1,,20.694008878048066,49.053857350800584
Condominium,200,1.0,1,20.0,20.843896700477348,48.90829694323144
Condominium,200,1.0,2,,20.18734310963053,49.63609898107715
Condominium,200,1.0,2,20.0,20.28621977659969,49.78165938864629
Condominium,400,0.7,1,,20.316513257491863,49.49053857350801
Condominium,400,0.7,1,20.0,20.167815535507792,49.63609898107715
Condominium,400,0.7,2,,20.406343822729113,49.927219796215425
Condominium,400,0.7,2,20.0,20.422000803145735,49.927219796215425
Condominium,400,1.0,1,,20.355148327509397,49.78165938864629
Condominium,400,1.0,1,20.0,20.1263650619957,49.78165938864629
Condominium,400,1.0,2,,20.584876067851653,49.19941775836973
Condominium,400,1.0,2,20.0,20.544133361742777,49.19941775836973
Houses,200,0.7,1,,22.873468634635042,43.17507418397626
Houses,200,0.7,1,20.0,22.779286515632247,43.768545994065285
Houses,200,0.7,2,,23.165313163058343,44.510385756676556
Houses,200,0.7,2,20.0,23.159016100680063,44.65875370919881
Houses,200,1.0,1,,22.50585691611548,44.362017804154306
Houses,200,1.0,1,20.0,22.68015904409649,43.916913946587535
Houses,200,1.0,2,,22.32719334015918,45.40059347181009
Houses,200,1.0,2,20.0,22.72467079216767,45.54896142433235
Houses,400,0.7,1,,22.922402969667623,43.916913946587535
Houses,400,0.7,1,20.0,22.70952639097278,44.510385756676556
Houses,400,0.7,2,,22.890249313836584,44.510385756676556
Houses,400,0.7,2,20.0,22.83481522595944,44.21364985163205
Houses,400,1.0,1,,22.904145298115154,43.62017804154303
Houses,400,1.0,1,20.0,22.905465986563268,43.916913946587535
Houses,400,1.0,2,,22.477092930123227,45.103857566765576
Houses,400,1.0,2,20.0,22.384538766783464,45.25222551928783
Vacant Lot,200,0.7,1,,26.30528712989213,40.3921568627451
Vacant Lot,200,0.7,1,20.0,26.397667962977266,40.3921568627451
Vacant Lot,200,0.7,2,,26.033638249693357,39.6078431372549
Vacant Lot,200,0.7,2,20.0,26.033638249693357,39.6078431372549
Vacant Lot,200,1.0,1,,25.718478359626218,41.568627450980394
Vacant Lot,200,1.0,1,20.0,25.6903689655286,41.568627450980394
Vacant Lot,200,1.0,2,,25.96064333639161,41.96078431372549
Vacant Lot,200,1.0,2,20.0,25.96064333639161,41.96078431372549
Vacant Lot,400,0.7,1,,26.26085036778819,40.0
Vacant Lot,400,0.7,1,20.0,26.22881813285658,40.0
Vacant Lot,400,0.7,2,,26.437746798230087,38.82352941176471
Vacant Lot,400,0.7,2,20.0,26.437746798230087,38.82352941176471
Vacant Lot,400,1.0,1,,25.552099005846596,41.568627450980394
Vacant Lot,400,1.0,1,20.0,25.552099005846596,41.568627450980394
Vacant Lot,400,1.0,2,,27.11710941562493,41.568627450980394
Vacant Lot,400,1.0,2,20.0,27.11710941562493,41.568627450980394
