stratum,n_estimators,max_depth,learning_rate,subsample,MdAPE,PE20
Condominium,200,3,0.05,0.8,21.549676684851093,47.30713245997089
Condominium,200,3,0.05,1.0,21.866033061390887,46.288209606986904
Condominium,200,3,0.1,0.8,22.618666603462188,44.832605531295485
Condominium,200,3,0.1,1.0,21.8971479792058,47.01601164483261
Condominium,200,5,0.05,0.8,21.437529922580712,47.74381368267831
Condominium,200,5,0.05,1.0,20.58335605243822,48.90829694323144
Condominium,200,5,0.1,0.8,22.465700676104007,45.70596797671033
Condominium,200,5,0.1,1.0,21.474376247935446,46.43377001455604
Condominium,400,3,0.05,0.8,21.518273108898235,47.161572052401745
Condominium,400,3,0.05,1.0,21.453794586882214,48.47161572052402
Condominium,400,3,0.1,0.8,23.03355979429229,46.142649199417754
Condominium,400,3,0.1,1.0,22.33366929305678,44.68704512372635
Condominium,400,5,0.05,0.8,21.463308453861686,47.74381368267831
Condominium,400,5,0.05,1.0,21.30097272864202,46.57933042212518
Condominium,400,5,0.1,0.8,22.346713580058797,45.414847161572055
Condominium,400,5,0.1,1.0,22.019671935030228,45.851528384279476
Houses,200,3,0.05,0.8,22.822799999854336,44.21364985163205
Houses,200,3,0.05,1.0,23.13632182447388,44.362017804154306
Houses,200,3,0.1,0.8,22.48170866275263,44.80712166172107
Houses,200,3,0.1,1.0,22.59965833846206,45.25222551928783
Houses,200,5,0.05,0.8,22.862420797600052,45.25222551928783
Houses,200,5,0.05,1.0,22.55459771548428,45.845697329376854
Houses,200,5,0.1,0.8,22.751152481532767,45.40059347181009
Houses,200,5,0.1,1.0,23.371532560054405,44.06528189910979
Houses,400,3,0.05,0.8,23.03472370219714,43.916913946587535
Houses,400,3,0.05,1.0,21.746392570198136,46.14243323442137
Houses,400,3,0.1,0.8,22.648736677525033,45.40059347181009
Houses,400,3,0.1,1.0,22.71549249875472,45.6973293768546
Houses,400,5,0.05,0.8,22.6444787839046,44.95548961424332
Houses,400,5,0.05,1.0,21.82210508657454,45.99406528189911
Houses,400,5,0.1,0.8,22.785676818168366,44.80712166172107
Houses,400,5,0.1,1.0,22.955511632483944,43.768545994065285
Vacant Lot,200,3,0.05,0.8,25.37955450156573,39.21568627450981
Vacant Lot,200,3,0.05,1.0,27.98945130308916,37.64705882352941
Vacant Lot,200,3,0.1,0.8,27.286546208257167,40.3921568627451
Vacant Lot,200,3,0.1,1.0,26.64969977903735,39.21568627450981
Vacant Lot,200,5,0.05,0.8,26.79965432257171,41.17647058823529
Vacant Lot,200,5,0.05,1.0,27.68722250521476,40.0
Vacant Lot,200,5,0.1,0.8,26.588756308562054,40.0
Vacant Lot,200,5,0.1,1.0,27.979385250787935,38.82352941176471
Vacant Lot,400,3,0.05,0.8,25.22839754120705,40.0
Vacant Lot,400,3,0.05,1.0,27.44518169619098,40.0
Vacant Lot,400,3,0.1,0.8,28.3397617197236,39.21568627450981
Vacant Lot,400,3,0.1,1.0,25.455526889309922,39.6078431372549
Vacant Lot,400,5,0.05,0.8,27.82069584144078,41.17647058823529
Vacant Lot,400,5,0.05,1.0,27.645184573408223,38.82352941176471
Vacant Lot,400,5,0.1,0.8,26.75966189377139,38.82352941176471
Vacant Lot,400,5,0.1,1.0,28.237880022221972,39.21568627450981
