stratum,variant,beta,radius_scale,MdAPE,PE20,MdAPE_delta_vs_baseline
condo,baseline,2.0,1.0,19.30652689639871,50.92307692307693,0.0
houses,baseline,2.0,1.0,22.816489112161978,44.39901880621423,0.0
lot,baseline,2.0,1.0,39.26916374575826,25.91283863368669,0.0
condo,beta_1.5,1.5,1.0,19.69009493330855,50.61538461538462,0.3835680369098391
houses,beta_1.5,1.5,1.0,22.901125814910614,44.72608340147179,0.08463670274863588
lot,beta_1.5,1.5,1.0,37.92131946512031,26.61955241460542,-1.3478442806379505
condo,beta_2.5,2.5,1.0,19.321584969719495,51.07692307692307,0.015058073320783905
houses,beta_2.5,2.5,1.0,23.109016500778054,44.07195421095666,0.29252738861607597
lot,beta_2.5,2.5,1.0,40.304308394245865,24.97055359246172,1.0351446484876021
condo,radii_0.75x,2.0,0.75,19.334685519110558,51.38461538461539,0.028158622711845993
houses,radii_0.75x,2.0,0.75,23.164991371995423,44.15372035977106,0.3485022598334453
lot,radii_0.75x,2.0,0.75,39.61783164236519,24.852767962308597,0.3486678966069263
condo,radii_1.25x,2.0,1.25,19.568745347001,50.76923076923077,0.2622184506022869
houses,radii_1.25x,2.0,1.25,23.466416177902794,43.82665576451349,0.6499270657408154
lot,radii_1.25x,2.0,1.25,38.98833077608633,27.0906949352179,-0.28083296967193405
