Region,Advertised Price (Php),Category,City,Floor Area (sqm),Lot Area (sqm),Project Name,Property Address,Property Description,Property Type,gmaps_formatted_address,latitude,longitude
Visayas,10466300,Retail,Cebu,204.27,0.0,Trinity Plaza Condominium,"Unit 103, Ground Floor, Trinity Plaza Condominium, Brgy. Kamputhaw, Cebu City, Cebu",,Commercial - Condominium Unit,"Gorordo Ave, Camputhaw, Cebu City, 6000 Cebu, Philippines",10.3174703,123.8987807
Visayas,9738500,Retail,Cebu,190.15,0.0,Trinity Plaza Condominium,"Unit 101, Ground Floor, Trinity Plaza Condominium, Brgy. Kamputhaw, Cebu City, Cebu",,Commercial - Condominium Unit,"Gorordo Ave, Camputhaw, Cebu City, 6000 Cebu, Philippines",10.3174703,123.8987807
Visayas,703757200,Retail,Cebu,5000.0,5000.0,Mandaue,"Lot 1-K-6-E-7, Ouana Avenue & PNB Road, Brgy. Mantuyong, Mandaue City, Cebu (Pending Consolidation)",,Commercial - with Improvements,"7 C Ouano Ave, Mandaue, 6000 Cebu, Philippines",10.3201977,123.9306996
Visayas,18453000,Retail,Cebu,0.0,12302.0,Naga Valley Industrial Park,"Lot 3957, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",,Industrial - Vacant Lot,"Cantao-an, Naga, Cebu, Philippines",10.2495945,123.7489785
Visayas,16460400,Retail,Cebu,0.0,41151.0,Naga Valley Industrial Park,"Lot 2, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",,Industrial - Vacant Lot,"Cantao-an Naga, Naga, Cebu, Philippines",10.2590215,123.7564499
Visayas,5036000,Retail,Cebu,0.0,6008.0,Naga Valley Industrial Park,"Lot 3685, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",,Industrial - Vacant Lot,"Cantao-an, Naga, Cebu, Philippines",10.2495945,123.7489785
Visayas,4127600,Retail,Cebu,0.0,10319.0,Naga Valley Industrial Park,"Lot 3946, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",,Industrial - Vacant Lot,"Cantao-an, Naga, Cebu, Philippines",10.2495945,123.7489785
Visayas,3489200,Retail,Cebu,0.0,8723.0,Naga Valley Industrial Park,"Lot 3949, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",,Industrial - Vacant Lot,"Cantao-an, Naga, Cebu, Philippines",10.2495945,123.7489785
Visayas,2024100,Retail,Cebu,0.0,6747.0,Naga Valley Industrial Park,"Lot 9098, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",,Industrial - Vacant Lot,"Cantao-an, Naga, Cebu, Philippines",10.2495945,123.7489785
Visayas,1829700,Retail,Cebu,0.0,6099.0,Naga Valley Industrial Park,"Lot 9111, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",,Industrial - Vacant Lot,"Cantao-an, Naga, Cebu, Philippines",10.2495945,123.7489785
Visayas,6884900,Retail,Cebu,62.59,0.0,Amisa Private Residences,"Unit 7H, 7/F, Tower B, Amisa Private Residences, Brgy. Punta Engaño, Lapu-Lapu City, Cebu","2BR, 3T&B",Residential - Condominium Unit,"Lapu-Lapu, Cebu, Philippines",10.3300305,124.0401611
Visayas,4479200,Retail,Cebu,40.72,0.0,Amisa Private Residences,"Unit 17C, 17/F, Tower C, Amisa Private Residences, Brgy. Punta Engaño, Lapu-Lapu City, Cebu","Studio, 1TB",Residential - Condominium Unit,"Lapu-Lapu, Cebu, Philippines",10.3300305,124.0401611
Visayas,1815300,Retail,Cebu,20.17,0.0,Myvan Cityscape Tower,"Unit 911, 9/F, Myvan Cityscape Tower, F. Cabahug St., Brgy. Subangdaku, Mandaue City, Cebu","Studio, 1TB",Residential - Condominium Unit,"8WGC+W8H, F. Cabahug St, Mandaue, 6014 Cebu, Philippines",10.3273187,123.9208597
Visayas,1806300,Retail,Cebu,20.07,0.0,Myvan Cityscape Tower,"Unit 908, 9/F, Myvan Cityscape Tower, F. Cabahug St., Brgy. Subangdaku, Mandaue City, Cebu","Studio, 1TB",Residential - Condominium Unit,"8WGC+W8H, F. Cabahug St, Mandaue, 6014 Cebu, Philippines",10.3273187,123.9208597
Visayas,2113800,Retail,Cebu,20.87,0.0,Myvan Cityscape Tower,"Unit 1604, 16/F, Myvan Cityscape Tower, F. Cabahug St., Brgy. Subangdaku, Mandaue City, Cebu","Studio, 1TB",Residential - Condominium Unit,"8WGC+W8H, F. Cabahug St, Mandaue, 6014 Cebu, Philippines",10.3273187,123.9208597
Visayas,1500000,Retail,Cebu,20.0,0.0,Ultima Residences,"Unit 30 (Door 730), 7/F, Tower 3, Ultima Residences, Brgy. Sta. Clara, Cebu City, Cebu","studio type, 1T&B",Residential - Condominium Unit,"Ultima, Osmeña Blvd, Cebu City, 6000 Cebu, Philippines",10.3086544,123.8945775
Visayas,4818750,Retail,Cebu,64.25,,Ultima Residences,"Unit 8 (Door 1408), 14/F, Tower 3, Ultima Residences, Brgy. Sta. Clara, Cebu City","loft type, 1BR, 2T&B and balcony",Residential - Condominium Unit,"Cebu City, Cebu, Philippines",10.2926115,123.9021934
Visayas,4445000,Retail,Cebu,127.0,0.0,Winland Tower Condominium,"Unit 05, 17/F, Tower C, Winland Tower Condominium, Juana Osmeña Extension, Brgy. Kamputhaw, Cebu City, Cebu","3BR, 2TB with Balcony, major repairs",Residential - Condominium Unit,"Winland Towers Condominium, Juana Osmeña Extension Rd, Cebu City, 6000 Cebu, Philippines",10.3185453,123.8931678
