title,price,location,description,link,latitude,longitude,gmaps_formatted_address
"1BR CONDOMINIUM FOR SALE IN SEA RESIDENCES, PASAY","PHP 5,415,000","Pearl Drive Cor Sunrise Drive, Pasay, 1300 Metro Manila",1BR with balcony,,14.5367898,120.985418,"Sunrise Dr, Barangay 76, Pasay City, Metro Manila, Philippines"
"1BR CONDOMINIUM FOR SALE IN JAZZ RESIDENCES, MAKATI","PHP 4,825,800","Jupiter St., cor. N. Garcia St., Bel-Air Village, Makati City","43rd Floor, 1BR with balcony",,14.562849,121.0223138,"Nicanor Garcia Street & Jupiter, Bel-Air, Makati City, Metro Manila, Philippines"
LOT FOR SALE IN BOGO CITY CEBU,"PHP 5,000,000,000","Bogo City Hall Road, Bogo, Cebu","Bogo City, Cebu",,11.0506218,123.9815725,"Bogo City Hall Rd, Cayang, Bogo City, Cebu, Philippines"
"2BR CONDOMINIUM FOR SALE IN DISCOVERY PRIMEA, MAKATI","PHP 220,000,000",Makati,"A furnished 2 bedroom condominium unit with 2 parking spaces for sale in Discovery Primea, Makati with a floor area of 382 SQM, priced at Php 220,000,000. This unit has a private lift, Master's bedroom with master walk-in closet & toilet & bath, bedroom with own toilet & bath, Ante room leading to the Master's Bedroom, 10-seater dining table, powder room, home office, family room, service entrance, and appurtenant parking.",,14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
LIIP - RRI,PHP NAN,"LIIP, Mamplasan, Binan, Laguna",LIIP lot for lease,,14.2935382,121.080574,"LIIP Ave, Biñan, Laguna, Philippines"
"BRGY. TEJEROS, MAKATI FOR SALE","PHP 718,080,000","A.P Reyes, Brgy. Tejeros, Makati",Property across Circuit Makati,,14.5729742,121.0159851,"A.P. Reyes Avenue, Tejeros, Makati, Kalakhang Maynila, Philippines"
"1BR CONDOMINIUM FOR SALE IN GARDEN TOWERS, MAKATI","PHP 25,070,000","Ayala Center, East St, Makati",1 Bedroom with Parking,,14.5496397,121.0276991,"Ayala Center, Station Rd, Makati, Kalakhang Maynila, Philippines"
"2BR CONDOMINIUM FOR SALE IN THREE CENTRAL, MAKATI","PHP 19,000,000",Makati,"A 2 bedroom condominium unit with one parking space for sale in Three Central, Makati with a floor area of 80 SQM. This unit is priced at Php 19,000,000.",,14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
"P. BURGOS BUILDING FOR SALE - POBLACION, MAKATI","PHP 243,739,906","P. Burgos Street, Brgy. Poblacion, Makati","2,751 Sqm Building for Sale - Poblacion, Makati",,14.5660365,121.0310215,"P Burgos St, Poblacion, Makati City, Metro Manila, Philippines"
"1BR CONDOMINIUM FOR SALE IN GRACE RESIDENCES, TAGUIG","PHP 3,200,000",Taguig,"A furnished 1 bedroom condominium with 1 toilet and bath for sale in Grace Residences, Taguig, with a floor area of 23.26, priced at Php 3,200,000.",,14.5306317,121.0575482,"Taguig, Metro Manila, Philippines"
