title,url,price,location,property_type,area,bedrooms,bathrooms,status,furnishing,posted_on,agent_name,specs,latitude,longitude,gmaps_formatted_address
"Warehouse For Sale in City of Santa Rosa, Calabarzon",https://lifenavi.com/ph/properties/city-of-santa-rosa/for-sale/warehouse/warehouse-for-sale-in-sta-rosa-laguna-ad-171-ln876178,"PHP 865,800,000","City of Santa Rosa, Calabarzon",,5000 m²,,,Vacant,Semi-Furnished,04 Nov 13:54,Housing I.,"['PHP 865,800,000', 'City of Santa Rosa, Calabarzon', 'Status:', 'Vacant', 'Furnishing:', 'Semi-Furnished', 'Area:', '5000 m²', 'Available from:', '31 Jul']",14.3147078,121.1123219,"City of Santa Rosa, Laguna, Philippines"
"For Sale in Makati City, Metro Manila",https://lifenavi.com/ph/properties/makati-city/for-sale/commercial/makati-hotel-with-annex-commercial-building-for-sale-ad-170-ln390631,"PHP 3,000,000,000","Makati City, Metro Manila",,10000 m²,,,Vacant,Semi-Furnished,04 Nov 13:54,Housing I.,"['PHP 3,000,000,000', 'Makati City, Metro Manila', 'Status:', 'Vacant', 'Furnishing:', 'Semi-Furnished', 'Area:', '10000 m²', 'Available from:', '2 Apr']",14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
"For Sale in Rockwell Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/commercial/rime-5-storey-rockwell-poblacion-makati-bldg-for-sale-ad-169-ln650999,"PHP 280,000,000","Rockwell Drive, Makati City, Metro Manila",,1720 m²,,,Vacant,Semi-Furnished,04 Nov 13:54,Housing I.,"['PHP 280,000,000', 'Rockwell Drive, Makati City, Metro Manila', 'Status:', 'Vacant', 'Furnishing:', 'Semi-Furnished', 'Area:', '1720 m²', 'Available from:', '25 Mar']",14.5629466,121.0357982,"Rockwell Dr, Makati City, Metro Manila, Philippines"
"Condo For Rent in cor, 7th Avenue, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/for-lease-1br-condo-unit-time-square-west-ad-168-ln688687,"PHP 45,000/ month","cor, 7th Avenue, Taguig, Metro Manila",,39 m²,1,1,Available from 4 Aug,,04 Nov 13:54,Housing I.,"['PHP 45,000/ month', '/ month', 'cor, 7th Avenue, Taguig, Metro Manila', 'Bedrooms:', '1', 'Area:', '39 m²', 'Bathrooms:', '1', 'Available from:', '4 Aug']",14.5531267,121.0502728,"7th Ave, Taguig, Metro Manila, Philippines"
"Condo For Sale in corner, Sen. Gil J. Puyat Avenue, Pasay City",https://lifenavi.com/ph/properties/pasay-city/for-sale/condo/bare-2br-unit-for-sale-at-mi-casa-hawaii-tower-pasay-city-ad-167-ln480741,"PHP 26,740,000","corner, Sen. Gil J. Puyat Avenue, Pasay City, Metro Manila, 1300",,84 m²,2,1,Available from 5 Aug,,04 Nov 13:54,Housing I.,"['PHP 26,740,000', 'corner, Sen. Gil J. Puyat Avenue, Pasay City, Metro Manila, 1300', 'Bedrooms:', '2', 'Area:', '84 m²', 'Bathrooms:', '1', 'Available from:', '5 Aug']",14.5532466,120.9931807,"Sen. Gil J. Puyat Ave, Pasay City, Metro Manila, Philippines"
"Condo For Rent in 28, Amorsolo Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-1br-unit-with-parking-for-lease-in-amorsolo-square-ad-166-ln365740,"PHP 90,000/ month","28, Amorsolo Drive, Makati City, Metro Manila, 1210",,80 m²,1,1,Available from 6 Aug,,04 Nov 13:54,Housing I.,"['PHP 90,000/ month', '/ month', '28, Amorsolo Drive, Makati City, Metro Manila, 1210', 'Bedrooms:', '1', 'Area:', '80 m²', 'Bathrooms:', '1', 'Available from:', '6 Aug']",14.5660746,121.0356403,"28 Amorsolo Dr, Makati City, 1210 Metro Manila, Philippines"
"House and Lot For Rent in Makati Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/house-and-lot/2-storey-house-for-lease-in-san-lorenzo-village-ad-165-ln676371,"PHP 350,000/ month","Makati Avenue, Makati City, Metro Manila",,466 m²,3,3,Available from 1 Nov,,04 Nov 13:54,Housing I.,"['PHP 350,000/ month', '/ month', 'Makati Avenue, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '466 m²', 'Bathrooms:', '3', 'Available from:', '1 Nov']",14.5592038,121.0266058,"Makati Ave, Makati City, Metro Manila, Philippines"
"House and Lot For Rent in Makati Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/house-and-lot/single-detached-house-for-lease-in-san-lorenzo-village-ad-164-ln245930,"PHP 280,000/ month","Makati Avenue, Makati City, Metro Manila",,532 m²,3,3,Available from 12 Dec,,04 Nov 13:54,Housing I.,"['PHP 280,000/ month', '/ month', 'Makati Avenue, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '532 m²', 'Bathrooms:', '3', 'Available from:', '12 Dec']",14.5592038,121.0266058,"Makati Ave, Makati City, Metro Manila, Philippines"
"House and Lot For Sale in 5, Constellation, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/house-and-lot/5br-old-guest-house-for-sale-in-bel-air-2-makati-ad-163-ln887501,"PHP 159,000,000","5, Constellation, Makati City, Metro Manila, 1209",,502 m²,5+,5,Available from 6 Aug,,04 Nov 13:54,Housing I.,"['PHP 159,000,000', '5, Constellation, Makati City, Metro Manila, 1209', 'Bedrooms:', '5+', 'Area:', '502 m²', 'Bathrooms:', '5', 'Available from:', '6 Aug']",14.5639062,121.0283391,"5 Constellation, Makati City, 1209 Metro Manila, Philippines"
"Condo For Rent in 26th Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/semi-furnished-3br-unit-for-lease-at-icon-residences-tower-1-ad-162-ln121335,"PHP 190,000/ month","26th Street, Makati City, Kalakhang Maynila",,146 m²,3,3,Available from 7 Aug,,04 Nov 13:54,Housing I.,"['PHP 190,000/ month', '/ month', '26th Street, Makati City, Kalakhang Maynila', 'Bedrooms:', '3', 'Area:', '146 m²', 'Bathrooms:', '3', 'Available from:', '7 Aug']",14.5489497,121.0471524,"26th St, Makati City, Metro Manila, Philippines"
