Region,Address,Bathrooms,Bedrooms,City,Description,FloorArea,LotArea,Price,ProjectName,PropertyType,Segment,gmaps_formatted_address,latitude,longitude
Visayas,"Unit 103, Ground Floor, Trinity Plaza Condominium, Brgy. Kamputhaw, Cebu City, Cebu",,,Cebu,,204.27,0.0,10466300,Trinity Plaza Condominium,Commercial - Condominium Unit,Retail,"Gorordo Ave, Camputhaw, Cebu City, 6000 Cebu, Philippines",10.3174703,123.8987807
Visayas,"Unit 101, Ground Floor, Trinity Plaza Condominium, Brgy. Kamputhaw, Cebu City, Cebu",,,Cebu,,190.15,0.0,9738500,Trinity Plaza Condominium,Commercial - Condominium Unit,Retail,"Gorordo Ave, Camputhaw, Cebu City, 6000 Cebu, Philippines",10.3174703,123.8987807
Visayas,"Lot 1-K-6-E-7, Ouana Avenue & PNB Road, Brgy. Mantuyong, Mandaue City, Cebu (Pending Consolidation)",,,Cebu,,5000.0,5000.0,703757200,Mandaue,Commercial - with Improvements,Retail,"7 C Ouano Ave, Mandaue, 6000 Cebu, Philippines",10.3201977,123.9306996
Visayas,"Lot 3957, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",,,Cebu,,0.0,12302.0,18453000,Naga Valley Industrial Park,Industrial - Vacant Lot,Retail,"Cantao-an, Naga, Cebu, Philippines",10.2495945,123.7489785
Visayas,"Lot 2, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",,,Cebu,,0.0,41151.0,16460400,Naga Valley Industrial Park,Industrial - Vacant Lot,Retail,"Cantao-an Naga, Naga, Cebu, Philippines",10.2590215,123.7564499
Visayas,"Lot 3685, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",,,Cebu,,0.0,6008.0,5036000,Naga Valley Industrial Park,Industrial - Vacant Lot,Retail,"Cantao-an, Naga, Cebu, Philippines",10.2495945,123.7489785
Visayas,"Lot 3946, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",,,Cebu,,0.0,10319.0,4127600,Naga Valley Industrial Park,Industrial - Vacant Lot,Retail,"Cantao-an, Naga, Cebu, Philippines",10.2495945,123.7489785
Visayas,"Lot 3949, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",,,Cebu,,0.0,8723.0,3489200,Naga Valley Industrial Park,Industrial - Vacant Lot,Retail,"Cantao-an, Naga, Cebu, Philippines",10.2495945,123.7489785
Visayas,"Lot 9098, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",,,Cebu,,0.0,6747.0,2024100,Naga Valley Industrial Park,Industrial - Vacant Lot,Retail,"Cantao-an, Naga, Cebu, Philippines",10.2495945,123.7489785
Visayas,"Lot 9111, Naga Valley Industrial Park (formerly SME Industrial Park or New Cebu Township One), Brgy. Cantao-an, Naga City, Cebu",,,Cebu,,0.0,6099.0,1829700,Naga Valley Industrial Park,Industrial - Vacant Lot,Retail,"Cantao-an, Naga, Cebu, Philippines",10.2495945,123.7489785
Visayas,"Unit 7H, 7/F, Tower B, Amisa Private Residences, Brgy. Punta Engaño, Lapu-Lapu City, Cebu",3.0,2.0,Cebu,"2BR, 3T&B",62.59,0.0,6884900,Amisa Private Residences,Residential - Condominium Unit,Retail,"Lapu-Lapu, Cebu, Philippines",10.3300305,124.0401611
Visayas,"Unit 17C, 17/F, Tower C, Amisa Private Residences, Brgy. Punta Engaño, Lapu-Lapu City, Cebu",1.0,,Cebu,"Studio, 1TB",40.72,0.0,4479200,Amisa Private Residences,Residential - Condominium Unit,Retail,"Lapu-Lapu, Cebu, Philippines",10.3300305,124.0401611
Visayas,"Unit 911, 9/F, Myvan Cityscape Tower, F. Cabahug St., Brgy. Subangdaku, Mandaue City, Cebu",1.0,,Cebu,"Studio, 1TB",20.17,0.0,1815300,Myvan Cityscape Tower,Residential - Condominium Unit,Retail,"8WGC+W8H, F. Cabahug St, Mandaue, 6014 Cebu, Philippines",10.3273187,123.9208597
Visayas,"Unit 908, 9/F, Myvan Cityscape Tower, F. Cabahug St., Brgy. Subangdaku, Mandaue City, Cebu",1.0,,Cebu,"Studio, 1TB",20.07,0.0,1806300,Myvan Cityscape Tower,Residential - Condominium Unit,Retail,"8WGC+W8H, F. Cabahug St, Mandaue, 6014 Cebu, Philippines",10.3273187,123.9208597
Visayas,"Unit 1604, 16/F, Myvan Cityscape Tower, F. Cabahug St., Brgy. Subangdaku, Mandaue City, Cebu",1.0,,Cebu,"Studio, 1TB",20.87,0.0,2113800,Myvan Cityscape Tower,Residential - Condominium Unit,Retail,"8WGC+W8H, F. Cabahug St, Mandaue, 6014 Cebu, Philippines",10.3273187,123.9208597
Visayas,"Unit 30 (Door 730), 7/F, Tower 3, Ultima Residences, Brgy. Sta. Clara, Cebu City, Cebu",1.0,,Cebu,"studio type, 1T&B",20.0,0.0,1500000,Ultima Residences,Residential - Condominium Unit,Retail,"Ultima, Osmeña Blvd, Cebu City, 6000 Cebu, Philippines",10.3086544,123.8945775
Visayas,"Unit 8 (Door 1408), 14/F, Tower 3, Ultima Residences, Brgy. Sta. Clara, Cebu City",2.0,1.0,Cebu,"loft type, 1BR, 2T&B and balcony",64.25,,4818750,Ultima Residences,Residential - Condominium Unit,Retail,"Cebu City, Cebu, Philippines",10.2926115,123.9021934
Visayas,"Unit 05, 17/F, Tower C, Winland Tower Condominium, Juana Osmeña Extension, Brgy. Kamputhaw, Cebu City, Cebu",2.0,3.0,Cebu,"3BR, 2TB with Balcony, major repairs",127.0,0.0,4445000,Winland Tower Condominium,Residential - Condominium Unit,Retail,"Winland Towers Condominium, Juana Osmeña Extension Rd, Cebu City, 6000 Cebu, Philippines",10.3185453,123.8931678
