title,agent_name,area,bathrooms,bedrooms,furnishing,gmaps_formatted_address,latitude,location,longitude,posted_on,price,property_type,specs,status,url
"Condo For Rent in Timog Avenue, Quezon City",Armien C.,21 m²,1,Studio,,"Timog Ave, Diliman, Quezon City, Metro Manila, Philippines",14.6348849,"Timog Avenue, Diliman, Quezon City, Metro Manila",121.0355732,21 Dec 22:21,"PHP 16,000/ month",,"['PHP 16,000/ month', '/ month', 'Timog Avenue, Diliman, Quezon City, Metro Manila', 'Bedrooms:', 'Studio', 'Area:', '21 m²', 'Bathrooms:', '1', 'Available from:', '21 Dec']",Available from 21 Dec,https://lifenavi.com/ph/properties/quezon-city/for-rent/condo/condo-unit-for-rent-11th-floor-tower-1-the-symphony-tower-ln419065
"Condo For Sale in Lapu-Lapu, Central Visayas",Nelson B.,28 m²,1,Studio,,"Lapu-Lapu, Cebu, Philippines",10.3183756,"Lapu-Lapu, Central Visayas",123.9639483,21 Dec 20:46,"PHP 5,685,000",,"['PHP 5,685,000', 'Lapu-Lapu, Central Visayas', 'Bedrooms:', 'Studio', 'Area:', '28 m²', 'Bathrooms:', '1', 'Available from:', '21 Dec']",Available from 21 Dec,https://lifenavi.com/ph/properties/lapu-lapu/for-sale/condo/studio-condo-deluxe-for-saleassume-in-be-residences-mactan-ln578706
"House and Lot For Sale in San Jose del Monte, Central Luzon",Christian G.,112 m²,2,1,,"SJDM, Bulacan, Philippines",14.828674,"San Jose del Monte, Central Luzon",121.0432425,21 Dec 02:05,"PHP 1,500,000,000",,"['PHP 1,500,000,000', 'San Jose del Monte, Central Luzon', 'Bedrooms:', '1', 'Area:', '112 m²', 'Bathrooms:', '2', 'Available from:', '22 Dec']",Available from 22 Dec,https://lifenavi.com/ph/properties/san-jose-del-monte/for-sale/house-and-lot/house-and-lot-for-sale-ln337689
"Condo For Rent in 175, Shaw Boulevard, Pasig",Armien C.,24 m²,1,1,,"175 Shaw Blvd, Pasig, Metro Manila, Philippines",14.5702136,"175, Shaw Boulevard, Pasig, Metro Manila",121.066261,19 Dec 15:41,"PHP 23,000/ month",,"['PHP 23,000/ month', '/ month', '175, Shaw Boulevard, Pasig, Metro Manila', 'Bedrooms:', '1', 'Area:', '24 m²', 'Bathrooms:', '1', 'Available from:', '19 Dec']",Available from 19 Dec,https://lifenavi.com/ph/properties/pasig/for-rent/condo/condo-unit-for-rent-5th-for-east-tower-lumiere-residences-ln187166
"Townhouse For Sale in Mabalacat City, Central Luzon",Maria soleil C.,54 m²,1,2,,"Mabalacat City, Pampanga, Philippines",15.2452541,"Mabalacat City, Central Luzon",120.5656682,18 Dec 23:32,"PHP 3,300,000",,"['PHP 3,300,000', 'Mabalacat City, Central Luzon', 'Bedrooms:', '2', 'Area:', '54 m²', 'Bathrooms:', '1', 'Available from:', '18 Dec']",Available from 18 Dec,https://lifenavi.com/ph/properties/mabalacat-city/for-sale/townhouse/symphony-homes-by-smdc-ln405270
"Land only For Sale in Talisay, Calabarzon",Ricky D.,430 m²,2,2,,"Calabarzon, Philippines",14.1007803,"Talisay, Calabarzon",121.0793705,18 Dec 12:02,"PHP 35,000",,"['PHP 35,000', 'Talisay, Calabarzon', 'Bedrooms:', '2', 'Area:', '430 m²', 'Bathrooms:', '2', 'Available from:', '18 Dec']",Available from 18 Dec,https://lifenavi.com/ph/properties/talisay/for-sale/land-only/fairway-lot-with-golf-share-in-tagaytay-midlands-ln205037
"Condo For Sale in 1605, Garnet Road, Pasig",Stanley S.,30 m²,1,1,,"1605 Garnet Rd, Ortigas Center, Pasig, Metro Manila, Philippines",14.5892659,"1605, Garnet Road, Ortigas Center, Pasig, Metro Manila",121.0613688,17 Dec 19:54,"PHP 3,600,000",,"['PHP 3,600,000', '1605, Garnet Road, Ortigas Center, Pasig, Metro Manila', 'Bedrooms:', '1', 'Area:', '30 m²', 'Bathrooms:', '1', 'Available from:', '17 Dec']",Available from 17 Dec,https://lifenavi.com/ph/properties/pasig/for-sale/condo/grand-emerald-tower-1br-for-sale-ln342286
"House and Lot For Sale in Cebu City, Central Visayas",Christie P.,120 m²,3,3,,"6000 Cebu, Philippines",10.3978208,"Cebu City, Central Visayas, 6000",123.8634544,17 Dec 19:05,"PHP 11,400,000",,"['PHP 11,400,000', 'Cebu City, Central Visayas, 6000', 'Bedrooms:', '3', 'Area:', '120 m²', 'Bathrooms:', '3', 'Available from:', '17 Dec']",Available from 17 Dec,https://lifenavi.com/ph/properties/cebu-city/for-sale/house-and-lot/modern-3br-house-and-lot-in-metropolis-talamban-cebu-city-ln962426
"Beach Lot For Sale in Ilog, Western Visayas",Most P.,400 m²,2,1,,"Ilog, Negros Occidental, Philippines",10.0242345,"Ilog, Western Visayas",122.7690749,17 Dec 19:01,"PHP 1,600,000",,"['PHP 1,600,000', 'Ilog, Western Visayas', 'Bedrooms:', '1', 'Area:', '400 m²', 'Bathrooms:', '2', 'Available from:', '17 Dec']",Available from 17 Dec,https://lifenavi.com/ph/properties/ilog/for-sale/beach-lot/400-sqm-lot-near-beach-ln549045
"Condo For Sale in 32, Lecaros Street, Tuguegarao City",Staff M.,20 m²,1,Studio,,"32 Lecaros St, Tuguegarao City, 3500 Cagayan, Philippines",17.6092535,"32, Lecaros Street, Tuguegarao City, Cagayan Valley, 3500",121.7261557,16 Dec 11:40,"PHP 2,750,000",,"['PHP 2,750,000', '32, Lecaros Street, Tuguegarao City, Cagayan Valley, 3500', 'Bedrooms:', 'Studio', 'Area:', '20 m²', 'Bathrooms:', '1', 'Available from:', '16 Dec']",Available from 16 Dec,https://lifenavi.com/ph/properties/tuguegarao-city/for-sale/condo/bayani-hall-condominium-the-first-condo-in-tuguegarao-city-ln960916
"House and Lot For Sale in Caloocan, Metro Manila",A.b D.,66 m²,1,4,,"Caloocan, Metro Manila, Philippines",14.6513606,"Caloocan, Metro Manila",120.9902209,16 Dec 09:04,"PHP 1,800,000",,"['PHP 1,800,000', 'Caloocan, Metro Manila', 'Bedrooms:', '4', 'Area:', '66 m²', 'Bathrooms:', '1', 'Available from:', '16 Dec']",Available from 16 Dec,https://lifenavi.com/ph/properties/caloocan/for-sale/house-and-lot/infront-of-medical-school-under-construction-great-for-dorm-ln876215
"Condo For Rent in J. Escaler, Quezon City",Armien C.,28 m²,1,2,,"Escaler, Loyola Heights, Quezon City, 1800 Metro Manila, Philippines",14.6458805,"J. Escaler, Quezon City, Metro Manila, 1800",121.0735518,16 Dec 09:00,"PHP 30,000/ month",,"['PHP 30,000/ month', '/ month', 'J. Escaler, Quezon City, Metro Manila, 1800', 'Bedrooms:', '2', 'Area:', '28 m²', 'Bathrooms:', '1', 'Available from:', '16 Dec']",Available from 16 Dec,https://lifenavi.com/ph/properties/quezon-city/for-rent/condo/condo-unit-for-rent-unit-1835-at-berkeley-residences-ln432665
"House and Lot For Sale in Mandaue, Central Visayas",Juveniel N.,342 m²,1,2,,"Mandaue, Cebu, Philippines",10.3278985,"Mandaue, Central Visayas",123.9427271,16 Dec 06:32,"PHP 15,000,000",,"['PHP 15,000,000', 'Mandaue, Central Visayas', 'Bedrooms:', '2', 'Area:', '342 m²', 'Bathrooms:', '1', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/mandaue/for-sale/house-and-lot/property-for-sale-ln154611
"House and Lot For Sale in Silang, Calabarzon",Grace L.,420 m²,4,4,,"Silang, Cavite, Philippines",14.2202471,"Silang, Calabarzon",120.9646866,15 Dec 13:47,"PHP 65,000,000",,"['PHP 65,000,000', 'Silang, Calabarzon', 'Bedrooms:', '4', 'Area:', '420 m²', 'Bathrooms:', '4', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/silang/for-sale/house-and-lot/4br-house-for-sale-in-riviera-estates-silang-cavite-ln169213
"House and Lot For Sale in Crown Alley, Antipolo",Grace L.,657 m²,6+,5+,,"Crown Alley, Dela Paz, Antipolo, 1870 Rizal, Philippines",14.6050345,"Crown Alley, Antipolo, Calabarzon, 1870",121.1458875,15 Dec 13:41,"PHP 55,000,000",,"['PHP 55,000,000', 'Crown Alley, Antipolo, Calabarzon, 1870', 'Bedrooms:', '5+', 'Area:', '657 m²', 'Bathrooms:', '6+', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/antipolo/for-sale/house-and-lot/5br-house-for-sale-in-antipolo-rush-sale-ln723744
"House and Lot For Sale in 1, Beverly Boulevard, Las Piñas",Grace L.,476 m²,6+,5+,,"1 Beverly Boulevard, Alabang West, Las Piñas, Metro Manila, Philippines",14.4082165,"1, Beverly Boulevard, Alabang West, Las Piñas, Metro Manila",121.0112146,15 Dec 13:34,"PHP 79,800,000",,"['PHP 79,800,000', '1, Beverly Boulevard, Alabang West, Las Piñas, Metro Manila', 'Bedrooms:', '5+', 'Area:', '476 m²', 'Bathrooms:', '6+', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/las-pinas/for-sale/house-and-lot/5br-house-and-lot-for-sale-in-las-pinas-city-lowest-price-ln198267
"House and Lot For Sale in 7, Delhi Street, Quezon City",Grace L.,1100 m²,6+,5+,,"7 Delhi St, Matandang Balara, Quezon City, Metro Manila, Philippines",14.6725602,"7, Delhi Street, Quezon City, Metro Manila",121.0969917,15 Dec 13:29,"PHP 55,000,000",,"['PHP 55,000,000', '7, Delhi Street, Quezon City, Metro Manila', 'Bedrooms:', '5+', 'Area:', '1100 m²', 'Bathrooms:', '6+', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/quezon-city/for-sale/house-and-lot/3-storey-house-and-lot-for-sale-price-drop-ln933320
"Office For Sale in Tandang Sora Avenue, Quezon City",Grace L.,967 m²,,,Semi-Furnished,"Tandang Sora Ave, Quezon City, Metro Manila, Philippines",14.6720966,"Tandang Sora Avenue, Quezon City, Metro Manila",121.0503703,15 Dec 13:19,"PHP 115,000,000",,"['PHP 115,000,000', 'Tandang Sora Avenue, Quezon City, Metro Manila', 'Status:', 'Vacant', 'Furnishing:', 'Semi-Furnished', 'Area:', '967 m²', 'Available from:', '15 Dec']",Vacant,https://lifenavi.com/ph/properties/quezon-city/for-sale/office/qc-office-commercial-property-building-for-sale-ln453682
"House and Lot For Sale in Highlands Pointe, Taytay",Grace L.,200 m²,3,3,,"Highlands Pointe, Dolores, Taytay, 1920 Rizal, Philippines",14.5629191,"Highlands Pointe, Taytay, Calabarzon, 1920",121.1557761,15 Dec 13:06,"PHP 16,900,000",,"['PHP 16,900,000', 'Highlands Pointe, Taytay, Calabarzon, 1920', 'Bedrooms:', '3', 'Area:', '200 m²', 'Bathrooms:', '3', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/taytay/for-sale/house-and-lot/3br-house-for-sale-in-highlands-pointe-ii-at-havila-ln919899
"House and Lot For Sale in Antipolo, Calabarzon",Grace L.,2350 m²,6+,5+,,"Cebu, Philippines",10.607936,"Antipolo, Calabarzon, 1870",123.8857747,15 Dec 13:01,"PHP 90,000,000",,"['PHP 90,000,000', 'Antipolo, Calabarzon, 1870', 'Bedrooms:', '5+', 'Area:', '2350 m²', 'Bathrooms:', '6+', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/antipolo/for-sale/house-and-lot/house-for-sale-price-drop-in-antipolo-rizal-6-bedroom-ln490831
"House and Lot For Sale in 3479, General V. Lucban, Makati City",Grace L.,150 m²,3,2,,"3479 General V. Lucban, Makati City, Metro Manila, Philippines",14.5447586,"3479, General V. Lucban, Makati City, Metro Manila",121.0134376,15 Dec 12:55,"PHP 22,000,000",,"['PHP 22,000,000', '3479, General V. Lucban, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '150 m²', 'Bathrooms:', '3', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/makati-city/for-sale/house-and-lot/semi-furnished-2br-house-for-sale-in-taguig-city-ln163196
"House and Lot For Sale in 67, Angeles, Muntinlupa",Grace L.,420 m²,4,4,,"67 Angeles, Cupang, Muntinlupa, Metro Manila, Philippines",14.4387177,"67, Angeles, Muntinlupa, Metro Manila",121.0274244,15 Dec 12:38,"PHP 95,000,000",,"['PHP 95,000,000', '67, Angeles, Muntinlupa, Metro Manila', 'Bedrooms:', '4', 'Area:', '420 m²', 'Bathrooms:', '4', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/muntinlupa/for-sale/house-and-lot/4-bedrooms-house-for-sale-in-muntinlupa-city-alabang-village-ln906263
"Commercial land For Sale in Quezon City, Metro Manila",Grace L.,369 m²,,,Unfurnished,"Project 8, Quezon City, Metro Manila, Philippines",14.6695753,"Project 8, Quezon City, Metro Manila",121.0245181,15 Dec 12:32,"PHP 25,000,000",,"['PHP 25,000,000', 'Project 8, Quezon City, Metro Manila', 'Status:', 'Vacant', 'Furnishing:', 'Unfurnished', 'Area:', '369 m²', 'Available from:', '15 Dec']",Vacant,https://lifenavi.com/ph/properties/quezon-city/for-sale/commercial-land/for-sale-369-sqm-residential-lot-in-project-8-quezon-city-ln869501
"House and Lot For Sale in 93, Angelsey, Parkridge EstateAntipolo",Grace L.,657 m²,6+,5+,,"Calabarzon, Philippines",14.1007803,"93, Angelsey, Parkridge EstateAntipolo, Calabarzon, 1870",121.0793705,15 Dec 12:26,"PHP 55,000,000",,"['PHP 55,000,000', '93, Angelsey, Parkridge EstateAntipolo, Calabarzon, 1870', 'Bedrooms:', '5+', 'Area:', '657 m²', 'Bathrooms:', '6+', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/parkridge-estateantipolo/for-sale/house-and-lot/5br-house-for-sale-in-antipolo-rizal-rush-sale-ln465810
"Condo For Sale in Le Grand Avenue, Taguig",Grace L.,35 m²,1,1,,"Le Grand Ave, Fort Bonifacio, Taguig, Metro Manila, Philippines",14.5377143,"Le Grand Avenue, McKinley West, Taguig, Metro Manila",121.0461012,15 Dec 12:16,"PHP 10,500,000",,"['PHP 10,500,000', 'Le Grand Avenue, McKinley West, Taguig, Metro Manila', 'Bedrooms:', '1', 'Area:', '35 m²', 'Bathrooms:', '1', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/taguig/for-sale/condo/1br-condo-unit-for-sale-in-park-mckinley-west-makati-ln459779
"Condo For Sale in 9, Club Filipino Avenue, San Juan City",Grace L.,53 m²,1,1,,"9 Club Filipino Avenue, San Juan City, Metro Manila, Philippines",14.6031597,"9, Club Filipino Avenue, San Juan City, Metro Manila",121.0477399,15 Dec 11:55,"PHP 13,450,000",,"['PHP 13,450,000', '9, Club Filipino Avenue, San Juan City, Metro Manila', 'Bedrooms:', '1', 'Area:', '53 m²', 'Bathrooms:', '1', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/san-juan-city/for-sale/condo/1-bedroom-condo-for-sale-in-san-juan-ln741764
"Commercial land For Sale in Silang, Calabarzon",Grace L.,416 m²,,,Unfurnished,"Silang, Cavite, Philippines",14.2202471,"Silang, Calabarzon",120.9646866,15 Dec 11:52,"PHP 17,500,000",,"['PHP 17,500,000', 'Silang, Calabarzon', 'Status:', 'Vacant', 'Furnishing:', 'Unfurnished', 'Area:', '416 m²', 'Available from:', '15 Dec']",Vacant,https://lifenavi.com/ph/properties/silang/for-sale/commercial-land/416-sqm-prime-residential-lot-for-sale-in-silang-cavite-ln336638
"House and Lot For Sale in Tagaytay - Nasugbu Highway, Tagaytay City",Grace L.,388 m²,4,4,,,,,,15 Dec 11:49,"PHP 40,000,000",,"['PHP 40,000,000', 'Tagaytay - Nasugbu Highway, Cnossing Silang East, Tagaytay City, Calabarzon, 4120', 'Bedrooms:', '4', 'Area:', '388 m²', 'Bathrooms:', '4', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/tagaytay-city/for-sale/house-and-lot/4-bedroom-corner-house-and-lot-for-sale-in-tagaytay-city-ln964793
"House and Lot For Sale in Silang, Calabarzon",Grace L.,201 m²,4,4,,"Silang, Cavite, Philippines",14.2202471,"Silang, Calabarzon",120.9646866,15 Dec 11:45,"PHP 22,170,000",,"['PHP 22,170,000', 'Silang, Calabarzon', 'Bedrooms:', '4', 'Area:', '201 m²', 'Bathrooms:', '4', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/silang/for-sale/house-and-lot/4br-house-for-sale-in-cavite-city-ln990403
"Commercial land For Sale in City of Santa Rosa, Calabarzon",Grace L.,2109 m²,,,Unfurnished,"City of Santa Rosa, Laguna, Philippines",14.3147078,"City of Santa Rosa, Calabarzon",121.1123219,15 Dec 11:42,"PHP 337,440,000",,"['PHP 337,440,000', 'City of Santa Rosa, Calabarzon', 'Status:', 'Vacant', 'Furnishing:', 'Unfurnished', 'Area:', '2109 m²', 'Available from:', '15 Dec']",Vacant,https://lifenavi.com/ph/properties/city-of-santa-rosa/for-sale/commercial-land/2109-sqm-corner-commercial-lot-for-sale-in-laguna-ln313352
"Office For Sale in 34th Street, Taguig",Grace L.,62 m²,,,Semi-Furnished,"34th St, Post Proper Northside, Taguig, Metro Manila, Philippines",14.5551038,"34th Street, Taguig, Metro Manila",121.0519006,15 Dec 11:38,"PHP 13,500,000",,"['PHP 13,500,000', '34th Street, Taguig, Metro Manila', 'Status:', 'Vacant', 'Furnishing:', 'Semi-Furnished', 'Area:', '62 m²', 'Available from:', '15 Dec']",Vacant,https://lifenavi.com/ph/properties/taguig/for-sale/office/prime-office-space-for-sale-in-bgc-taguig-metro-manila-ln926407
"Commercial land For Sale in 535, Shaw BoulevaRoad, Mandaluyong City",Grace L.,1764 m²,,,Semi-Furnished,"535 Shaw Blvd, Mandaluyong City, 1552 Metro Manila, Philippines",14.5870833,"535, Shaw BoulevaRoad, Mandaluyong City, Metro Manila, 1555",121.0469117,15 Dec 11:34,"PHP 352,800,000",,"['PHP 352,800,000', '535, Shaw BoulevaRoad, Mandaluyong City, Metro Manila, 1555', 'Status:', 'Vacant', 'Furnishing:', 'Semi-Furnished', 'Area:', '1764 m²', 'Available from:', '15 Dec']",Vacant,https://lifenavi.com/ph/properties/mandaluyong-city/for-sale/commercial-land/1764-sqm-prime-commercial-lot-for-sale-in-mandaluyong-city-ln849320
"Condo For Sale in 1634, 8th Avenue, Makati City",Grace L.,36 m²,1,1,,"1634 8th Avenue, Makati City, Metro Manila, Philippines",14.5560313,"1634, 8th Avenue, Makati City, Metro Manila",121.0515133,15 Dec 11:27,"PHP 8,059,586",,"['PHP 8,059,586', '1634, 8th Avenue, Makati City, Metro Manila', 'Bedrooms:', '1', 'Area:', '36 m²', 'Bathrooms:', '1', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/makati-city/for-sale/condo/1br-condo-for-sale-in-8th-ave-cor-35th-street-bgc-ln372349
"House and Lot For Sale in 56, Pearl Street, Pasig",Grace L.,116 m²,2,2,,"56 Pearl St, Pasig, 1609 Metro Manila, Philippines",14.5831709,"56, Pearl Street, Pasig, Metro Manila, 1609",121.0924532,15 Dec 11:24,"PHP 7,000,000",,"['PHP 7,000,000', '56, Pearl Street, Pasig, Metro Manila, 1609', 'Bedrooms:', '2', 'Area:', '116 m²', 'Bathrooms:', '2', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/pasig/for-sale/house-and-lot/semi-furnished-house-and-lot-for-sale-in-rosario-pasig-city-ln579966
"House and Lot For Sale in Parañaque, Metro Manila",Grace L.,680 m²,4,4,,"Cebu, Parañaque, 1700 Metro Manila, Philippines",14.4612141,"Parañaque, Metro Manila, 1700",121.0077851,15 Dec 11:18,"PHP 35,000,000",,"['PHP 35,000,000', 'Parañaque, Metro Manila, 1700', 'Bedrooms:', '4', 'Area:', '680 m²', 'Bathrooms:', '4', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/paranaque/for-sale/house-and-lot/4br-house-and-lot-for-sale-in-bf-homes-paranaque-city-ln814614
"House and Lot For Sale in Santa Rosa - Tagaytay Road, Tagaytay City",Grace L.,733 m²,4,3,,"Santa Rosa - Tagaytay Rd, Tagaytay City, Cavite, Philippines",14.1364608,"Santa Rosa - Tagaytay Road, Tagaytay City, Calabarzon",120.9852508,15 Dec 11:14,"PHP 35,000,000",,"['PHP 35,000,000', 'Santa Rosa - Tagaytay Road, Tagaytay City, Calabarzon', 'Bedrooms:', '3', 'Area:', '733 m²', 'Bathrooms:', '4', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/tagaytay-city/for-sale/house-and-lot/corner-house-and-lot-for-sale-in-tagaytay-city-cavite-ln444809
"Condo For Sale in Chateau Road, Taguig",Grace L.,78 m²,3,3,,"Chateau Rd, Fort Bonifacio, Taguig, Metro Manila, Philippines",14.5372936,"Chateau Road, Taguig, Metro Manila",121.0430016,15 Dec 11:05,"PHP 24,500,000",,"['PHP 24,500,000', 'Chateau Road, Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '78 m²', 'Bathrooms:', '3', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/taguig/for-sale/condo/2br-condo-unit-for-sale-in-mckinley-west-taguig-ln534969
"Condo For Sale in 575, Wack Wack Road, Mandaluyong City",Grace L.,169 m²,3,3,,"575 Wack Wack Rd, Mandaluyong City, Metro Manila, Philippines",14.58724,"575, Wack Wack Road, Mandaluyong City, Metro Manila",121.0484391,15 Dec 11:02,"PHP 48,000,000",,"['PHP 48,000,000', '575, Wack Wack Road, Mandaluyong City, Metro Manila', 'Bedrooms:', '3', 'Area:', '169 m²', 'Bathrooms:', '3', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/mandaluyong-city/for-sale/condo/3br-condo-for-sale-in-wack-wack-rd-edsa-corner-shaw-blvd-ln862075
