property_name,address,city,area_sqm,price_per_sqm,total_php,city_norm_per_sqm,pct_of_city_norm
"Rush Sale BIG STUDIO CONDO unit in BASELINE, JUANA OSMEÑA, CEBU CITY","Juana Osmena Street, Cebu City, Cebu, Philippines",Cebu City,30.9,16181.229773462785,500000.0,167527.0,9.7
Grand Residences,"Grand Residences, Gov. M. Cuenco Avenue, Cebu City, Cebu, Philippines",Cebu City,25.0,20000.0,500000.0,167527.0,11.9
Condominium Studio Unit,"Mivesa Garden Residences, Salinas Drive Extension, Cebu City, Philippines",Cebu City,24.72,22249.19093851133,550000.0,167527.0,13.3
MIVELA Garden Residences,"Mivela Garden Residences, Apas, Cebu City, Cebu, Philippines",Cebu City,25.11,23098.36718438869,580000.0,167527.0,13.8
1 bedroom condo for sale in mivela garden residences apas cebu,mivela garden residences apas cebu,Cebu City,25.1,23904.38247011952,600000.0,167527.0,14.3
"For Sale: 1BR Condo in Talamban, Cebu City — 25.28 sqm","BE U Talamban, Talamban, Cebu City, Cebu, 6000, Philippines",Cebu City,25.28,23734.177215189873,600000.0,167527.0,14.2
"For Sale Studio Condo in Zapatera, Cebu City 22.82 sqm","D. JAKOSALEM ST., Zapatera, Cebu City, Cebu, 6000, Philippines",Cebu City,22.82,30674.84662576687,700000.0,167527.0,18.3
"RFO: Studio Unit with Parking 800,000.00","Mivesa Garden Residences, Salinas Drive Extension, Cebu City, Philippines",Cebu City,23.2,34482.75862068966,800000.0,167527.0,20.6
Condominium,"Robinsons Galleria Cebu, Sergio OsmeÃ±a Jr Boulevard, Cebu City, Cebu, Philippines",Cebu City,25.5,39215.68627450981,1000000.0,167527.0,23.4
Condo For Sale in Maribago,"Pajac-Maribago Road, Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,36.0,16666.666666666668,600000.0,160902.0,10.4
Condo For Sale in Pajo,"Lapu-Lapu City, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,36.0,16666.666666666668,600000.0,160902.0,10.4
FOR SALE,"South Osmeña Street, Lapu-Lapu City, Cebu, Philippines",Lapu-Lapu City,34.0,17647.058823529413,600000.0,160902.0,11.0
2 bedroom condo for sale in pajo cebu,pajo cebu,Lapu-Lapu City,36.0,16666.666666666668,600000.0,160902.0,10.4
Condo For Sale in Subabasbas,"Subabasbas, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,27.0,29629.62962962963,800000.0,160902.0,18.4
Bank financing,"Block 6, Lot 19, La Aldea del Rio, Lapu-Lapu City, Cebu, Philippines",Lapu-Lapu City,24.0,39583.333333333336,950000.0,160902.0,24.6
One Astra Place,"A. S. Fortuna Street, Mandaue City, Cebu, Philippines",Mandaue City,23.0,21739.130434782608,500000.0,155286.0,14.0
Studio For Sale in Bakilid,"DB Schenker, M.C. Briones Street, Bakilid, Cebu City, Cebu, Central Visayas, PHL",Mandaue City,22.0,27272.727272727272,600000.0,155286.0,17.6
Northwoods Studio Unit,"Northwoods Residences, H Abellana, Mandaue City, Cebu, Philippines",Mandaue City,22.0,27272.727272727272,600000.0,155286.0,17.6
NORTHWOODS PLACE 1-BEDROOM UNIT B2 TOWER2,"H. Abellana Street, Mandaue City, Cebu, Philippines",Mandaue City,31.3,20766.7731629393,650000.0,155286.0,13.4
condo for sale in bakilid cebu,bakilid cebu,Mandaue City,22.8,30701.754385964912,700000.0,155286.0,19.8
"For Sale: Studio Condo in Banilad, Mandaue City — 23 sqm","One Astra Place, Banilad, Mandaue City, Cebu, 6014, Philippines",Mandaue City,23.0,34782.608695652176,800000.0,155286.0,22.4
"For Sale: Studio Condo in Banilad, Mandaue City — 23 sqm Astra Centre","One Astra Place, Banilad, Mandaue City, Cebu, 6014, Philippines",Mandaue City,23.0,38043.47826086957,875000.0,155286.0,24.5
Condo For Sale in Tipolo,"Mandtra Residences, P. Basubas Street, Mandaue, Lalawigan ng Cebu, Pilipinas",Mandaue City,37.0,24023.054054054053,888853.0,155286.0,15.5
1 bedroom condo for sale in tipolo cebu,tipolo cebu,Mandaue City,37.1,23958.30188679245,888853.0,155286.0,15.4
